,Wells,Metadata_Well,correlation
0,B02,B02,1.0
1,C02,B02,0.83034442347999
2,D02,B02,0.6506217691556704
3,E02,B02,0.7360150968537044
4,F02,B02,0.7206450180487339
5,G02,B02,0.5938875313109998
6,H02,B02,0.411232344727023
7,I02,B02,0.04006939939681643
8,J02,B02,0.7966320856404234
9,K02,B02,0.38770217155237835
10,L02,B02,0.15434358730717748
11,M02,B02,-0.024676241963414565
12,N02,B02,0.24142634388105388
13,O02,B02,-0.1343032855799532
14,B03,B02,0.5294403376532252
15,C03,B02,0.7602305094302164
16,D03,B02,0.7608990491693857
17,E03,B02,0.6017810007986552
18,F03,B02,0.5629420138118718
19,G03,B02,0.5464232330987092
20,H03,B02,0.6928553115781987
21,I03,B02,-0.0015370075616341387
22,J03,B02,0.6212557106061652
23,K03,B02,0.048186994689452235
24,L03,B02,-0.21201845167434227
25,M03,B02,-0.3147050337984712
26,N03,B02,0.02250600204847943
27,O03,B02,-0.014682291021970386
28,B04,B02,0.32565924855777323
29,C04,B02,0.09781605492338113
30,D04,B02,-0.058949758147994503
31,E04,B02,0.17398733393246002
32,F04,B02,0.16147458054041097
33,G04,B02,0.5785570598940126
34,H04,B02,-0.06485573397919128
35,I04,B02,0.5338472408142962
36,J04,B02,0.23739386332457516
37,K04,B02,-0.289703697961042
38,L04,B02,0.4143001384814045
39,M04,B02,0.5717197975242857
40,N04,B02,0.349225908813459
41,O04,B02,-0.07233889652929863
42,B05,B02,0.291269054372249
43,C05,B02,-0.2998871619241694
44,D05,B02,-0.3727346432625645
45,E05,B02,-0.09115327975690998
46,F05,B02,0.2915366924432879
47,G05,B02,0.3056679035978999
48,H05,B02,0.2110759488534537
49,I05,B02,0.21022440371492573
50,J05,B02,0.04507581645750355
51,K05,B02,0.032490610894636694
52,L05,B02,0.486405132131817
53,M05,B02,0.6979393727117021
54,N05,B02,-0.05932764113454191
55,O05,B02,0.022164350004450606
56,B06,B02,-0.1217068759083356
57,C06,B02,-0.23883147453328765
