oneb_Metadata_Treatment_Dose_Inhibitor_Dose,DMSO_0.100_DMSO_0.025,DMSO_0.100_DMSO_1.0,DMSO_0.100_Z-VAD-FMK_100.0,DMSO_0.100_Z-VAD-FMK_30.0,Disulfiram_0.100_DMSO_0.025,Disulfiram_1.000_DMSO_0.025,Disulfiram_2.500_DMSO_0.025,Disulfiram_2.5_DMSO_0.025,Flagellin_0.100_DMSO_0.00025,Flagellin_0.100_DMSO_0.025,Flagellin_1.000_DMSO_0.00025,Flagellin_1.000_DMSO_0.025,Flagellin_1.000_Disulfiram_1.0,H2O2_100.000_DMSO_0.025,H2O2_100.000_Disulfiram_1.0,H2O2_100.000_Z-VAD-FMK_100.0,LPS_0.010_DMSO_0.025,LPS_0.100_DMSO_0.025,LPS_1.000_DMSO_0.025,LPS_10.000_DMSO_0.025,LPS_10.000_Disulfiram_0.1,LPS_10.000_Disulfiram_1.0,LPS_10.000_Disulfiram_2.5,LPS_10.000_Z-VAD-FMK_100.0,LPS_100.000_DMSO_0.025,LPS_Nigericin_1.000_1.0_DMSO_0.025,LPS_Nigericin_1.000_10.0_DMSO_0.025,LPS_Nigericin_1.000_10.0_Disulfiram_1.0,LPS_Nigericin_1.000_10.0_Z-VAD-FMK_100.0,LPS_Nigericin_1.000_3.0_DMSO_0.025,LPS_Nigericin_100.000_1.0_DMSO_0.025,LPS_Nigericin_100.000_10.0_DMSO_0.025,LPS_Nigericin_100.000_3.0_DMSO_0.025,Thapsigargin_1.000_DMSO_0.025,Thapsigargin_10.000_DMSO_0.025,Topotecan_10.000_DMSO_0.025,Topotecan_20.000_DMSO_0.025,Topotecan_5.000_DMSO_0.025,media ctr_0_Media ctr_0.0,media ctr_0_Media_0.0
DMSO_0.100_DMSO_0.025,1.0,0.924512734433731,0.8642072192837036,0.9393672245359412,0.995800068570415,0.9938796330292518,0.9911606401206667,0.9643067746712026,0.7875915271398982,0.7891856535693111,0.750020012750092,0.7545734623531123,0.7186306698696825,0.9951201370203583,0.9713802604138533,0.8658820291763434,0.7196087425616627,0.717762924193068,0.7070375718495258,0.700247339278581,0.6815119702066206,0.6733480179124681,0.6856928629433184,0.7290609646515989,0.6989369775225626,0.668321203015757,0.6594659319431464,0.6450104519304385,0.7261125942963937,0.653069102634304,0.6889541142292007,0.6598096700188999,0.6701969086131914,0.9355270029716769,0.8928358869278149,0.9878841615887308,0.9961586027478321,0.9942712092730628,0.9941237476530829,0.983757513505176
DMSO_0.100_DMSO_1.0,0.924512734433731,1.0,0.8707672347958525,0.8872314764103132,0.9245545323519857,0.9125644498355384,0.9104236956768961,0.863639323685066,0.6436786931912003,0.644746357004766,0.6119687441462817,0.6211997117769558,0.6127180718783739,0.9101828589479007,0.8646811381423609,0.8534600570857075,0.5956612518252878,0.5948483437572628,0.5885990195551629,0.5824205596999467,0.5953186848074824,0.5870944937985833,0.5897694491475809,0.7724709291445615,0.5794604486699045,0.6398015021874642,0.6463521065746831,0.6318451963646307,0.8083397621386136,0.6413442263834666,0.6168776528653361,0.6377639231352459,0.6381816516084212,0.8431336924950187,0.8099882890419299,0.909274235532791,0.9277335665724395,0.922126249600187,0.9028421665883029,0.8874578545116284
DMSO_0.100_Z-VAD-FMK_100.0,0.8642072192837036,0.8707672347958525,1.0,0.9551107454663248,0.8815655438036732,0.8621297630055915,0.8468453523174829,0.8153932476256184,0.7513589318632647,0.7529411922302458,0.7476805606454046,0.7440905113861768,0.7639238537972882,0.844293925909089,0.8777210104288349,0.9932344220732849,0.7481671292370131,0.7507280925699595,0.7441605477229958,0.7432974871803992,0.7505659867127803,0.7416380294331355,0.7433539825472211,0.8685185389434299,0.7394398522380737,0.7208277190223349,0.7287212457127579,0.720627164708152,0.8152100740413336,0.7343594958982677,0.7270568170344629,0.7168682862211352,0.7181981895350552,0.8897719105790701,0.9054930061424201,0.8507689183679908,0.8586854275849282,0.8588007875880879,0.8408020889152367,0.836955060091303
DMSO_0.100_Z-VAD-FMK_30.0,0.9393672245359412,0.8872314764103132,0.9551107454663248,1.0,0.9513655107495842,0.9387285434090914,0.9278841697531293,0.9021048554685261,0.7884581932582602,0.7914739416103554,0.7637688907832059,0.7674149587899384,0.7537098062730883,0.9284040393347959,0.9453951647372265,0.9619085685702824,0.7437132607514642,0.7443502606618576,0.7332714709315237,0.7308400731770283,0.7113023508579039,0.7056019931685972,0.7167401836317675,0.7880699077463896,0.7257647273952241,0.6912546377523665,0.6867085640034122,0.6747282534565163,0.7745057673596567,0.6851701445454856,0.7123825593313879,0.6779160803129602,0.6902562388733039,0.94383281344588,0.9403539423855947,0.9266075718308892,0.9347620934100007,0.9348158256215395,0.9268706904577815,0.921118542058201
Disulfiram_0.100_DMSO_0.025,0.995800068570415,0.9245545323519857,0.8815655438036732,0.9513655107495842,1.0,0.9942690386814125,0.9910957232847891,0.9644620881609242,0.8023919652427924,0.8037473242840676,0.7640429212267549,0.7700713036522027,0.737494062703958,0.9905983186302167,0.978996681309037,0.8814367813948374,0.7348152390006786,0.7333192204123447,0.7220822754528524,0.7166961559290443,0.6988555936330327,0.6921120707366896,0.7035322428532886,0.7562127053208596,0.7140509472142936,0.6875704411733533,0.679119389967439,0.6672458526983808,0.7511713342095623,0.6726816015501713,0.7085683293449291,0.6760539874876625,0.6894551248285136,0.9443244021656976,0.909821168387527,0.9835760788417844,0.9931631986090864,0.990932969438368,0.9909120402534766,0.9814651180542291
Disulfiram_1.000_DMSO_0.025,0.9938796330292518,0.9125644498355384,0.8621297630055915,0.9387285434090914,0.9942690386814125,1.0,0.9950888508286818,0.9693962652980836,0.7893448478904892,0.7926650541328082,0.7524308671754731,0.7565361120973165,0.728369944500783,0.9891443508154513,0.9805134176716082,0.8625649633284727,0.721046673297064,0.71932477919423,0.7088179353337796,0.7037875208319173,0.6911056626818588,0.6840126449856841,0.6951160221086041,0.7476888230945297,0.702300988151011,0.6788482860651026,0.6697657264991421,0.6637215812340977,0.7428817320542975,0.6639002560180671,0.69775703737631,0.6685957817611731,0.6792630480609125,0.9364155182977715,0.8976178160414056,0.9839754546782669,0.9902923377876547,0.9888302559099199,0.989367702242474,0.9814712436866797
Disulfiram_2.500_DMSO_0.025,0.9911606401206667,0.9104236956768961,0.8468453523174829,0.9278841697531293,0.9910957232847891,0.9950888508286818,1.0,0.9693804100168442,0.7780164445024382,0.7814078943075555,0.7394240199932385,0.7448782756651962,0.7130378931299428,0.9915695669169816,0.969763208999022,0.8446205630971398,0.7076667761499287,0.7054126292239622,0.6949343713807601,0.6899009677265568,0.6751573596879649,0.6701474120579476,0.6817297382938279,0.7409588847148236,0.6891387543268674,0.6695777685225929,0.661686748476751,0.654069212316051,0.744657675493257,0.6541645735602447,0.6888765865452466,0.6610146624548399,0.672714761896218,0.9263235369065588,0.8855681446472343,0.9809147093989933,0.9891929799292717,0.9881884836516428,0.9904800125132478,0.9795543163898041
Disulfiram_2.5_DMSO_0.025,0.9643067746712026,0.863639323685066,0.8153932476256184,0.9021048554685261,0.9644620881609242,0.9693962652980836,0.9693804100168442,1.0,0.7557381662517213,0.7587247951595822,0.7265141777200896,0.7252499525202695,0.6931287114302356,0.9673329111019121,0.9513320611046009,0.8230995371752842,0.6927614054246617,0.6900213877560188,0.6765152848969734,0.6753322887845132,0.6657329613504132,0.6571840484763862,0.6658033225212816,0.7255155917463579,0.6759668958428648,0.6562316555649391,0.6408941845182616,0.6401775867103092,0.7203650428815983,0.634881951159382,0.6738682353307239,0.6295977650374226,0.6475697662209313,0.9090364406457164,0.8511763835013461,0.9795949048028757,0.9703748342967864,0.976575695655458,0.9581475619705302,0.9368945224854865
Flagellin_0.100_DMSO_0.00025,0.7875915271398982,0.6436786931912003,0.7513589318632647,0.7884581932582602,0.8023919652427924,0.7893448478904892,0.7780164445024382,0.7557381662517213,1.0,0.9972105326301813,0.9837378859242355,0.9903683416323484,0.9422564457500624,0.7793843064595786,0.8666192013911097,0.7544272011960329,0.9604954828015557,0.9606656171638045,0.9534335386523541,0.9507591017788777,0.910837152774256,0.9084429937294676,0.9257847518093425,0.7169524254766314,0.9495342759523436,0.8630540352219561,0.8335999594876745,0.8283317923310279,0.6210295813417646,0.8266980243808254,0.9217773963499694,0.8289291554518244,0.863413912747622,0.830582989082031,0.845298514819178,0.7646601957830933,0.7687921057798741,0.7686637711569695,0.7955447540265722,0.8110043341294311
Flagellin_0.100_DMSO_0.025,0.7891856535693111,0.644746357004766,0.7529411922302458,0.7914739416103554,0.8037473242840676,0.7926650541328082,0.7814078943075555,0.7587247951595822,0.9972105326301813,1.0,0.9847828088171336,0.9914819402867252,0.9448349042340762,0.7819952274984424,0.870612587555748,0.7549257760832765,0.9605839474896805,0.9607464309273884,0.9536570569043995,0.9517930863934752,0.9117301264555954,0.9102081725269648,0.9267232103826809,0.7173577098183507,0.9501870129105148,0.8625596401430268,0.832137707104758,0.8284513013773757,0.6255256881190241,0.8246429163776062,0.9235578849054047,0.8274719375944309,0.8631513569414064,0.8318561208227767,0.8459801137323705,0.7677307966618382,0.7703925710985281,0.7714060966454536,0.7973155534681274,0.8139010434445072
Flagellin_1.000_DMSO_0.00025,0.750020012750092,0.6119687441462817,0.7476805606454046,0.7637688907832059,0.7640429212267549,0.7524308671754731,0.7394240199932385,0.7265141777200896,0.9837378859242355,0.9847828088171336,1.0,0.9962328733181491,0.9765984645356169,0.7417816706661958,0.8343067041559866,0.7508218935594161,0.9902883240900852,0.9901519538259335,0.9869867615689195,0.9866408224671634,0.9569561117631757,0.9556940111408657,0.967617923309387,0.7150800304482109,0.985978809944974,0.8890546313355038,0.8605476307075368,0.8599713324132479,0.6002470579984317,0.8547806157208149,0.947681813240275,0.8525544400598004,0.8865056187832319,0.7939133177558998,0.8128476923998306,0.7316056208008118,0.7326623796679435,0.7341231146527473,0.755067527164196,0.7672940515972708
Flagellin_1.000_DMSO_0.025,0.7545734623531123,0.6211997117769558,0.7440905113861768,0.7674149587899384,0.7700713036522027,0.7565361120973165,0.7448782756651962,0.7252499525202695,0.9903683416323484,0.9914819402867252,0.9962328733181491,1.0,0.9697269439301471,0.7463314951981711,0.8388799640820416,0.7457457142495069,0.9834437004980574,0.9832699648195692,0.9794116718373217,0.97867583716989,0.9453385763556571,0.945082889204434,0.9589919932981785,0.7146112801730944,0.9776710692063708,0.8904154897888471,0.8621133727221713,0.8586456993700153,0.6113137346721295,0.8552668014472459,0.948127675911953,0.855185644471551,0.8898531640814573,0.800044357792381,0.8197934166673547,0.7324990320782109,0.7366320099372548,0.736860109551737,0.7612659534411159,0.7764452575064505
Flagellin_1.000_Disulfiram_1.0,0.7186306698696825,0.6127180718783739,0.7639238537972882,0.7537098062730883,0.737494062703958,0.728369944500783,0.7130378931299428,0.6931287114302356,0.9422564457500624,0.9448349042340762,0.9765984645356169,0.9697269439301471,1.0,0.7038435009559127,0.8122253996755583,0.7622273650361677,0.9855011772481005,0.9856958149649744,0.9857132330909818,0.9886936394404726,0.9835217291729702,0.9888078564447399,0.9908206420071377,0.7390195171223161,0.9857995425357948,0.9015543750089534,0.8804522715297266,0.8885767149889278,0.6183124505285507,0.8774084096890956,0.9504939382399304,0.8679793415015112,0.8981257100575585,0.7620218288034933,0.7929625909343258,0.6956471769836442,0.7026206137167345,0.7006015988807123,0.7182386517161151,0.7313070077185229
H2O2_100.000_DMSO_0.025,0.9951201370203583,0.9101828589479007,0.844293925909089,0.9284040393347959,0.9905983186302167,0.9891443508154513,0.9915695669169816,0.9673329111019121,0.7793843064595786,0.7819952274984424,0.7417816706661958,0.7463314951981711,0.7038435009559127,1.0,0.9610176598944048,0.8459645124592212,0.7093560575513761,0.706889017792271,0.6961941311606984,0.689509248475681,0.6644271412723024,0.6572024917598491,0.6715930955639495,0.7067310963558808,0.689069032485147,0.6498927523277509,0.639589958352278,0.6256422590040979,0.7140332149524287,0.6308352430783131,0.6763017648002674,0.6401133720808299,0.6527797363546115,0.9227346889060379,0.8745999625932448,0.9869126760680097,0.9946283751823368,0.9940840244820008,0.9958382286843145,0.9828130807787716
H2O2_100.000_Disulfiram_1.0,0.9713802604138533,0.8646811381423609,0.8777210104288349,0.9453951647372265,0.978996681309037,0.9805134176716082,0.969763208999022,0.9513320611046009,0.8666192013911097,0.870612587555748,0.8343067041559866,0.8388799640820416,0.8122253996755583,0.9610176598944048,1.0,0.8821943532305198,0.8033554258494792,0.8030256364171207,0.7907846358405857,0.7878385076983103,0.7712474300225541,0.7653176506143933,0.7753265302565042,0.7707658398766882,0.785363418022764,0.7402036717961555,0.7267120113718866,0.7222030914739184,0.7385345177795106,0.7225263516384428,0.7708603161816507,0.7238431548413321,0.7401972560127145,0.9500795328582475,0.9300239992917987,0.9575279204411724,0.96255263354857,0.9613786808943996,0.9676874764784396,0.9694751438312903
H2O2_100.000_Z-VAD-FMK_100.0,0.8658820291763434,0.8534600570857075,0.9932344220732849,0.9619085685702824,0.8814367813948374,0.8625649633284727,0.8446205630971398,0.8230995371752842,0.7544272011960329,0.7549257760832765,0.7508218935594161,0.7457457142495069,0.7622273650361677,0.8459645124592212,0.8821943532305198,1.0,0.7480521181776367,0.7505856781550071,0.7424061255639064,0.7418105676984704,0.7442278135628347,0.733697479145369,0.7371606409304108,0.8387144116264924,0.7377794212030166,0.7032670932142379,0.7076028087588293,0.6997684595871376,0.7800265999156529,0.7141905468639574,0.7131171569324181,0.6955885613120256,0.6966470875341081,0.8967220182490967,0.9100818261913557,0.8566759698975198,0.8609300305675079,0.8617468591913436,0.8415940585135336,0.836831351335008
LPS_0.010_DMSO_0.025,0.7196087425616627,0.5956612518252878,0.7481671292370131,0.7437132607514642,0.7348152390006786,0.721046673297064,0.7076667761499287,0.6927614054246617,0.9604954828015557,0.9605839474896805,0.9902883240900852,0.9834437004980574,0.9855011772481005,0.7093560575513761,0.8033554258494792,0.7480521181776367,1.0,0.9993704309494027,0.9986804087325767,0.9978756393301417,0.9755456007501304,0.9750463540966373,0.9821106786004327,0.7177563965828191,0.9963443448751437,0.890671881205298,0.8670492343014172,0.8672357836185429,0.5896058813698587,0.8633555757061123,0.9489099695405845,0.8586149043171285,0.8898608015213296,0.7649816637378039,0.7905708312710159,0.6994195098254484,0.7031506639272646,0.7031868059042287,0.7232215503511153,0.7347198935643667
LPS_0.100_DMSO_0.025,0.717762924193068,0.5948483437572628,0.7507280925699595,0.7443502606618576,0.7333192204123447,0.71932477919423,0.7054126292239622,0.6900213877560188,0.9606656171638045,0.9607464309273884,0.9901519538259335,0.9832699648195692,0.9856958149649744,0.706889017792271,0.8030256364171207,0.7505856781550071,0.9993704309494027,1.0,0.9987660115257472,0.9979847537522444,0.9765322207850506,0.9757247798570798,0.982677455061824,0.720259590147503,0.9964801384930217,0.8925119652952677,0.8689804449013719,0.8695545335172855,0.5904837101194336,0.8657156741287639,0.949615970394282,0.8605078060112727,0.8911968415213031,0.7644645461536339,0.7909400331295883,0.6975692790708238,0.701209590544099,0.7011774303615109,0.7208942829375272,0.7331514508896366
LPS_1.000_DMSO_0.025,0.7070375718495258,0.5885990195551629,0.7441605477229958,0.7332714709315237,0.7220822754528524,0.7088179353337796,0.6949343713807601,0.6765152848969734,0.9534335386523541,0.9536570569043995,0.9869867615689195,0.9794116718373217,0.9857132330909818,0.6961941311606984,0.7907846358405857,0.7424061255639064,0.9986804087325767,0.9987660115257472,1.0,0.9987896088157017,0.9796863587785811,0.978756121813716,0.9856256389028107,0.7165209752393016,0.9977689568571125,0.8966748478274147,0.8740037440244542,0.874693187317384,0.58599601604513,0.8707058690115203,0.9527006054216297,0.8667333584140394,0.8960741972297147,0.7517354430899612,0.7789489665904152,0.685959616793366,0.6899739230361795,0.6900253148045087,0.7100073144190366,0.7218089755844511
LPS_10.000_DMSO_0.025,0.700247339278581,0.5824205596999467,0.7432974871803992,0.7308400731770283,0.7166961559290443,0.7037875208319173,0.6899009677265568,0.6753322887845132,0.9507591017788777,0.9517930863934752,0.9866408224671634,0.97867583716989,0.9886936394404726,0.689509248475681,0.7878385076983103,0.7418105676984704,0.9978756393301417,0.9979847537522444,0.9987896088157017,1.0,0.9821396575529187,0.9827320573615386,0.9888275645978782,0.7208847731145451,0.9983888448251199,0.8987698785785536,0.8753461055972914,0.8788244496022833,0.5899223970846463,0.8721476781050291,0.9548582148907483,0.8654803252375104,0.8967843871335008,0.7485966056265515,0.7765305340013443,0.6808944153153513,0.6838704409555922,0.6844287442299531,0.7026926305434985,0.7140360519971157
LPS_10.000_Disulfiram_0.1,0.6815119702066206,0.5953186848074824,0.7505659867127803,0.7113023508579039,0.6988555936330327,0.6911056626818588,0.6751573596879649,0.6657329613504132,0.910837152774256,0.9117301264555954,0.9569561117631757,0.9453385763556571,0.9835217291729702,0.6644271412723024,0.7712474300225541,0.7442278135628347,0.9755456007501304,0.9765322207850506,0.9796863587785811,0.9821396575529187,1.0,0.9958504347367196,0.9940378296706822,0.7652455707555226,0.9836342974218687,0.9270597056012017,0.9097874919396172,0.9220839227739723,0.6178360048891193,0.9107745823452066,0.9600864300581416,0.8970788169995669,0.9188619384118291,0.7305283122168063,0.7588793623064751,0.6668676508008498,0.6674459480338548,0.6683274826246528,0.6742413516216395,0.6819878373586601
LPS_10.000_Disulfiram_1.0,0.6733480179124681,0.5870944937985833,0.7416380294331355,0.7056019931685972,0.6921120707366896,0.6840126449856841,0.6701474120579476,0.6571840484763862,0.9084429937294676,0.9102081725269648,0.9556940111408657,0.945082889204434,0.9888078564447399,0.6572024917598491,0.7653176506143933,0.733697479145369,0.9750463540966373,0.9757247798570798,0.978756121813716,0.9827320573615386,0.9958504347367196,1.0,0.9971888005129605,0.7578928893762267,0.9826940952510625,0.9241529172298267,0.9069460154292277,0.9186310400184443,0.6206680398453837,0.9064666798408139,0.9607563919553156,0.8926661643064749,0.9184050499238948,0.7209408530091608,0.7510285068219151,0.6553921528929925,0.6592136573282069,0.6588680473377085,0.6677380161928993,0.6770784896683362
LPS_10.000_Disulfiram_2.5,0.6856928629433184,0.5897694491475809,0.7433539825472211,0.7167401836317675,0.7035322428532886,0.6951160221086041,0.6817297382938279,0.6658033225212816,0.9257847518093425,0.9267232103826809,0.967617923309387,0.9589919932981785,0.9908206420071377,0.6715930955639495,0.7753265302565042,0.7371606409304108,0.9821106786004327,0.982677455061824,0.9856256389028107,0.9888275645978782,0.9940378296706822,0.9971888005129605,1.0,0.7532125198930207,0.9896895555141345,0.9297892535521451,0.9112110989130111,0.9201291494911207,0.6216614107862372,0.9098612443977745,0.9688478305262981,0.8989700832903745,0.9249018779348959,0.732516985286152,0.7610811003755784,0.6668756494035883,0.6709335969136079,0.6705946555266322,0.6829065718290946,0.6922065149804246
LPS_10.000_Z-VAD-FMK_100.0,0.7290609646515989,0.7724709291445615,0.8685185389434299,0.7880699077463896,0.7562127053208596,0.7476888230945297,0.7409588847148236,0.7255155917463579,0.7169524254766314,0.7173577098183507,0.7150800304482109,0.7146112801730944,0.7390195171223161,0.7067310963558808,0.7707658398766882,0.8387144116264924,0.7177563965828191,0.720259590147503,0.7165209752393016,0.7208847731145451,0.7652455707555226,0.7578928893762267,0.7532125198930207,1.0,0.7228980603525194,0.8245041269708006,0.8360974389178553,0.8542212558004502,0.9279455844531924,0.842353857778305,0.7895749628866894,0.8117085950699213,0.8162573750947864,0.7834753390570649,0.8072451919231906,0.7236376279129929,0.7238866087354521,0.7290416724292302,0.6996033863269719,0.6976877851762076
LPS_100.000_DMSO_0.025,0.6989369775225626,0.5794604486699045,0.7394398522380737,0.7257647273952241,0.7140509472142936,0.702300988151011,0.6891387543268674,0.6759668958428648,0.9495342759523436,0.9501870129105148,0.985978809944974,0.9776710692063708,0.9857995425357948,0.689069032485147,0.785363418022764,0.7377794212030166,0.9963443448751437,0.9964801384930217,0.9977689568571125,0.9983888448251199,0.9836342974218687,0.9826940952510625,0.9896895555141345,0.7228980603525194,1.0,0.9075800283804227,0.885499426190869,0.88705338712054,0.5903971709822624,0.8827535548414279,0.9605939575956504,0.8775605013280198,0.9057900636113033,0.7461058504905479,0.7726214156999174,0.6806269000010541,0.6829877538143135,0.6836760649829234,0.7014327044214909,0.7126741405825547
LPS_Nigericin_1.000_1.0_DMSO_0.025,0.668321203015757,0.6398015021874642,0.7208277190223349,0.6912546377523665,0.6875704411733533,0.6788482860651026,0.6695777685225929,0.6562316555649391,0.8630540352219561,0.8625596401430268,0.8890546313355038,0.8904154897888471,0.9015543750089534,0.6498927523277509,0.7402036717961555,0.7032670932142379,0.890671881205298,0.8925119652952677,0.8966748478274147,0.8987698785785536,0.9270597056012017,0.9241529172298267,0.9297892535521451,0.8245041269708006,0.9075800283804227,1.0,0.9926871650809218,0.9876736826225381,0.7390955964148993,0.9908773356615144,0.98072232694388,0.9797126879331086,0.9918230009630048,0.7182428638241308,0.7414654336134312,0.6555894070220402,0.6574978686686486,0.6601207471589284,0.6511903213197842,0.6545278659957278
