,Wells,Metadata_Well,correlation
0,B02,B02,1.0
1,C02,B02,0.8281845558716072
2,D02,B02,0.6514328881642164
3,E02,B02,0.735966250929446
4,F02,B02,0.7205598499962316
5,G02,B02,0.5947509779370866
6,H02,B02,0.4143957708034908
7,I02,B02,0.04477510341284067
8,J02,B02,0.7965403562882922
9,K02,B02,0.3886581350173876
10,L02,B02,0.15431201925429439
11,M02,B02,-0.022532302334036414
12,N02,B02,0.24586467168651488
13,O02,B02,-0.12815332324701112
14,B03,B02,0.5314053319827875
15,C03,B02,0.7597217773045714
16,D03,B02,0.7601323621180581
17,E03,B02,0.602048239683633
18,F03,B02,0.5633751989996091
19,G03,B02,0.5476637554829981
20,H03,B02,0.6916589732800976
21,I03,B02,0.005028905809841458
22,J03,B02,0.6226750681661569
23,K03,B02,0.0513048390134747
24,L03,B02,-0.20628676517324476
25,M03,B02,-0.30587254894356714
26,N03,B02,0.02710035006469513
27,O03,B02,-0.010820289907626603
28,B04,B02,0.3290014693994933
29,C04,B02,0.09814987734884861
30,D04,B02,-0.05963115571476211
31,E04,B02,0.17839304669144848
32,F04,B02,0.16619573181941213
33,G04,B02,0.5749636415035476
34,H04,B02,-0.05693607415358612
35,I04,B02,0.5320843067587561
36,J04,B02,0.24056377226277037
37,K04,B02,-0.2734393695860864
38,L04,B02,0.41782862661098935
39,M04,B02,0.5734260064451976
40,N04,B02,0.35374879987852564
41,O04,B02,-0.0617503488524884
42,B05,B02,0.29572095723853764
43,C05,B02,-0.2938819495771366
44,D05,B02,-0.36673687855676446
45,E05,B02,-0.08012391866224658
46,F05,B02,0.29414965296724954
47,G05,B02,0.30782090439283755
48,H05,B02,0.21534967679593242
49,I05,B02,0.21376422525299416
50,J05,B02,0.053795277247659645
51,K05,B02,0.03841276480338903
52,L05,B02,0.4884972995111305
53,M05,B02,0.6981578803412568
54,N05,B02,-0.04258739335504294
55,O05,B02,0.029950362913239683
56,B06,B02,-0.1108801679709386
57,C06,B02,-0.2285562189820139
58,D06,B02,0.4404029625684963
59,E06,B02,-0.24364266352310496
60,F06,B02,-0.0034371043863392287
61,G06,B02,0.3756021176731843
62,H06,B02,0.11838871536433702
63,I06,B02,0.020125410981762425
64,J06,B02,-0.3069926646408283
65,K06,B02,0.1750958621811872
66,L06,B02,-0.2583634278065695
67,M06,B02,0.41554872102366774
68,N06,B02,0.4819765958986345
69,O06,B02,0.05450626860485468
70,B07,B02,0.13459795833326132
71,C07,B02,-0.1081586990887671
72,D07,B02,0.04091010612786482
73,E07,B02,-0.25762136529303176
74,F07,B02,0.08621178192328945
75,G07,B02,0.20903865379134112
76,H07,B02,0.29445442904956964
77,I07,B02,0.05179804756780427
78,J07,B02,0.20887018918269892
79,K07,B02,0.20486153341473717
80,L07,B02,-0.2132251279702057
81,M07,B02,0.1349392399820715
82,N07,B02,0.014177269309933495
83,O07,B02,-0.2441171457490974
84,B08,B02,0.37309478015534797
85,C08,B02,0.01164527327751702
86,D08,B02,0.11893060021061128
87,E08,B02,0.2596449624400479
88,F08,B02,0.13923364300864044
89,G08,B02,-0.3236775023972975
90,H08,B02,0.28025461950489094
91,I08,B02,-0.11526044809116226
92,J08,B02,0.31195581213143475
93,K08,B02,-0.11480926757305168
94,L08,B02,-0.49991602756862047
95,M08,B02,-0.16996563659057606
96,N08,B02,-0.16840253868450597
97,O08,B02,-0.39917997876845496
98,B09,B02,0.39571619076361014
99,C09,B02,0.06795190087247678
100,D09,B02,0.13199800606989998
101,E09,B02,0.08829911486349194
102,F09,B02,-0.1945872151913984
103,G09,B02,0.17441608612543658
104,H09,B02,-0.13406977745862717
105,I09,B02,-0.3550396202381947
106,J09,B02,0.09386684271730389
107,K09,B02,-0.27262122757988033
108,L09,B02,-0.19118016165610585
109,M09,B02,-0.5083821987770425
110,N09,B02,-0.12251668326417081
111,O09,B02,-0.4796213839226758
112,B10,B02,0.06069612232748484
113,C10,B02,-0.2638821132423147
114,D10,B02,-0.4141913061646431
115,E10,B02,-0.158570312310716
116,F10,B02,-0.22611695940062493
117,G10,B02,-0.49002212061515465
118,H10,B02,-0.3751853105497527
119,I10,B02,-0.44591129943270397
120,J10,B02,0.09282723452644996
121,K10,B02,-0.32912970685037074
