,Treatments,oneb_Metadata_Treatment_Dose_Inhibitor_Dose,correlation
0,DMSO_0.100_DMSO_0.025,DMSO_0.100_DMSO_0.025,1.0
1,DMSO_0.100_DMSO_1.000,DMSO_0.100_DMSO_0.025,0.8697571882119914
2,DMSO_0.100_Z-VAD-FMK_100.000,DMSO_0.100_DMSO_0.025,0.8346642194205361
3,DMSO_0.100_Z-VAD-FMK_30.000,DMSO_0.100_DMSO_0.025,0.8421922912083073
4,Disulfiram_0.100_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.812732897451367
5,Disulfiram_1.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.7921265818980656
6,Disulfiram_2.500_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.7836558024691537
7,Flagellin_0.100_DMSO_0.000,DMSO_0.100_DMSO_0.025,0.7940835722410529
8,Flagellin_0.100_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.7910082180865605
9,Flagellin_1.000_DMSO_0.000,DMSO_0.100_DMSO_0.025,0.7773653630245324
10,Flagellin_1.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.7814696269113287
11,Flagellin_1.000_Disulfiram_1.000,DMSO_0.100_DMSO_0.025,0.7755183275055766
12,H2O2_100.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.7855461263306927
13,H2O2_100.000_Disulfiram_1.000,DMSO_0.100_DMSO_0.025,0.7836439342170458
14,H2O2_100.000_Z-VAD-FMK_100.000,DMSO_0.100_DMSO_0.025,0.7794903429640582
15,LPS_0.010_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.7713259294200744
16,LPS_0.100_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.7728169005592349
17,LPS_1.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.7721425127200672
18,LPS_10.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.7728163426505298
19,LPS_10.000_Disulfiram_0.100,DMSO_0.100_DMSO_0.025,0.7745983471189436
20,LPS_10.000_Disulfiram_1.000,DMSO_0.100_DMSO_0.025,0.7749778177014067
21,LPS_10.000_Disulfiram_2.500,DMSO_0.100_DMSO_0.025,0.7750093071245081
22,LPS_10.000_Z-VAD-FMK_100.000,DMSO_0.100_DMSO_0.025,0.7817793663524132
23,LPS_100.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.7728618811887015
24,LPS_Nigericin_1.000_1.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.7747996652463691
25,LPS_Nigericin_1.000_10.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.7671120280538318
26,LPS_Nigericin_1.000_10.000_Disulfiram_1.000,DMSO_0.100_DMSO_0.025,0.7804631993567529
27,LPS_Nigericin_1.000_10.000_Z-VAD-FMK_100.000,DMSO_0.100_DMSO_0.025,0.7834906490525387
28,LPS_Nigericin_1.000_3.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.7701318315188828
29,LPS_Nigericin_100.000_1.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.7755226886989138
