oneb_Metadata_Treatment_Dose_Inhibitor_Dose,DMSO_0.1_DMSO_0.025,DMSO_0.1_DMSO_1.0,DMSO_0.1_Z-VAD-FMK_100.0,DMSO_0.1_Z-VAD-FMK_30.0,Disulfiram_0.1_DMSO_0.025,Disulfiram_1.0_DMSO_0.025,Disulfiram_2.5_DMSO_0.025,Flagellin_0.1_DMSO_0.00025,Flagellin_0.1_DMSO_0.025,Flagellin_1.0_DMSO_0.00025,Flagellin_1.0_DMSO_0.025,Flagellin_1.0_Disulfiram_1.0,H2O2_100.0_DMSO_0.025,H2O2_100.0_Disulfiram_1.0,H2O2_100.0_Z-VAD-FMK_100.0,LPS_0.01_DMSO_0.025,LPS_0.1_DMSO_0.025,LPS_1.0_DMSO_0.025,LPS_10.0_DMSO_0.025,LPS_10.0_Disulfiram_0.1,LPS_10.0_Disulfiram_1.0,LPS_10.0_Disulfiram_2.5,LPS_10.0_Z-VAD-FMK_100.0,LPS_100.0_DMSO_0.025,LPS_Nigericin_1.0_1.0_DMSO_0.025,LPS_Nigericin_1.0_10.0_DMSO_0.025,LPS_Nigericin_1.0_10.0_Disulfiram_1.0,LPS_Nigericin_1.0_10.0_Z-VAD-FMK_100.0,LPS_Nigericin_1.0_3.0_DMSO_0.025,LPS_Nigericin_100.0_1.0_DMSO_0.025,LPS_Nigericin_100.0_10.0_DMSO_0.025,LPS_Nigericin_100.0_3.0_DMSO_0.025,Thapsigargin_1.0_DMSO_0.025,Thapsigargin_10.0_DMSO_0.025,Topotecan_10.0_DMSO_0.025,Topotecan_20.0_DMSO_0.025,Topotecan_5.0_DMSO_0.025,media ctr_0.0_Media ctr_0.0,media ctr_0.0_Media_0.0
DMSO_0.1_DMSO_0.025,1.0,0.8306827781235646,0.618989120255195,0.7313941925308238,0.924739143002027,0.8937124563941132,0.9080925950576969,0.3580276270909893,0.36511001592898784,0.17658006352432729,0.2884874787139359,0.12451795773515188,0.9356241869581444,0.879508031462947,0.565138039564246,0.062049315555619475,0.06576129010401438,0.01821937006083031,0.035427878388128255,0.1297627592357053,0.1448089792201139,0.15058472244720655,0.5047722097422025,0.03919983146170944,0.09544899030032956,-0.07958429696606173,0.2572953450030509,0.3121609544788726,-0.03342003789892216,0.21411675622451157,-0.02112712195822773,0.11465315522773756,0.7876123874382076,0.4798005764979675,0.9189678070531411,0.8955487143327665,0.9190738077933481,0.9218326765143338,0.8237954053921476
DMSO_0.1_DMSO_1.0,0.8306827781235646,1.0,0.7218546744185487,0.627825599786301,0.7841733402999841,0.7320074240922041,0.7669658344259397,0.12866307261629803,0.10522231020681624,-0.04666976710150377,0.061776368280085724,-0.0646508117973439,0.8159057167578413,0.682169682710125,0.66582643488919,-0.1385829049552766,-0.12585082834513717,-0.17486476084759975,-0.15583133151170292,0.0005522088237618619,0.016258198181175815,0.013879492300577754,0.6644026384181638,-0.14845482542517144,0.1296972925303277,0.058499757624824594,0.25773879830272356,0.5270353567683718,0.07816614512588362,0.07900309823443437,0.05928094154097974,0.15338784583558832,0.5838227544703589,0.27280020663286414,0.8145967845108333,0.7839705884961633,0.8222941054101416,0.8116411677129624,0.6762180921801142
DMSO_0.1_Z-VAD-FMK_100.0,0.618989120255195,0.7218546744185487,1.0,0.7463834099763603,0.5867148424102253,0.5474766708562273,0.5619626389033168,0.0741534904678137,0.06202406033810825,-0.022601184650589596,0.03921456165998621,0.061533272188360834,0.6061710760038921,0.5342956093355363,0.8321442356946209,-0.10979579061009548,-0.08662820971293476,-0.10338668455303221,-0.1014154277336445,0.14402708082582286,0.10187410034507852,0.07560364277118133,0.7577421638330323,-0.06668474968946289,0.22545117260004668,0.15996073913921782,0.31819959563535055,0.6125979778148694,0.20677455559943697,0.1125896345042265,0.13647911912832703,0.22771658459320518,0.43379751249843884,0.25037326876288174,0.5973014618112269,0.5792338299576634,0.5871699499690812,0.5897652246870908,0.4747145839154899
DMSO_0.1_Z-VAD-FMK_30.0,0.7313941925308238,0.627825599786301,0.7463834099763603,1.0,0.7102241017826977,0.6868756502252645,0.6508397953869034,0.2635052085964691,0.25636683582960723,0.13331808113254176,0.205174940226138,0.21090320478156213,0.7029253550857293,0.7109624771365787,0.7441596899165472,0.014362567787792746,0.031653269017951235,0.012061892125379428,-0.0024562404220557174,0.14498770938398223,0.13186865908244846,0.14732268499845574,0.5375992736328333,0.03975223880558028,0.1864222550014755,0.035593970727394175,0.28439318186512513,0.39642291739085056,0.07184572863271659,0.21367124407999402,0.06777284818007093,0.19654273879822695,0.6452258711435745,0.4485621712505759,0.6980148629605059,0.6652436086693446,0.7017539526389486,0.6790335800846626,0.620927179390567
Disulfiram_0.1_DMSO_0.025,0.924739143002027,0.7841733402999841,0.5867148424102253,0.7102241017826977,1.0,0.8798794501538367,0.8635637385641902,0.36296537345672725,0.3710647206598777,0.21519227248948417,0.29302757186733236,0.16479192741597734,0.9048616012246848,0.843847233915322,0.5512212622656464,0.0971476682700162,0.07289499257859121,0.03760168011798968,0.05618597706020345,0.1485384358988203,0.13696870196341351,0.1520051644641035,0.5002083770274705,0.04999590045242869,0.12065059537035878,-0.04503474790371613,0.2608999310109054,0.31061327319644844,-0.018888649976281147,0.2482738548283028,-0.002828311830697554,0.1409657020493122,0.750806220474323,0.480068419472021,0.8865661958599408,0.8673956579908648,0.8697238119201568,0.8899487406853581,0.7749508395735575
Disulfiram_1.0_DMSO_0.025,0.8937124563941132,0.7320074240922041,0.5474766708562273,0.6868756502252645,0.8798794501538367,1.0,0.8462906321978547,0.3730682277956979,0.4063686655654508,0.23126198381382282,0.2824272556680676,0.18179049242288914,0.8948048584534684,0.8512361783110808,0.48862651244735583,0.11346172868993805,0.09331409011602279,0.0817663942827513,0.063702690418406,0.17328895932403587,0.13790705435840095,0.18189142672460973,0.4390625743491008,0.07880367964148427,0.13371502163011906,-0.01874037483878843,0.2938116654136938,0.27497472792207384,-0.008613356501810755,0.2884593470569825,0.013054561085808422,0.14132230716537225,0.7558911003011898,0.47344912496776664,0.8701301151705524,0.8583153602758564,0.8505004674589242,0.8644565209300252,0.7895696329481017
Disulfiram_2.5_DMSO_0.025,0.9080925950576969,0.7669658344259397,0.5619626389033168,0.6508397953869034,0.8635637385641902,0.8462906321978547,1.0,0.3427655949091752,0.3368602483126103,0.17451433087897272,0.27930396332288504,0.12888821381058296,0.8867581663604799,0.8558855790411235,0.5301266845026574,0.04917108432083094,0.041416650518099056,0.0019729551729143016,0.030780408625764782,0.11185840300586411,0.17205254213279636,0.15407137431252851,0.47609835758106833,0.023272233880701317,0.11506050242828393,-0.04687042860810122,0.25587524434638226,0.28313459589871887,-0.010321924582216806,0.21349426994302445,0.026061924512919107,0.15933216240631295,0.7320577172856907,0.45954975414597776,0.8823246341428329,0.8296923406373118,0.874492910028242,0.8775905126783106,0.7956422812764417
Flagellin_0.1_DMSO_0.00025,0.3580276270909893,0.12866307261629803,0.0741534904678137,0.2635052085964691,0.36296537345672725,0.3730682277956979,0.3427655949091752,1.0,0.7321537539011543,0.6251142961177791,0.721746012528787,0.5667485913411253,0.3395664862071077,0.41577146115430086,0.025397961533974174,0.6278357588234462,0.6009693732180721,0.6034660590792608,0.5713774403034402,0.48339017070775697,0.4479235978337844,0.4745073033397546,-0.006627495635267857,0.5983688210690341,0.01827847310102369,-0.20006554935037774,0.18465156795729376,-0.2159708699227339,-0.16772778336977653,0.4063740810220835,-0.17225216315967132,0.0387245909093025,0.3645602397646125,0.2908868678444726,0.3383077123472685,0.3149574329792026,0.3053950109579158,0.34247066453981717,0.31812042745639413
Flagellin_0.1_DMSO_0.025,0.36511001592898784,0.10522231020681624,0.06202406033810825,0.25636683582960723,0.3710647206598777,0.4063686655654508,0.3368602483126103,0.7321537539011543,1.0,0.7238516131870352,0.8155572144602042,0.6425063998066645,0.33441502453845695,0.4795946185804055,0.010396747665755377,0.7009904828571081,0.714718509679537,0.6571923485637552,0.6521160154179625,0.562110110169796,0.506777971626893,0.5379511183225012,-0.05952151753190112,0.6731143631288976,0.06142352985909294,-0.1780301003659171,0.2040148653703591,-0.2463308442010446,-0.16999137295759456,0.47406498471041747,-0.16345606932293114,0.04786386121585842,0.41349787177384756,0.3505859392730279,0.3189945592007084,0.31422016709781164,0.2918459790386385,0.38123619418148585,0.3502199768070343
Flagellin_1.0_DMSO_0.00025,0.17658006352432729,-0.04666976710150377,-0.022601184650589596,0.13331808113254176,0.21519227248948417,0.23126198381382282,0.17451433087897272,0.6251142961177791,0.7238516131870352,1.0,0.7611719131826107,0.6782214447560605,0.14507786000272171,0.28571916087844823,-0.10060008686155175,0.7354338730110749,0.7471798706735355,0.7215815869709026,0.727671482229606,0.5892856891946281,0.5541245587626888,0.5502287293310371,-0.17579846685998382,0.7461970517935484,0.09731580923885168,-0.15677478281239848,0.2314656622104217,-0.33205998661457214,-0.19187118354415283,0.48365782107271243,-0.12193059017955396,0.08087992910872152,0.20823816107563994,0.16140219748774665,0.13806976036342514,0.139232981403944,0.1317899608118381,0.18472277930953082,0.157390127008354
Flagellin_1.0_DMSO_0.025,0.2884874787139359,0.061776368280085724,0.03921456165998621,0.205174940226138,0.29302757186733236,0.2824272556680676,0.27930396332288504,0.721746012528787,0.8155572144602042,0.7611719131826107,1.0,0.7010157275400389,0.25019890774452214,0.3876156980559438,-0.020094803535049416,0.7531360304135373,0.7738582060765977,0.7353778795850954,0.7585990481485183,0.6225433896955306,0.6021521227437853,0.5976849806726942,-0.07994959281931101,0.7516177130528902,0.09220419587190384,-0.1813056300129015,0.17078242533165633,-0.30636388101434026,-0.15420395314951085,0.4829840188861725,-0.14127759783302465,0.09458141519713587,0.31805044942015487,0.24318349977255813,0.2365383562985868,0.21325824427875725,0.22573955876974633,0.28640780066481397,0.3079046139847775
Flagellin_1.0_Disulfiram_1.0,0.12451795773515188,-0.0646508117973439,0.061533272188360834,0.21090320478156213,0.16479192741597734,0.18179049242288914,0.12888821381058296,0.5667485913411253,0.6425063998066645,0.6782214447560605,0.7010157275400389,1.0,0.11045203077568332,0.29987527017051796,0.04589131292470862,0.7254065314174246,0.7418534971786329,0.7297438006652087,0.7621403275916246,0.7769492485230928,0.8023497245033361,0.7894307079218736,-0.09160848100880534,0.7821635284624987,0.2258466666608601,-0.039505977138708716,0.334738078150951,-0.29039998487461816,-0.012084800619269994,0.5582221465382492,-0.026145607793707896,0.20756722514307227,0.14501408817323994,0.11894836718683877,0.09939668087283203,0.08116743178452943,0.09115904240654137,0.12167677635269074,0.18118534831607375
H2O2_100.0_DMSO_0.025,0.9356241869581444,0.8159057167578413,0.6061710760038921,0.7029253550857293,0.9048616012246848,0.8948048584534684,0.8867581663604799,0.3395664862071077,0.33441502453845695,0.14507786000272171,0.25019890774452214,0.11045203077568332,1.0,0.8629382645159773,0.5808812634280284,0.03864036116415772,0.028436620829780802,-0.004523586635241525,0.00038226270576270584,0.09308499203735625,0.09424444744696948,0.1168369914277779,0.5337424738926431,0.016501508996105925,0.09923117654632173,-0.03698053438626582,0.25688589302950643,0.35564547760313603,-0.006417131105051256,0.22315783360257083,-0.007237733813117943,0.11309700602450201,0.7623128908717943,0.45376123351972614,0.9125695905675009,0.9046127191552924,0.9056934056875529,0.9219195780559195,0.8007349564163724
H2O2_100.0_Disulfiram_1.0,0.879508031462947,0.682169682710125,0.5342956093355363,0.7109624771365787,0.843847233915322,0.8512361783110808,0.8558855790411235,0.41577146115430086,0.4795946185804055,0.28571916087844823,0.3876156980559438,0.29987527017051796,0.8629382645159773,1.0,0.5350943504792931,0.18314914986328903,0.18394944308300037,0.13559946683302673,0.14918461767457797,0.24211629250965236,0.25509450304926995,0.24296740921340043,0.42642517526846735,0.16516548155029012,0.15766350927103714,-0.03586250685879379,0.2875849019755872,0.21439576145165104,0.020073476846267986,0.30383824781694957,0.017754185578309756,0.1876477827448301,0.758456509811933,0.5166139387934873,0.816704168813031,0.8303734717688461,0.8378519458149137,0.8573709245217979,0.7695899365876296
H2O2_100.0_Z-VAD-FMK_100.0,0.565138039564246,0.66582643488919,0.8321442356946209,0.7441596899165472,0.5512212622656464,0.48862651244735583,0.5301266845026574,0.025397961533974174,0.010396747665755377,-0.10060008686155175,-0.020094803535049416,0.04589131292470862,0.5808812634280284,0.5350943504792931,1.0,-0.14451708236877528,-0.1376258006141058,-0.15784956113592913,-0.1592569856402061,0.05139752897700507,0.03476766407248381,0.004737332955052841,0.7138967682704361,-0.1300100363193493,0.2203402092904833,0.16522975473782942,0.2806847843378782,0.5835330922224922,0.22031260991468335,0.07331116192028234,0.13862680250978707,0.21552689622155644,0.4270220127643017,0.22148452859017545,0.5857200914405383,0.5674530363429741,0.5599891418127823,0.5379246722543586,0.46879099028074156
LPS_0.01_DMSO_0.025,0.062049315555619475,-0.1385829049552766,-0.10979579061009548,0.014362567787792746,0.0971476682700162,0.11346172868993805,0.04917108432083094,0.6278357588234462,0.7009904828571081,0.7354338730110749,0.7531360304135373,0.7254065314174246,0.03864036116415772,0.18314914986328903,-0.14451708236877528,1.0,0.8945984079081527,0.8890803943881413,0.8807328320003893,0.735395890440684,0.6471462010800394,0.6616289332015421,-0.24837494400700896,0.8711534120257436,0.006770197279521628,-0.24232374674847038,0.1538611657094193,-0.4525208413819524,-0.21584067727730388,0.47851883627384206,-0.21783491718115072,0.026112818335976017,0.11714845767395181,0.11703416977916337,0.021755935890238932,0.014352755847754656,0.01864171579058647,0.07988709514104773,0.1207825252230206
