,Wells,Metadata_Well,correlation
0,B06,B06,1.0
1,C06,B06,0.6438672488018403
2,I06,B06,0.6304791055142583
3,J06,B06,0.6454989138531453
4,B07,B06,0.6834798080186852
5,C07,B06,0.6292798870025609
6,I07,B06,0.6601504268954782
7,J07,B06,0.6836042421474184
8,C12,B06,0.5826928779188646
9,D12,B06,0.41587354094933526
10,E12,B06,0.5032251180971
11,F12,B06,0.4169433411201625
12,G12,B06,0.5321346243511396
13,H12,B06,0.5980050456220379
14,J12,B06,0.6539818878327015
15,K12,B06,0.4738408516915721
16,L12,B06,0.552901825879128
17,M12,B06,0.419088301130142
18,N12,B06,0.41268397496066356
19,O12,B06,0.538909793842157
20,M05,B06,0.22383169892720078
21,N05,B06,0.09069161222564186
22,B02,B06,0.0849969456099425
23,B03,B06,0.17078087235953446
24,B08,B06,0.07748973396569406
25,B09,B06,0.10398345348063007
26,C02,B06,0.07478277548976618
27,C03,B06,0.08709724958946155
28,L04,B06,0.3341529256954226
29,L05,B06,0.3662388081895258
30,C08,B06,0.13887797677301889
31,C09,B06,0.1707802970935951
32,L10,B06,0.3773150023563696
33,L11,B06,0.3844473953098986
34,E04,B06,0.6400873546291894
35,E05,B06,0.6370063761898404
36,E10,B06,0.6404520192910397
37,E11,B06,0.6759928061474652
38,K02,B06,0.24668273973008464
39,K03,B06,-0.056229227305420716
40,K08,B06,0.05901331870449779
41,K09,B06,0.00791623509631546
42,M02,B06,-0.022853985840443788
43,N02,B06,0.30050583369264794
44,O02,B06,0.2912140841697865
45,M03,B06,-0.13154738965020973
46,N03,B06,0.18435838445772812
47,O03,B06,0.1755271811606196
48,M08,B06,-0.11395157658054658
49,N08,B06,0.32066508930712034
50,O08,B06,0.2415504830418227
51,M09,B06,-0.05425140358257204
52,N09,B06,0.23505391540675272
53,O09,B06,0.1773237833136771
54,L02,B06,0.011473485078091593
55,L03,B06,-0.07418621203860917
56,L08,B06,0.0619680600316618
57,L09,B06,-0.06910864799591711
58,D02,B06,0.12139402891768006
59,D03,B06,0.06463476905648333
60,M04,B06,0.21998419811574466
61,N04,B06,0.13581661120156102
62,D08,B06,0.1704903519485058
63,D09,B06,0.03541861672745958
64,M10,B06,0.2525278645439064
65,N10,B06,0.20551555878470126
66,M11,B06,0.267889756554658
