,Treatments,oneb_Metadata_Treatment_Dose_Inhibitor_Dose,correlation
0,DMSO_0.100_DMSO_0.025,DMSO_0.100_DMSO_0.025,1.0
1,DMSO_0.100_DMSO_1.0,DMSO_0.100_DMSO_0.025,0.663965080234895
2,DMSO_0.100_Z-VAD-FMK_100.0,DMSO_0.100_DMSO_0.025,0.5068272738601493
3,DMSO_0.100_Z-VAD-FMK_30.0,DMSO_0.100_DMSO_0.025,0.7436855829661569
4,Disulfiram_0.100_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.3470986125785832
5,Disulfiram_1.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.0009452596955641921
6,Disulfiram_2.500_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.21405517662896686
7,Flagellin_0.100_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.10566459068533471
8,Flagellin_1.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.4956526991350973
9,Flagellin_1.000_Disulfiram_1.0,DMSO_0.100_DMSO_0.025,-0.40940245828852023
10,H2O2_100.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.1265527397705096
11,H2O2_100.000_Disulfiram_1.0,DMSO_0.100_DMSO_0.025,-0.45344597069425324
12,H2O2_100.000_Z-VAD-FMK_100.0,DMSO_0.100_DMSO_0.025,0.044430560096027485
13,LPS_0.010_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.6497184731230404
14,LPS_0.100_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.7357695286906645
15,LPS_1.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.2521030637052549
16,LPS_10.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.18913872842560128
17,LPS_10.000_Disulfiram_0.1,DMSO_0.100_DMSO_0.025,-0.08391001212802623
18,LPS_10.000_Disulfiram_1.0,DMSO_0.100_DMSO_0.025,-0.04624771661550301
19,LPS_10.000_Disulfiram_2.5,DMSO_0.100_DMSO_0.025,-0.2960173454652095
20,LPS_10.000_Z-VAD-FMK_100.0,DMSO_0.100_DMSO_0.025,0.29241027989604573
21,LPS_100.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,-0.21969184586267101
22,LPS_Nigericin_1.000_1.0_DMSO_0.025,DMSO_0.100_DMSO_0.025,-0.34563142044637335
23,LPS_Nigericin_1.000_10.0_DMSO_0.025,DMSO_0.100_DMSO_0.025,-0.40966119164838494
24,LPS_Nigericin_1.000_10.0_Disulfiram_1.0,DMSO_0.100_DMSO_0.025,-0.3662532946814023
25,LPS_Nigericin_1.000_10.0_Z-VAD-FMK_100.0,DMSO_0.100_DMSO_0.025,-0.09125444520857041
26,LPS_Nigericin_1.000_3.0_DMSO_0.025,DMSO_0.100_DMSO_0.025,-0.3812544471333638
27,LPS_Nigericin_100.000_1.0_DMSO_0.025,DMSO_0.100_DMSO_0.025,-0.5577278923055072
28,LPS_Nigericin_100.000_10.0_DMSO_0.025,DMSO_0.100_DMSO_0.025,-0.49054002539598307
29,LPS_Nigericin_100.000_3.0_DMSO_0.025,DMSO_0.100_DMSO_0.025,-0.3765393556381631
30,Thapsigargin_1.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.021315520135223462
31,Thapsigargin_10.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,-0.20208166819538648
32,Topotecan_10.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.6353503237454439
33,Topotecan_20.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.5922754217057922
34,Topotecan_5.000_DMSO_0.025,DMSO_0.100_DMSO_0.025,0.624370438304949
35,media ctr_0_Media ctr_0.0,DMSO_0.100_DMSO_0.025,0.784966612550374
36,DMSO_0.100_DMSO_0.025,DMSO_0.100_DMSO_1.0,0.663965080234895
37,DMSO_0.100_DMSO_1.0,DMSO_0.100_DMSO_1.0,1.0
38,DMSO_0.100_Z-VAD-FMK_100.0,DMSO_0.100_DMSO_1.0,0.6528436612933534
39,DMSO_0.100_Z-VAD-FMK_30.0,DMSO_0.100_DMSO_1.0,0.6519193055048794
40,Disulfiram_0.100_DMSO_0.025,DMSO_0.100_DMSO_1.0,0.255063960585499
41,Disulfiram_1.000_DMSO_0.025,DMSO_0.100_DMSO_1.0,0.027877014728585208
42,Disulfiram_2.500_DMSO_0.025,DMSO_0.100_DMSO_1.0,0.15650858082548785
43,Flagellin_0.100_DMSO_0.025,DMSO_0.100_DMSO_1.0,0.1659718365054822
44,Flagellin_1.000_DMSO_0.025,DMSO_0.100_DMSO_1.0,0.2650688386375375
45,Flagellin_1.000_Disulfiram_1.0,DMSO_0.100_DMSO_1.0,-0.16757325201683212
46,H2O2_100.000_DMSO_0.025,DMSO_0.100_DMSO_1.0,0.34536755553800086
47,H2O2_100.000_Disulfiram_1.0,DMSO_0.100_DMSO_1.0,-0.34573097373008976
48,H2O2_100.000_Z-VAD-FMK_100.0,DMSO_0.100_DMSO_1.0,0.3109726113614648
49,LPS_0.010_DMSO_0.025,DMSO_0.100_DMSO_1.0,0.4637691768892208
50,LPS_0.100_DMSO_0.025,DMSO_0.100_DMSO_1.0,0.5133399777859968
51,LPS_1.000_DMSO_0.025,DMSO_0.100_DMSO_1.0,0.13446359475235622
52,LPS_10.000_DMSO_0.025,DMSO_0.100_DMSO_1.0,0.16926917053854895
53,LPS_10.000_Disulfiram_0.1,DMSO_0.100_DMSO_1.0,-0.23416587677709955
54,LPS_10.000_Disulfiram_1.0,DMSO_0.100_DMSO_1.0,-0.0484628509569438
55,LPS_10.000_Disulfiram_2.5,DMSO_0.100_DMSO_1.0,-0.20705449455969238
56,LPS_10.000_Z-VAD-FMK_100.0,DMSO_0.100_DMSO_1.0,0.41117553964722603
57,LPS_100.000_DMSO_0.025,DMSO_0.100_DMSO_1.0,-0.3161734879288494
58,LPS_Nigericin_1.000_1.0_DMSO_0.025,DMSO_0.100_DMSO_1.0,-0.3093864008047548
59,LPS_Nigericin_1.000_10.0_DMSO_0.025,DMSO_0.100_DMSO_1.0,-0.602355394023478
60,LPS_Nigericin_1.000_10.0_Disulfiram_1.0,DMSO_0.100_DMSO_1.0,-0.37409681341238044
