oneb_Metadata_Treatment_Dose_Inhibitor_Dose,DMSO_0.100_DMSO_0.025,DMSO_0.100_DMSO_1.0,DMSO_0.100_Z-VAD-FMK_100.0,DMSO_0.100_Z-VAD-FMK_30.0,Disulfiram_0.100_DMSO_0.025,Disulfiram_1.000_DMSO_0.025,Disulfiram_2.500_DMSO_0.025,Flagellin_0.100_DMSO_0.025,Flagellin_1.000_DMSO_0.025,Flagellin_1.000_Disulfiram_1.0,H2O2_100.000_DMSO_0.025,H2O2_100.000_Disulfiram_1.0,H2O2_100.000_Z-VAD-FMK_100.0,LPS_0.010_DMSO_0.025,LPS_0.100_DMSO_0.025,LPS_1.000_DMSO_0.025,LPS_10.000_DMSO_0.025,LPS_10.000_Disulfiram_0.1,LPS_10.000_Disulfiram_1.0,LPS_10.000_Disulfiram_2.5,LPS_10.000_Z-VAD-FMK_100.0,LPS_100.000_DMSO_0.025,LPS_Nigericin_1.000_1.0_DMSO_0.025,LPS_Nigericin_1.000_10.0_DMSO_0.025,LPS_Nigericin_1.000_10.0_Disulfiram_1.0,LPS_Nigericin_1.000_10.0_Z-VAD-FMK_100.0,LPS_Nigericin_1.000_3.0_DMSO_0.025,LPS_Nigericin_100.000_1.0_DMSO_0.025,LPS_Nigericin_100.000_10.0_DMSO_0.025,LPS_Nigericin_100.000_3.0_DMSO_0.025,Thapsigargin_1.000_DMSO_0.025,Thapsigargin_10.000_DMSO_0.025,Topotecan_10.000_DMSO_0.025,Topotecan_20.000_DMSO_0.025,Topotecan_5.000_DMSO_0.025,media ctr_0_Media ctr_0.0
DMSO_0.100_DMSO_0.025,1.0,0.9924715067176615,0.9859016855275226,0.9937397778626895,0.9892493638004737,0.9597038784718221,0.9796517651938279,0.9724159160916845,0.9756616440715732,0.9322807744264603,0.9820945049939477,0.937871037393382,0.9627722708282516,0.9921267582503971,0.9872923166257622,0.9733562876874878,0.9708939477108403,0.9588292052398716,0.95702060272619,0.9496654352638483,0.972633419561061,0.96146487340232,0.9554388859588429,0.9510893342563871,0.9224911791890628,0.918693638470231,0.9456267984109851,0.9503898403936792,0.9274176452021569,0.9514690465007233,0.9522407425628999,0.9233383625335317,0.9929442367738353,0.9910368941428813,0.9927854102734386,0.9947189469862467
DMSO_0.100_DMSO_1.0,0.9924715067176615,1.0,0.9891986248361132,0.9912121825242907,0.9867083492415027,0.9592592915297725,0.9772922351072066,0.9696041704090984,0.9691860904337417,0.9351602336528275,0.9851506142247458,0.9394242230235473,0.9709998554191795,0.9883479122419822,0.9816456908498339,0.9681917859248189,0.9665144401510379,0.9518520683159378,0.9525343267732151,0.946653177143603,0.9717769896470136,0.95545719090908,0.9523307892935475,0.9420545644143323,0.9197880251860042,0.9156600890480536,0.936074193104054,0.9478107752897089,0.9223840245644878,0.9453361186394014,0.9574028868139313,0.9316276858598342,0.9878613295411564,0.986362004181312,0.986292749902797,0.9919697633253498
DMSO_0.100_Z-VAD-FMK_100.0,0.9859016855275226,0.9891986248361132,1.0,0.9902380291400676,0.9765569530406643,0.9335388125525368,0.9592969535790632,0.9652161133508297,0.9657973352381435,0.9226603305906959,0.9802465865673582,0.9185130325947979,0.9829444468289991,0.9864865712689908,0.9743989517350503,0.9621988422163219,0.9572547469284329,0.944700934573974,0.9372032014212036,0.9341406625980976,0.9798911511472631,0.9467023801748203,0.944961654752995,0.9370881156589258,0.9064812316466566,0.9460755263175585,0.9248047159659781,0.9392710470729729,0.9040468768947916,0.9366682171477791,0.9676151086854977,0.9461847416076797,0.9765228088070326,0.9757652488196784,0.9768326778699682,0.9844521305409475
DMSO_0.100_Z-VAD-FMK_30.0,0.9937397778626895,0.9912121825242907,0.9902380291400676,1.0,0.9871118763063246,0.9551996067805362,0.9738046790527138,0.9730495889211938,0.9739468281335085,0.9344725204860572,0.9824739383947966,0.9359027929929196,0.971824152809703,0.9919050920130124,0.9838194155978702,0.9722332610472354,0.9675211955979696,0.9553680316406337,0.951628744419605,0.9474760542370094,0.9757107032081552,0.9595829763791008,0.9527680166929821,0.9477462123638741,0.9208141353395956,0.929867636049573,0.9395819310978211,0.9490845792242617,0.9211236285014233,0.9469848091777131,0.9585295674015449,0.9347173915705282,0.9899439074158694,0.9877463588288563,0.9891883477816811,0.9942892553685192
Disulfiram_0.100_DMSO_0.025,0.9892493638004737,0.9867083492415027,0.9765569530406643,0.9871118763063246,1.0,0.9764202896593277,0.9895039121612972,0.9744476242460861,0.9723452339002898,0.949956578145035,0.9828563431926869,0.9540244057352181,0.965170865878948,0.988206924494359,0.9845863445182442,0.9764059001682508,0.9736825799354932,0.9658914315053365,0.9658774741940448,0.9629987885360923,0.9690021384303967,0.9658142429474288,0.964830246082659,0.9571113643668708,0.9253865505301302,0.911911493840298,0.9523764270266039,0.9644016239455214,0.9413582749730202,0.9609941137928208,0.9487330501003401,0.92600498030737,0.9912481962081899,0.9894404955668024,0.9899701785896983,0.9905874566402701
Disulfiram_1.000_DMSO_0.025,0.9597038784718221,0.9592592915297725,0.9335388125525368,0.9551996067805362,0.9764202896593277,1.0,0.9891461963302169,0.9503843915514282,0.9460226649959445,0.9603166731465835,0.9481134824670726,0.9521016584399874,0.9216884515684625,0.9556661927394983,0.9621638023619117,0.9576106838542945,0.9590268445099073,0.9481772204022666,0.9708152139914684,0.9624786612759788,0.9276522646415682,0.9467516241443282,0.9433724450825498,0.9279176386104914,0.9188410926238794,0.8359803590049892,0.9290113121409794,0.9491576875397524,0.9313175038030567,0.9402855414891366,0.8918935268255064,0.8708677165144905,0.9713451643845391,0.971316448255571,0.9673345469477427,0.9646105431270345
Disulfiram_2.500_DMSO_0.025,0.9796517651938279,0.9772922351072066,0.9592969535790632,0.9738046790527138,0.9895039121612972,0.9891461963302169,1.0,0.962911451549152,0.9615829708774882,0.9511136450213121,0.964953387453005,0.9497613467142573,0.9446900784929906,0.9742013508217051,0.9750291507346096,0.9673563945050376,0.9686084593735305,0.9583731721371979,0.967744509497568,0.9604237003626975,0.9495521052091062,0.9588941650071033,0.9567454475119904,0.9447252261031761,0.9207022312101956,0.8758637193360658,0.9422628549590708,0.9578394345305222,0.9352041817533355,0.9532450670784025,0.9212039691979167,0.8987266466426586,0.9847126888054021,0.9853966557739355,0.9837845267800889,0.9826649434622293
Flagellin_0.100_DMSO_0.025,0.9724159160916845,0.9696041704090984,0.9652161133508297,0.9730495889211938,0.9744476242460861,0.9503843915514282,0.962911451549152,1.0,0.9946063601367073,0.9714492992234258,0.9708438075040012,0.9455127384769423,0.95158530401274,0.9757077199380008,0.9907421034921342,0.9937719331208845,0.9929737758565318,0.9890064036564191,0.9788573852991729,0.9815956721844031,0.9826766417657917,0.9873008092001545,0.9739360790135873,0.9711071240471533,0.9371205131006244,0.9261111445391992,0.9653880860475421,0.979702577525214,0.9530198499739129,0.9708757861343622,0.9445381301286684,0.9252795541271428,0.9736955928402548,0.969450963239366,0.9752213595525862,0.9739836528796355
Flagellin_1.000_DMSO_0.025,0.9756616440715732,0.9691860904337417,0.9657973352381435,0.9739468281335085,0.9723452339002898,0.9460226649959445,0.9615829708774882,0.9946063601367073,1.0,0.9653904713469811,0.9683692822387976,0.9367975401211884,0.9491574397435723,0.9755405306387848,0.9918776470594818,0.9933507992817397,0.9930726069481635,0.9881138606749769,0.9769619396505658,0.976797903049205,0.9819103331711008,0.987118531446728,0.9701551833283869,0.968244180992323,0.93023797315059,0.9258668494112251,0.9632285011265842,0.9743124962228207,0.9458875991580243,0.9680596135445482,0.9421610054607094,0.9223808237209259,0.9745439670868069,0.9716268601815383,0.977078923337639,0.9752783201739555
Flagellin_1.000_Disulfiram_1.0,0.9322807744264603,0.9351602336528275,0.9226603305906959,0.9344725204860572,0.949956578145035,0.9603166731465835,0.9511136450213121,0.9714492992234258,0.9653904713469811,1.0,0.9360969966743595,0.9407693480544769,0.9189316952272466,0.9406556858743488,0.9618637349962882,0.9735516580571371,0.9743258143900447,0.9729787754953473,0.985067834918909,0.9883507442661507,0.9468180953473707,0.9654800730920168,0.9513176506192929,0.9428578140791359,0.93252074333255,0.8716531779844143,0.9407337192047006,0.9710849561050379,0.9403847141645473,0.9491365101042064,0.9020573976962665,0.8906030038494683,0.9417548964465551,0.9405126563875719,0.941273048079915,0.939614822266314
