oneb_Metadata_Treatment_Dose_Inhibitor_Dose,DMSO_0.1_DMSO_0.025,DMSO_0.1_DMSO_1.0,DMSO_0.1_Z-VAD-FMK_100.0,DMSO_0.1_Z-VAD-FMK_30.0,Disulfiram_0.1_DMSO_0.025,Disulfiram_1.0_DMSO_0.025,Disulfiram_2.5_DMSO_0.025,Flagellin_0.1_DMSO_0.025,Flagellin_1.0_DMSO_0.025,Flagellin_1.0_Disulfiram_1.0,H2O2_100.0_DMSO_0.025,H2O2_100.0_Disulfiram_1.0,H2O2_100.0_Z-VAD-FMK_100.0,LPS_0.01_DMSO_0.025,LPS_0.1_DMSO_0.025,LPS_1.0_DMSO_0.025,LPS_10.0_DMSO_0.025,LPS_10.0_Disulfiram_0.1,LPS_10.0_Disulfiram_1.0,LPS_10.0_Disulfiram_2.5,LPS_10.0_Z-VAD-FMK_100.0,LPS_100.0_DMSO_0.025,LPS_Nigericin_1.0_1.0_DMSO_0.025,LPS_Nigericin_1.0_10.0_DMSO_0.025,LPS_Nigericin_1.0_10.0_Disulfiram_1.0,LPS_Nigericin_1.0_10.0_Z-VAD-FMK_100.0,LPS_Nigericin_1.0_3.0_DMSO_0.025,LPS_Nigericin_100.0_1.0_DMSO_0.025,LPS_Nigericin_100.0_10.0_DMSO_0.025,LPS_Nigericin_100.0_3.0_DMSO_0.025,Thapsigargin_1.0_DMSO_0.025,Thapsigargin_10.0_DMSO_0.025,Topotecan_10.0_DMSO_0.025,Topotecan_20.0_DMSO_0.025,Topotecan_5.0_DMSO_0.025,media ctr_0.0_Media ctr_0.0
DMSO_0.1_DMSO_0.025,1.0,0.6900847462056992,0.7250541291487906,0.5629999194794842,0.6623636920502479,0.6130248643101149,0.4981635816193157,0.10063052990196376,0.01997572469327407,-0.08970285593850795,0.6379485494864033,0.4910652293837135,0.46420280046881773,0.5146506622332055,0.5094242207154044,0.33308660089759534,0.3893931678496062,0.22820786717691977,0.44811996153613726,0.30401660208164927,0.5716878928749534,0.3082785632398346,0.4882141186939597,0.3592696609969703,0.358700884088138,0.2949531705180095,0.3448447077903408,0.3966487121381557,0.40686989771379606,0.4420907669296317,0.46779418720480226,0.6310591399264833,0.6816053957695933,0.6348575650969207,0.6937309342853154,0.45892129554466843
DMSO_0.1_DMSO_1.0,0.6900847462056992,1.0,0.6515474336436289,0.5090042202191045,0.6275428547283894,0.5678434353584609,0.5446102542393958,0.0501148960878155,-0.023135319342687574,-0.04507402212326263,0.5387426359180225,0.45816720494423235,0.4733618467987107,0.46251140120171236,0.4671186248604244,0.2742833476785993,0.2718165092308754,0.10635273910461174,0.3421154147971067,0.2268183110779702,0.4543048962564268,0.17071915008550517,0.40719061772101717,0.2740223841994272,0.36257041325932304,0.3417774672144521,0.26289486349493985,0.3560009588387507,0.388051970633188,0.3389823594621155,0.46030376939624507,0.5838810248184513,0.6107336537992398,0.5671545365909412,0.5799670844761367,0.4717880944707743
DMSO_0.1_Z-VAD-FMK_100.0,0.7250541291487906,0.6515474336436289,1.0,0.5688559144983307,0.5654247157257437,0.5005150415823868,0.41657771216116585,0.03295180841156443,-0.020690700180731398,-0.05882801665404171,0.5521990811373171,0.4086614364497612,0.45808072751792245,0.4968831869107991,0.5107184763141885,0.2988091532443127,0.3781039421050072,0.13365847901742411,0.39909166219947967,0.22491047008659268,0.4565866080661416,0.24678933350638754,0.46977553438305364,0.37111670594303214,0.29628246843620165,0.2700415541836056,0.2579471728842435,0.36515706393356007,0.40176167595946227,0.32936545951257074,0.4277657624003501,0.62525361646557,0.6235887373065945,0.5790669837648309,0.6541225429607492,0.3941346095842435
DMSO_0.1_Z-VAD-FMK_30.0,0.5629999194794842,0.5090042202191045,0.5688559144983307,1.0,0.584297822298115,0.5588968685684806,0.524733114989213,0.13556458875905572,0.04314544219120647,0.051225196470009914,0.6052313142776959,0.4870077919591491,0.4572669220855696,0.5086456409332983,0.4335582393296126,0.3009468621862598,0.21122488007471887,0.14199706616439453,0.3051649951546135,0.1527259710644496,0.33606591182853124,0.20183971831299793,0.357919384892417,0.24059379592013708,0.37143521697187615,0.3856071359141191,0.23188929120392482,0.2663179859220808,0.22981372992568797,0.3119773951186,0.37038517226143625,0.49667549984143505,0.4436080905946815,0.47090909167083056,0.49747239742680194,0.5675475009385816
Disulfiram_0.1_DMSO_0.025,0.6623636920502479,0.6275428547283894,0.5654247157257437,0.584297822298115,1.0,0.6341954798765836,0.5835433940505776,0.11640728745627192,0.06087776786136412,0.10825079151374462,0.6684705486550369,0.5293630818606253,0.45195022693307774,0.5050600802723839,0.5063212818692692,0.269678802052769,0.21015123335941704,0.15220400827974426,0.3304180712851219,0.28843350847906074,0.40805409321189234,0.22039944887423069,0.3816161801027268,0.28770458840784646,0.41760620483364824,0.43530886002891694,0.2814066309669023,0.39119976361510195,0.3200352347739217,0.28592690485419126,0.48670448016896517,0.5816209075998078,0.574904230973423,0.5448530106097045,0.596615343019689,0.5492027632330424
Disulfiram_1.0_DMSO_0.025,0.6130248643101149,0.5678434353584609,0.5005150415823868,0.5588968685684806,0.6341954798765836,1.0,0.5672646899906514,0.24560236695529433,0.049863314280290574,0.17756269296230967,0.6529678050185245,0.5941316082778564,0.5474218435243581,0.4945321149570348,0.37917292799056695,0.23571721649486352,0.18080664819107717,0.12952805768397962,0.23569134061535388,0.2817086851543375,0.32260912882596665,0.044316142859921206,0.31301197488693033,0.25129030737852565,0.5397222096266967,0.49691275945844476,0.28772829443975084,0.23769893727761837,0.33977967946526805,0.1726727617651389,0.4369094092004763,0.4596977138773003,0.5571515762166387,0.5527229791605824,0.5436068488513927,0.6186254411524706
Disulfiram_2.5_DMSO_0.025,0.4981635816193157,0.5446102542393958,0.41657771216116585,0.524733114989213,0.5835433940505776,0.5672646899906514,1.0,0.025207504930814573,0.03047559768033639,0.2009745262014753,0.6198053424317579,0.4737014216735205,0.48746827249516145,0.4471701976491022,0.29836835165271625,0.20584794727768568,0.12566568215039697,0.10129264516200048,0.2616861611085649,0.16125056876523092,0.2686538903856341,0.07613829975798823,0.2648250846553864,0.24793171896589045,0.4252041365710044,0.4430409533241642,0.2440312561552658,0.22735305866936686,0.3377492973252508,0.15413827244238537,0.4406480424176599,0.4353251676037679,0.46334279927194366,0.4995653350362206,0.4349364834411764,0.6361089380408278
Flagellin_0.1_DMSO_0.025,0.10063052990196376,0.0501148960878155,0.03295180841156443,0.13556458875905572,0.11640728745627192,0.24560236695529433,0.025207504930814573,1.0,0.4153585766443888,0.32991830276976347,0.10895010692334692,0.12523803238022824,0.056362650663912384,0.05273820210803854,0.2814917355281722,0.4608838890183216,0.4287942872935392,0.4363227808507625,0.24088923744513746,0.37010726794597093,0.21871223732346617,0.3485179624594251,0.17822879133138522,0.28461468745026636,0.09027486257498808,0.14522340775637152,0.3657390974283004,0.27811716409858167,0.1717018106065273,0.160169395452086,-0.09626972382859306,0.02186544219819821,0.1453021538482934,0.03662493131177542,0.13174765314986833,0.042320664034486345
Flagellin_1.0_DMSO_0.025,0.01997572469327407,-0.023135319342687574,-0.020690700180731398,0.04314544219120647,0.06087776786136412,0.049863314280290574,0.03047559768033639,0.4153585766443888,1.0,0.30027907704395723,0.018685102718460255,-0.027454226232665028,-0.040868062105966434,-0.04869555190298625,0.29835033211233863,0.4464961871026727,0.4597202266818514,0.450890256642734,0.3313545017113181,0.38328593448326276,0.23944566442993873,0.4841016051824346,0.2047187288223561,0.2482564087564303,-0.024785410253470194,-0.059915770650537936,0.2883162063599161,0.22292761169279252,0.15382038116038474,0.2622307383386089,-0.18723135464046609,-0.016798820357357896,0.01868130454537034,-0.01458686680825576,-0.058268655548166244,-0.03902123552747595
Flagellin_1.0_Disulfiram_1.0,-0.08970285593850795,-0.04507402212326263,-0.05882801665404171,0.051225196470009914,0.10825079151374462,0.17756269296230967,0.2009745262014753,0.32991830276976347,0.30027907704395723,1.0,0.2107349889261621,0.14679416806182385,0.1795785725893089,0.21627581836234097,0.10379287348199501,0.203668272452227,0.12418151940268245,0.24245803037058417,0.1872127941308499,0.2979547647528211,-0.013369831364256722,0.09830100357243222,-0.029137413449858804,0.1526951229087135,0.3660353081824678,0.3857032490920021,0.2672357048669419,0.2066098102362512,0.19271805414264012,-0.018922014605150726,0.10549710424799828,-0.019295172889745745,-0.020691645946057546,0.0009590888241645682,-0.14528835839223284,0.19513724769628063
