,Wells,Metadata_Well,correlation
0,C13,C13,1.0
1,D13,C13,0.2542759031838665
2,E13,C13,0.15750042773822273
3,F13,C13,0.40139172690294883
4,G13,C13,0.26907314572399915
5,H13,C13,0.3490909928327898
6,J13,C13,0.33642782157190704
7,K13,C13,0.2586021130058021
8,L13,C13,0.15279094720317027
9,M13,C13,0.280726381038094
10,N13,C13,0.30669953947010214
11,O13,C13,0.23908695569797905
12,B14,C13,0.16161532968432055
13,C14,C13,0.3343254549848646
14,I14,C13,0.19044321120867166
15,J14,C13,0.35046795446423684
16,B15,C13,0.36425644163938786
17,C15,C13,0.24203241147075838
18,I15,C13,0.37155556074635326
19,J15,C13,0.24960837077333328
20,O18,C13,0.12290097321952069
21,O19,C13,0.29591902082496535
22,B16,C13,0.24369497223116257
23,B17,C13,0.2318068991972768
24,B20,C13,0.21563948477723088
25,B21,C13,0.1346472088804072
26,C16,C13,0.12779054940541862
27,C17,C13,0.2378865769896144
28,L18,C13,-0.022979477742424193
29,L19,C13,-0.0007146844354580574
30,C20,C13,0.27720721812285315
31,C21,C13,0.12453510272180365
32,L22,C13,-0.031441332447080375
33,L23,C13,0.012210498508014627
34,E18,C13,0.4219389805647627
35,E19,C13,0.290053384188475
36,E22,C13,0.3125442643961798
37,E23,C13,0.26073781670904506
38,K16,C13,0.10475551088671263
39,K17,C13,-0.008110323059339675
40,K20,C13,0.16072394118877825
41,K21,C13,0.21987939102485254
42,M16,C13,0.14177957713484668
43,N16,C13,0.20767503392651623
44,O16,C13,0.1403745357996782
45,M17,C13,0.16135188880543977
46,N17,C13,0.24779528717190932
47,O17,C13,0.1401069884048283
48,M20,C13,0.012845735846708612
49,N20,C13,0.14702777786955842
50,O20,C13,0.32901724077547173
51,M21,C13,0.04115958650607131
52,N21,C13,0.1607121301354149
53,O21,C13,0.18084527854869087
54,L16,C13,0.08901245737270667
55,L17,C13,0.013419841273801223
56,L20,C13,0.10073060609111127
57,L21,C13,0.14579000257316407
58,D16,C13,0.07590041068836927
59,D17,C13,0.20153187443631684
60,M18,C13,-0.13435485129523733
61,N18,C13,-0.019932392822621665
62,M19,C13,-0.04093391265668165
63,N19,C13,0.08728486763824782
64,D20,C13,0.0717005496668713
65,D21,C13,-0.05408278442654593
66,M22,C13,-0.08542431564178604
67,N22,C13,-0.13820776436634508
68,M23,C13,-0.09184701780630665
69,N23,C13,0.02250075024620672
70,D14,C13,0.36996937255716034
71,K14,C13,0.248541199165704
72,D15,C13,0.05851053650010541
73,K15,C13,0.20213055590795703
74,F18,C13,0.3241944537594122
75,F19,C13,0.20657984893114703
76,F22,C13,0.26152330239754124
77,F23,C13,0.21117410399754807
78,G14,C13,0.270792222151222
79,N14,C13,0.23654359514040585
80,G15,C13,0.27809007325453006
81,N15,C13,0.23909586139609731
82,E16,C13,0.12849750053487646
83,F16,C13,-0.03343607908790801
84,G16,C13,-0.0006809269330696071
85,H16,C13,0.07874251663519116
86,I16,C13,0.18546133071780516
87,E17,C13,0.005561745328166331
88,F17,C13,-0.045222130014920627
89,G17,C13,0.1565303071233671
90,H17,C13,0.07267383887701614
91,I17,C13,0.1430054768564624
92,E20,C13,0.07399389252200432
93,F20,C13,0.03029978786434503
94,G20,C13,0.1505504933624566
95,H20,C13,0.03388874923046353
96,I20,C13,0.15185021878767965
97,E21,C13,0.03722663572443588
98,F21,C13,-0.005625126194529773
99,G21,C13,0.04982768375739408
100,H21,C13,0.09391251050986063
101,I21,C13,0.2122403642932494
102,E14,C13,0.3179508941073611
103,L14,C13,0.26602274666660874
104,E15,C13,0.22811505359028403
105,L15,C13,0.3162073486887358
106,H18,C13,0.19339655281454005
107,H19,C13,0.22228639073019957
108,H22,C13,0.3021603204802542
109,H23,C13,0.1884796070855689
110,B18,C13,0.09988898308079226
111,B19,C13,0.015562763801270767
112,B22,C13,0.19595709627451294
113,B23,C13,0.09327223137757144
114,D18,C13,0.25375854884578936
115,D19,C13,0.17465245791705217
116,D22,C13,0.20852433145048124
117,D23,C13,0.05026182998720829
118,C18,C13,0.14084866692217696
119,C19,C13,0.10578410550657907
120,C22,C13,0.04753128912415419
121,C23,C13,0.14810147950206384
122,J16,C13,0.01652046169345723
123,J17,C13,0.12014268850920269
124,J20,C13,0.035232661632836386
125,J21,C13,-0.05459354967542117
126,I18,C13,0.19467424114429333
127,J18,C13,0.328084741507802
128,K18,C13,0.32174138718282047
129,I19,C13,0.2951799730874412
130,J19,C13,0.2079831376897548
131,K19,C13,0.1870528895058607
132,I22,C13,0.24980301191851792
133,J22,C13,0.27719117145111316
134,K22,C13,0.15751586693202074
135,I23,C13,0.1471590326037696
136,J23,C13,0.162934546843801
137,K23,C13,0.26848052676211276
138,G18,C13,0.2808091135451123
139,G19,C13,0.30512204236103024
140,G22,C13,0.19143300946659078
141,G23,C13,0.2859141823731262
142,H14,C13,0.2798125976994631
143,O14,C13,0.11869684564291606
144,H15,C13,0.2622516084041824
145,O15,C13,0.1272475471573948
146,F14,C13,0.2840605232544874
147,M14,C13,0.3355573842743802
148,F15,C13,0.2412297208279276
149,M15,C13,0.132691759271664
150,B13,C13,0.2837376027332401
151,I13,C13,0.3229621028794256
152,O22,C13,0.12926653982264658
153,O23,C13,0.09786290623543466
154,C13,D13,0.2542759031838665
