labeled_data_index	label
21	train
38	train
94	train
75	train
148	train
41	train
99	train
61	train
149	train
125	train
111	train
8	train
108	train
3	train
40	train
46	train
63	train
0	train
95	train
89	train
112	train
23	train
74	train
88	train
150	train
133	train
57	train
28	train
50	train
90	train
146	train
18	train
19	train
39	train
82	train
64	train
49	train
135	train
123	train
102	train
140	train
79	train
151	train
83	train
129	train
92	train
76	train
55	train
91	train
24	train
97	train
9	train
45	train
5	train
71	train
80	train
153	train
77	train
139	train
53	train
69	train
1	train
128	train
4	train
58	val
132	val
31	val
10	val
32	val
56	val
145	val
15	val
67	val
20	val
98	val
81	val
66	val
60	val
84	val
52	val
35	val
2	test
100	test
22	test
13	test
121	test
110	test
42	test
37	test
48	test
104	test
16	test
105	test
107	test
144	test
87	test
103	test
62	test
70	test
11	test
12	test
47	test
26	treatment_holdout
29	treatment_holdout
30	treatment_holdout
113	treatment_holdout
115	treatment_holdout
116	treatment_holdout
117	treatment_holdout
118	treatment_holdout
119	treatment_holdout
126	treatment_holdout
130	treatment_holdout
131	treatment_holdout
137	treatment_holdout
138	treatment_holdout
141	treatment_holdout
6	holdout
7	holdout
14	holdout
17	holdout
25	holdout
27	holdout
33	holdout
34	holdout
36	holdout
43	holdout
44	holdout
51	holdout
54	holdout
59	holdout
65	holdout
68	holdout
72	holdout
73	holdout
78	holdout
85	holdout
86	holdout
93	holdout
96	holdout
101	holdout
106	holdout
109	holdout
114	holdout
120	holdout
122	holdout
124	holdout
127	holdout
134	holdout
136	holdout
142	holdout
143	holdout
147	holdout
152	holdout
