feature	r2_score	Metadata_number_of_singlecells	ATP_0.1mM	DMSO 0.1%_0
Cytoplasm_Number_Object_Number	0.0329455659272313	0.0009446683181300068	0.007063240167115204	-0.007063240167115168
Cytoplasm_AreaShape_Area	0.0038282430404814605	0.0002594572517328135	-0.03818821417217488	0.03818821417217468
Cytoplasm_AreaShape_BoundingBoxArea	0.002341823760944828	0.0001670835726747081	-0.0384552432020995	0.038455243202099296
Cytoplasm_AreaShape_BoundingBoxMaximum_X	0.00015609530956739448	5.628207721219308e-05	-0.006567464589520927	0.006567464589520893
Cytoplasm_AreaShape_BoundingBoxMaximum_Y	0.0004415979387398794	0.0001003837318523392	0.006441108092509909	-0.006441108092509876
Cytoplasm_AreaShape_BoundingBoxMinimum_X	8.389941078024155e-05	4.314020088164834e-05	-0.004094637086543442	0.00409463708654342
Cytoplasm_AreaShape_BoundingBoxMinimum_Y	0.00036367032011075384	8.343620093079082e-05	0.008970127383992726	-0.00897012738399268
Cytoplasm_AreaShape_Center_X	0.00011668993231195302	4.9515829487282805e-05	-0.005373375890038734	0.0053733758900387065
Cytoplasm_AreaShape_Center_Y	0.0004013936962234954	9.226976222915769e-05	0.0077217892104062495	-0.0077217892104062096
Cytoplasm_AreaShape_Compactness	0.012649728853154518	-0.0006433182100636446	0.03696163040814841	-0.036961630408148226
Cytoplasm_AreaShape_ConvexArea	0.0031440780990605877	0.00021384254358565438	-0.040650864938602475	0.040650864938602274
Cytoplasm_AreaShape_Eccentricity	0.0003203141750058869	-4.85713237355474e-05	-0.014924801891658571	0.014924801891658495
Cytoplasm_AreaShape_EquivalentDiameter	0.008566835594478683	0.00042963989964812043	-0.049924734868752665	0.049924734868752416
Cytoplasm_AreaShape_EulerNumber	1.928721285626711e-05	1.9707905552521863e-05	0.0033593644628417815	-0.003359364462841765
Cytoplasm_AreaShape_Extent	0.013610642345908253	0.0006191001325938133	-0.035349323908401044	0.03534932390840086
Cytoplasm_AreaShape_FormFactor	0.005439200916563691	0.00037369114114460116	-0.017527787367033143	0.017527787367033056
Cytoplasm_AreaShape_MajorAxisLength	0.003919077490530665	0.0002522513409028109	-0.043107167432195094	0.04310716743219488
Cytoplasm_AreaShape_MaxFeretDiameter	0.00439380606940365	0.0002585707825327115	-0.04812165121984158	0.048121651219841334
Cytoplasm_AreaShape_MaximumRadius	0.005120902777372871	0.00032372308876534473	-0.039972813882423	0.0399728138824228
Cytoplasm_AreaShape_MeanRadius	0.004742247635184937	0.00031362206112481826	-0.03630703899003142	0.03630703899003123
Cytoplasm_AreaShape_MedianRadius	0.005130253912169591	0.00033114656790384194	-0.03516902155740983	0.03516902155740965
Cytoplasm_AreaShape_MinFeretDiameter	0.006533280820616438	0.00036491472545325734	-0.04478798553616886	0.04478798553616864
Cytoplasm_AreaShape_MinorAxisLength	0.006610811615320067	0.00038071094487304805	-0.037964004272761906	0.03796400427276172
Cytoplasm_AreaShape_Orientation	5.9421434811524065e-06	-5.154886717164613e-06	0.002282712369573396	-0.0022827123695733846
Cytoplasm_AreaShape_Perimeter	0.007589921432473945	0.0003710254853937188	-0.056751007576071474	0.05675100757607119
Cytoplasm_AreaShape_Solidity	0.015484666430408911	0.0006871814391261881	-0.042442463865318206	0.04244246386531799
Cytoplasm_AreaShape_Zernike_0_0	0.009611940534002605	0.0005173979861492729	-0.023319327696582758	0.02331932769658264
Cytoplasm_AreaShape_Zernike_1_1	0.002090867074173053	0.00022548577348351583	-0.01740035903321411	0.01740035903321402
Cytoplasm_AreaShape_Zernike_2_0	0.0018334967335431607	0.00020475841783796188	-0.01838024122889994	0.01838024122889985
Cytoplasm_AreaShape_Zernike_2_2	0.003264624010492767	0.00028567142878382933	-0.01880586883850986	0.018805868838509765
Cytoplasm_AreaShape_Zernike_3_1	0.001267973294797553	0.00017977330649208135	-0.00894159625793691	0.008941596257936864
Cytoplasm_AreaShape_Zernike_3_3	0.00204257453941481	0.00023100923224840333	-0.008540084011394704	0.008540084011394661
Cytoplasm_AreaShape_Zernike_4_0	0.0022390971391523795	0.0002445470046294719	-0.005161376543230071	0.005161376543230046
