feature	r2_score	Metadata_number_of_singlecells	DMSO 0.1%_0
Cytoplasm_Number_Object_Number	0.010912789540515111	0.000719713572366984	0.0
Cytoplasm_AreaShape_Area	0.00200387734848706	0.0003161160157194316	0.0
Cytoplasm_AreaShape_BoundingBoxArea	0.0017681618608398342	0.0002981628520424164	0.0
Cytoplasm_AreaShape_BoundingBoxMaximum_X	9.276284332226936e-06	-2.1314076258363322e-05	0.0
Cytoplasm_AreaShape_BoundingBoxMaximum_Y	2.575212059152676e-07	3.5548985065337056e-06	0.0
Cytoplasm_AreaShape_BoundingBoxMinimum_X	3.196781365522039e-05	-3.959025110231156e-05	0.0
Cytoplasm_AreaShape_BoundingBoxMinimum_Y	8.624433634918383e-06	-2.055975235144027e-05	0.0
Cytoplasm_AreaShape_Center_X	1.9075033876325698e-05	-3.057336942260622e-05	0.0
Cytoplasm_AreaShape_Center_Y	1.4055597223894267e-06	-8.302383438273394e-06	0.0
Cytoplasm_AreaShape_Compactness	0.004450207967927611	-0.0004940559323105268	0.0
Cytoplasm_AreaShape_ConvexArea	0.001877097488401147	0.00030763544791875716	0.0
Cytoplasm_AreaShape_Eccentricity	2.513479003907193e-05	3.516280480919781e-05	0.0
Cytoplasm_AreaShape_EquivalentDiameter	0.003948161055539523	0.0004496675730916155	0.0
Cytoplasm_AreaShape_EulerNumber	0.00020841070681210105	0.00011073392943287936	0.0
Cytoplasm_AreaShape_Extent	0.0032535027130806693	0.0004122760006793761	0.0
Cytoplasm_AreaShape_FormFactor	0.0031154129902227767	0.0003949590042723488	0.0
Cytoplasm_AreaShape_MajorAxisLength	0.0032741874315244113	0.0004061357723000617	0.0
Cytoplasm_AreaShape_MaxFeretDiameter	0.0032382885641348835	0.000405084381597426	0.0
Cytoplasm_AreaShape_MaximumRadius	0.0023285354516190404	0.0003427896650490891	0.0
Cytoplasm_AreaShape_MeanRadius	0.0023553980416199938	0.0003440337736819941	0.0
