feature	r2_score	Metadata_number_of_singlecells	DMSO 0.1%_0	Disulfiram_2.5µM
Cytoplasm_Number_Object_Number	0.03188430923992114	0.0006291804508300536	0.04889221287428505	-0.04889221287428465
Cytoplasm_AreaShape_Area	0.048144723641778686	-0.0009737731461141281	-0.06711398023848428	0.06711398023848374
Cytoplasm_AreaShape_BoundingBoxArea	0.05135977802183711	-0.0010241980532320327	-0.07030187630952925	0.07030187630952867
Cytoplasm_AreaShape_BoundingBoxMaximum_X	0.0013077929838228863	-0.0001497108178438588	0.023924168983336623	-0.023924168983336425
Cytoplasm_AreaShape_BoundingBoxMaximum_Y	0.0024599466234577205	-0.0002129298617306203	0.005148542231515862	-0.00514854223151582
Cytoplasm_AreaShape_BoundingBoxMinimum_X	0.0008773943616191549	-0.0001019600831348305	0.026609696240689276	-0.026609696240689058
Cytoplasm_AreaShape_BoundingBoxMinimum_Y	0.0014312446090817277	-0.00016545835151449405	0.008391271477873897	-0.008391271477873828
Cytoplasm_AreaShape_Center_X	0.0010524472829801512	-0.00012564082983746247	0.025308079981627332	-0.025308079981627127
Cytoplasm_AreaShape_Center_Y	0.0019023074007082919	-0.0001889486990829722	0.0066789257762290295	-0.006678925776228974
Cytoplasm_AreaShape_Compactness	0.0011725847964905167	0.0001449081904493712	-0.034367412181118585	0.03436741218111831
Cytoplasm_AreaShape_ConvexArea	0.051406081264026016	-0.0010198987536324772	-0.07185294826738452	0.07185294826738393
Cytoplasm_AreaShape_Eccentricity	3.265401909979815e-05	-1.123107621432974e-05	0.0060983864636020985	-0.006098386463602049
Cytoplasm_AreaShape_EquivalentDiameter	0.03826718849720778	-0.0008463136360245906	-0.049834430494274315	0.049834430494273906
Cytoplasm_AreaShape_EulerNumber	9.786770027853109e-05	2.3565870344865448e-05	0.008617128098714582	-0.00861712809871451
Cytoplasm_AreaShape_Extent	0.0008676281239725636	-0.000139039829143298	0.005984134354290632	-0.005984134354290583
Cytoplasm_AreaShape_FormFactor	0.003561271499388008	-0.0002583842355745789	-0.0021904640098140303	0.0021904640098140125
Cytoplasm_AreaShape_MajorAxisLength	0.036321000648810386	-0.0007937805939933428	-0.05697576397447604	0.056975763974475575
Cytoplasm_AreaShape_MaxFeretDiameter	0.041839962741442194	-0.0008730728685627754	-0.054424863325749764	0.05442486332574931
Cytoplasm_AreaShape_MaximumRadius	0.030817093881961077	-0.0007591435430159985	-0.03806070616978004	0.038060706169779725
Cytoplasm_AreaShape_MeanRadius	0.03196897209119842	-0.0007643159664499309	-0.0407046622146778	0.04070466221467746
Cytoplasm_AreaShape_MedianRadius	0.032830250235170166	-0.0007703848811191298	-0.042371571258130805	0.04237157125813046
Cytoplasm_AreaShape_MinFeretDiameter	0.03743732664981936	-0.0008195717080772598	-0.0528424323308366	0.05284243233083617
Cytoplasm_AreaShape_MinorAxisLength	0.0341675808512083	-0.0007590520936284413	-0.05437629135929409	0.054376291359293644
Cytoplasm_AreaShape_Orientation	9.008430605039752e-05	4.157960766629634e-05	-0.0024507537842377533	0.0024507537842377333
Cytoplasm_AreaShape_Perimeter	0.03569050919875949	-0.000817988684824544	-0.04807177694838001	0.048071776948379615
Cytoplasm_AreaShape_Solidity	0.002570115287348518	-0.00024985188990407414	0.012040677165624378	-0.01204067716562428
Cytoplasm_AreaShape_Zernike_0_0	0.0005453705370793704	-0.00010812557752215531	0.0051372781894791645	-0.005137278189479123
Cytoplasm_AreaShape_Zernike_1_1	0.0005643393808467678	-9.311426901821027e-05	0.019077694642294415	-0.01907769464229426
Cytoplasm_AreaShape_Zernike_2_0	0.010028468473938235	-0.0003933896784593787	-0.02008596661690883	0.020085966616908667
Cytoplasm_AreaShape_Zernike_2_2	0.0005376134053720616	8.083649392861595e-05	0.008676644395045693	-0.008676644395045624
Cytoplasm_AreaShape_Zernike_3_1	0.0011568272605287921	-1.260708169233834e-05	0.03528497311832084	-0.03528497311832055
Cytoplasm_AreaShape_Zernike_3_3	0.000147467162566417	-1.2281711640095763e-05	0.012958219580969686	-0.012958219580969578
Cytoplasm_AreaShape_Zernike_4_0	0.005585864217658942	0.00024545986642934977	0.03057372406951856	-0.030573724069518308
Cytoplasm_AreaShape_Zernike_4_2	2.7315252115189814e-05	-2.3008872715490444e-05	0.0018540946754841765	-0.0018540946754841614
Cytoplasm_AreaShape_Zernike_4_4	0.0007154489432805722	7.782240584100204e-05	0.014916685791377997	-0.014916685791377875
Cytoplasm_AreaShape_Zernike_5_1	0.003452104932012978	0.00018631946808796737	0.027400200041506055	-0.027400200041505826
Cytoplasm_AreaShape_Zernike_5_3	0.000394499111922908	-6.0273173447847445e-05	0.01939189443686479	-0.01939189443686463
Cytoplasm_AreaShape_Zernike_5_5	0.00021208131057215418	3.453202171612647e-05	0.009883152715064436	-0.009883152715064354
Cytoplasm_AreaShape_Zernike_6_0	0.001093991304850106	0.00010778500899031976	0.01405100440591412	-0.014051004405914004
Cytoplasm_AreaShape_Zernike_6_2	0.0009785613191379827	7.495608361398172e-05	0.021110968177716325	-0.02111096817771615
Cytoplasm_AreaShape_Zernike_6_4	0.00012162852949904046	-2.3174520458967375e-07	-0.011130934562740002	0.011130934562739912
Cytoplasm_AreaShape_Zernike_6_6	0.0009500469232489595	8.619885567958249e-05	0.018277032381352882	-0.018277032381352733
Cytoplasm_AreaShape_Zernike_7_1	0.0007923393315310001	4.5120699657844114e-05	0.023310511585025756	-0.023310511585025565
Cytoplasm_AreaShape_Zernike_7_3	0.0006404511310422745	5.8110895446255655e-05	0.017556517748160055	-0.01755651774815991
Cytoplasm_AreaShape_Zernike_7_5	0.00015357732720400197	2.5122355945409754e-06	0.012543890241036682	-0.01254389024103658
Cytoplasm_AreaShape_Zernike_7_7	0.00042493781817209975	3.0180257050039324e-05	0.017361929689759414	-0.017361929689759272
Cytoplasm_AreaShape_Zernike_8_0	0.00044491383787759187	6.430885742829993e-05	0.010465266237539822	-0.010465266237539737
Cytoplasm_AreaShape_Zernike_8_2	0.0001459361804780901	3.0194934566183105e-05	0.007882458128348906	-0.007882458128348842
Cytoplasm_AreaShape_Zernike_8_4	0.00016370073531202234	5.226345494252062e-05	0.0008868060839050439	-0.0008868060839050366
Cytoplasm_AreaShape_Zernike_8_6	0.000320567984209541	-5.03472390384041e-05	-0.010055107995571131	0.010055107995571048
Cytoplasm_AreaShape_Zernike_8_8	0.0019037761227089778	0.00013795755357231862	0.020713690763385643	-0.020713690763385473
Cytoplasm_AreaShape_Zernike_9_1	0.00038164786548888774	2.0924780277193262e-05	0.01773603445513619	-0.017736034455136045
Cytoplasm_AreaShape_Zernike_9_3	1.1220975985826165e-05	8.014742927436894e-06	0.0022794628602499406	-0.002279462860249922
Cytoplasm_AreaShape_Zernike_9_5	0.00018828155666050783	4.184317906203233e-05	0.006978445682792347	-0.0069784456827922895
Cytoplasm_AreaShape_Zernike_9_7	0.00011026906673017312	-2.471342964489002e-05	0.010977543425602117	-0.010977543425602027
Cytoplasm_AreaShape_Zernike_9_9	0.0005666451649254389	3.639473957478065e-05	0.0199586231919433	-0.019958623191943133
Cytoplasm_Correlation_Correlation_CorrDNA_CorrER	0.0021832156063720243	-0.00016413860981958928	-0.01835119110099578	0.01835119110099563
Cytoplasm_Correlation_Correlation_CorrDNA_CorrGasdermin	0.017448820244991836	-0.00039034346807916476	-0.07802316608418552	0.07802316608418489
Cytoplasm_Correlation_Correlation_CorrDNA_CorrMito	0.01575799752603735	-0.0003693582222617963	-0.07217438080617637	0.07217438080617579
Cytoplasm_Correlation_Correlation_CorrDNA_CorrPM	0.0008837205977184626	-4.70953403024263e-06	-0.030431931332275813	0.030431931332275567
Cytoplasm_Correlation_Correlation_CorrDNA_CorrRNA	0.0026299926065032064	-0.00017125963818821153	-0.02336255177137287	0.02336255177137268
Cytoplasm_Correlation_Correlation_CorrER_CorrGasdermin	0.0001938434031055758	-2.4430279467852368e-05	0.014003095527481274	-0.014003095527481158
Cytoplasm_Correlation_Correlation_CorrER_CorrMito	0.00048646778775129906	-8.862024666620912e-05	0.00437743135126055	-0.004377431351260515
Cytoplasm_Correlation_Correlation_CorrER_CorrPM	0.002048300347939125	0.00013497561488616717	0.02376773761887701	-0.023767737618876815
Cytoplasm_Correlation_Correlation_CorrER_CorrRNA	0.006399912671885555	-0.0003675151915844112	0.009005232921763529	-0.009005232921763456
Cytoplasm_Correlation_Correlation_CorrGasdermin_CorrMito	0.002400919343274688	5.620757142741004e-05	0.036569954755686716	-0.03656995475568642
Cytoplasm_Correlation_Correlation_CorrGasdermin_CorrPM	0.0022588024151259933	0.00019696000348027722	0.005556757034903187	-0.005556757034903142
Cytoplasm_Correlation_Correlation_CorrGasdermin_CorrRNA	0.002809438016918797	0.00013906539550662413	0.026615855568788656	-0.026615855568788437
Cytoplasm_Correlation_Correlation_CorrMito_CorrPM	0.0012497591990650037	0.0001518460061150858	0.0012964736001167905	-0.0012964736001167799
Cytoplasm_Correlation_Correlation_CorrMito_CorrRNA	0.0005571104367312341	4.4828142969401175e-05	0.015281880919344674	-0.01528188091934455
Cytoplasm_Correlation_Correlation_CorrPM_CorrRNA	0.003708733578207335	0.00023089697739603265	0.01613475203078659	-0.01613475203078646
Cytoplasm_Correlation_K_CorrDNA_CorrER	1.3603096207237542e-06	5.057024731059628e-07	0.0007948780640857748	-0.0007948780640857683
Cytoplasm_Correlation_K_CorrDNA_CorrGasdermin	0.0009853869666661685	1.0060061988799925e-05	0.016130266215550297	-0.016130266215550165
Cytoplasm_Correlation_K_CorrDNA_CorrMito	0.0018500638576134376	-9.54200881598931e-06	0.03894467280227533	-0.03894467280227501
Cytoplasm_Correlation_K_CorrDNA_CorrPM	0.0003000158938870623	-9.548072924816617e-06	-0.02505900909497128	0.025059009094971076
Cytoplasm_Correlation_K_CorrDNA_CorrRNA	0.0007037633297913848	5.1138150480860795e-05	0.0034225050659741863	-0.0034225050659741577
Cytoplasm_Correlation_K_CorrER_CorrDNA	0.0004930627517808484	-7.067464001705638e-05	-0.010533364640672085	0.010533364640672
Cytoplasm_Correlation_K_CorrER_CorrGasdermin	0.0017675884636382255	1.0351077844245952e-05	0.02251313742407654	-0.022513137424076356
Cytoplasm_Correlation_K_CorrER_CorrMito	0.0025385741171872755	-8.312388961287103e-06	0.0404034196545232	-0.040403419654522876
Cytoplasm_Correlation_K_CorrER_CorrPM	0.0013401107140751378	-0.00011175094711586057	-0.04959207558844614	0.049592075588445736
Cytoplasm_Correlation_K_CorrER_CorrRNA	0.013166851385711609	0.0006086184829663789	0.0075401625095752635	-0.007540162509575202
Cytoplasm_Correlation_K_CorrGasdermin_CorrDNA	0.0029909003509803744	-0.00010669461511180346	-0.04465239831910993	0.04465239831910956
Cytoplasm_Correlation_K_CorrGasdermin_CorrER	0.0020463013733497126	-2.353194519782048e-05	-0.03344924288007786	0.03344924288007759
Cytoplasm_Correlation_K_CorrGasdermin_CorrMito	0.0015126823359634667	-6.576418219045386e-05	0.03673638139103175	-0.03673638139103144
Cytoplasm_Correlation_K_CorrGasdermin_CorrPM	0.008552723810374085	-0.00016199626469429155	-0.11125667121278066	0.11125667121277974
Cytoplasm_Correlation_K_CorrGasdermin_CorrRNA	0.0028105492038555946	0.0001191070163191846	-0.045097348538996926	0.04509734853899655
Cytoplasm_Correlation_K_CorrMito_CorrDNA	0.0030155096291037964	-0.0001079797481910933	-0.04474554777663743	0.044745547776637064
Cytoplasm_Correlation_K_CorrMito_CorrER	0.0010398103801639857	-1.6439210295983646e-05	-0.023364168919284924	0.023364168919284733
Cytoplasm_Correlation_K_CorrMito_CorrGasdermin	0.0002794498753780905	2.352628522207554e-05	-0.010454054575011583	0.010454054575011498
Cytoplasm_Correlation_K_CorrMito_CorrPM	0.008183765405500476	-0.00015488692616416998	-0.10659889322360125	0.10659889322360037
Cytoplasm_Correlation_K_CorrMito_CorrRNA	0.0009657863668504074	6.0478165072851614e-05	-0.021518588216661392	0.02151858821666122
Cytoplasm_Correlation_K_CorrPM_CorrDNA	0.0002624204003792707	-7.129916620324646e-05	0.00127787487128736	-0.0012778748712873496
Cytoplasm_Correlation_K_CorrPM_CorrER	6.0603897187760936e-05	2.3179720867073454e-05	0.001299916747366495	-0.0012999167473664844
Cytoplasm_Correlation_K_CorrPM_CorrGasdermin	0.005818799096613869	5.485771480558153e-05	0.05476218687746408	-0.05476218687746363
Cytoplasm_Correlation_K_CorrPM_CorrMito	0.007821194063723391	5.2523182070087785e-05	0.07970496925761474	-0.07970496925761408
Cytoplasm_Correlation_K_CorrPM_CorrRNA	0.0050292312517244975	0.00017997374469561162	0.015413767464496114	-0.015413767464495989
Cytoplasm_Correlation_K_CorrRNA_CorrDNA	0.003482364715066688	-0.00022401229722003005	-0.01742096580988241	0.01742096580988227
Cytoplasm_Correlation_K_CorrRNA_CorrER	0.015215719457693067	-0.0004882299967905211	-0.015425210367265102	0.015425210367264977
Cytoplasm_Correlation_K_CorrRNA_CorrGasdermin	0.002088432219070402	-5.37891980483046e-05	0.02656471656866346	-0.026564716568663237
Cytoplasm_Correlation_K_CorrRNA_CorrMito	0.004196847752528821	-0.00012762348422143627	0.05633072766388865	-0.05633072766388819
Cytoplasm_Correlation_K_CorrRNA_CorrPM	0.03657452798321059	-0.0007446989918004559	-0.07485029369051191	0.0748502936905113
Cytoplasm_Correlation_Manders_CorrDNA_CorrER	0.0014763425486098436	8.974536645400655e-05	0.02273092621210255	-0.022730926212102365
Cytoplasm_Correlation_Manders_CorrDNA_CorrGasdermin	0.0012708863457742137	0.00011024417831729673	0.008567965543159752	-0.00856796554315968
Cytoplasm_Correlation_Manders_CorrDNA_CorrMito	0.0015561326943658305	0.0001245254343526737	0.01523831155646628	-0.015238311556466154
