feature	r2_score	Metadata_number_of_singlecells	DMSO 0.1%_0	Flagellin_0.1µg_per_ml
Cytoplasm_Number_Object_Number	0.028148267318811926	0.0010965551661078193	0.006058123933570449	-0.00605812393357048
Cytoplasm_AreaShape_Area	0.0013535380666730434	0.00020788248727249357	0.015831178132408755	-0.01583117813240884
Cytoplasm_AreaShape_BoundingBoxArea	0.0010512006676157704	0.00017040934262444848	0.017083231155971792	-0.017083231155971882
Cytoplasm_AreaShape_BoundingBoxMaximum_X	0.00034516937481876564	3.8848872321751594e-05	0.01673492010019991	-0.016734920100199998
Cytoplasm_AreaShape_BoundingBoxMaximum_Y	0.0006776106781827274	0.00017218702943504072	0.0010749218103162151	-0.0010749218103162208
Cytoplasm_AreaShape_BoundingBoxMinimum_X	0.0002741222296042123	2.7271640895220626e-05	0.015421945954502279	-0.01542194595450236
Cytoplasm_AreaShape_BoundingBoxMinimum_Y	0.0005499722279938002	0.00015621971083077874	0.00011189376092935556	-0.00011189376092935614
Cytoplasm_AreaShape_Center_X	0.0003064894673231455	3.2617086401728345e-05	0.01605460455843094	-0.016054604558431027
Cytoplasm_AreaShape_Center_Y	0.0006149408977472737	0.0001646522587048413	0.000547051697666378	-0.0005470516976663808
Cytoplasm_AreaShape_Compactness	0.003959804930643074	-0.00042754962126662614	-0.007760370786636321	0.007760370786636363
Cytoplasm_AreaShape_ConvexArea	0.0010719966797164693	0.0001818943439625302	0.015301929399669952	-0.015301929399670032
Cytoplasm_AreaShape_Eccentricity	0.00013790897783105827	-6.794589060685217e-05	0.007961192461083365	-0.007961192461083406
Cytoplasm_AreaShape_EquivalentDiameter	0.0029042029136990832	0.00032660185553939225	0.019170345655847323	-0.019170345655847423
Cytoplasm_AreaShape_EulerNumber	0.0002960940772929188	0.0001378662560214991	0.004826362548435163	-0.004826362548435188
Cytoplasm_AreaShape_Extent	0.0031450159821615475	0.00037730095057996637	0.004941699736035975	-0.004941699736036001
Cytoplasm_AreaShape_FormFactor	0.0031373799983732686	0.00033726727682618804	0.016898739347429952	-0.016898739347430042
Cytoplasm_AreaShape_MajorAxisLength	0.0021940304479202144	0.0002534632266642368	0.0234170760336571	-0.023417076033657225
Cytoplasm_AreaShape_MaxFeretDiameter	0.002093267015441991	0.00024401774863973434	0.023805936395903685	-0.02380593639590381
Cytoplasm_AreaShape_MaximumRadius	0.0013412193524101612	0.00020306376707786798	0.017317401836212415	-0.01731740183621251
Cytoplasm_AreaShape_MeanRadius	0.0014918284587450703	0.0002196930356832827	0.016714594044256577	-0.016714594044256664
Cytoplasm_AreaShape_MedianRadius	0.0018257847297504792	0.0002452391868641755	0.017711462623904044	-0.017711462623904134
Cytoplasm_AreaShape_MinFeretDiameter	0.002070885226550856	0.0002819235048489631	0.013855205308822477	-0.01385520530882255
Cytoplasm_AreaShape_MinorAxisLength	0.0032898019747490403	0.00035764328698868725	0.01586909088105481	-0.015869090881054895
Cytoplasm_AreaShape_Orientation	9.136881782279005e-06	2.9794661327502277e-06	-0.0030671214028197627	0.0030671214028197787
Cytoplasm_AreaShape_Perimeter	0.0014847004893016047	0.0002288496021678225	0.014954283989651186	-0.014954283989651266
Cytoplasm_AreaShape_Solidity	0.004917959269055805	0.00046564663609921053	0.013919300855670856	-0.01391930085567093
