feature	r2_score	Metadata_number_of_singlecells	DMSO 0.1%_0	Flagellin_1µg_per_ml
Cytoplasm_Number_Object_Number	0.004927940649094409	0.0005138010980267456	0.00739594446280299	-0.007395944462802969
Cytoplasm_AreaShape_Area	0.00042602253675727564	9.312596726268984e-05	0.01747831239322203	-0.017478312393221975
Cytoplasm_AreaShape_BoundingBoxArea	0.0003361048751069351	9.155008465055613e-05	0.014727767076852114	-0.014727767076852073
Cytoplasm_AreaShape_BoundingBoxMaximum_X	0.00021805839468158617	-5.345250282085123e-05	0.012333464251993193	-0.012333464251993158
Cytoplasm_AreaShape_BoundingBoxMaximum_Y	0.0009182737529651597	-0.00022330105606713452	-0.007130085732716205	0.007130085732716184
Cytoplasm_AreaShape_BoundingBoxMinimum_X	0.0002105001380608984	-5.918204383362182e-05	0.01151035860266527	-0.01151035860266524
Cytoplasm_AreaShape_BoundingBoxMinimum_Y	0.0010059654082668068	-0.00023283986043689097	-0.008033683235914886	0.008033683235914864
Cytoplasm_AreaShape_Center_X	0.00021520622652004828	-5.66086337625097e-05	0.011943573803946655	-0.011943573803946622
Cytoplasm_AreaShape_Center_Y	0.0009614012055094712	-0.00022800914400672114	-0.007596344877163453	0.007596344877163432
Cytoplasm_AreaShape_Compactness	0.00108529986754069	-0.00023430523804546688	-0.017296667984581668	0.01729666798458162
Cytoplasm_AreaShape_ConvexArea	0.0003364067322267905	8.690273809979891e-05	0.015207111140496391	-0.01520711114049635
Cytoplasm_AreaShape_Eccentricity	5.764819804099375e-05	5.323597935709844e-05	0.0034098265246533923	-0.0034098265246533827
Cytoplasm_AreaShape_EquivalentDiameter	0.0007124070710020636	0.0001513196281996254	0.019800153515262736	-0.01980015351526268
Cytoplasm_AreaShape_EulerNumber	7.011907391163419e-05	6.73044708817884e-05	-0.0022013784404085156	0.0022013784404085095
Cytoplasm_AreaShape_Extent	0.0005595485967608838	0.0001334238774441752	0.01794738703457202	-0.017947387034571972
Cytoplasm_AreaShape_FormFactor	0.0009638173670719619	0.00018470020923404759	0.020959910723140573	-0.020959910723140514
Cytoplasm_AreaShape_MajorAxisLength	0.0006809712507785948	0.00016611212125214805	0.016162040932557187	-0.016162040932557138
Cytoplasm_AreaShape_MaxFeretDiameter	0.0007342415220457088	0.00017035151177595978	0.017261979324858758	-0.017261979324858706
Cytoplasm_AreaShape_MaximumRadius	0.00043986994396816304	0.0001268668840350995	0.01430893916729167	-0.014308939167291626
Cytoplasm_AreaShape_MeanRadius	0.0004576930924238276	0.00012684743270187807	0.014848198847626837	-0.014848198847626793
Cytoplasm_AreaShape_MedianRadius	0.0004983232561375228	0.00012997964406349856	0.015750259967683727	-0.015750259967683682
Cytoplasm_AreaShape_MinFeretDiameter	0.00039902252863588394	0.0001177217901570797	0.013981601834465968	-0.01398160183446593
Cytoplasm_AreaShape_MinorAxisLength	0.00048802626759891776	0.000119511641754902	0.01684015236408318	-0.016840152364083132
Cytoplasm_AreaShape_Orientation	4.918568835277082e-05	4.0821230270877854e-05	-0.003999459674246831	0.003999459674246819
Cytoplasm_AreaShape_Perimeter	0.0002809867636252017	8.961367390220482e-05	0.013083774748040036	-0.013083774748039997
Cytoplasm_AreaShape_Solidity	0.001042485936912918	0.00019646670533257743	0.023530667678863054	-0.023530667678862985
Cytoplasm_AreaShape_Zernike_0_0	0.00011986496710125749	3.339355594745775e-05	0.01054685458961832	-0.010546854589618291
Cytoplasm_AreaShape_Zernike_1_1	9.206176968201696e-06	1.5267423909156636e-05	0.0024216563359353376	-0.0024216563359353307
Cytoplasm_AreaShape_Zernike_2_0	0.00024744960983669184	9.509923957445349e-05	0.01065527697550235	-0.010655276975502318
Cytoplasm_AreaShape_Zernike_2_2	7.457767369734025e-05	5.918191158583586e-05	0.004113931288348833	-0.004113931288348821
Cytoplasm_AreaShape_Zernike_3_1	4.3224004039221775e-05	3.5804778909054176e-05	-0.00409072591660911	0.004090725916609098
Cytoplasm_AreaShape_Zernike_3_3	1.3858977882308388e-05	2.7617496126098947e-05	0.0004731581671442883	-0.000473158167144287
Cytoplasm_AreaShape_Zernike_4_0	3.6251945125465035e-05	-3.918052571305763e-05	-0.0034508256396957758	0.0034508256396957662
Cytoplasm_AreaShape_Zernike_4_2	0.00014311036821579304	8.797289964651775e-05	0.0029980872207181365	-0.002998087220718128
Cytoplasm_AreaShape_Zernike_4_4	5.7806753282596546e-05	4.39577243631895e-05	-0.004373948277551245	0.004373948277551232
Cytoplasm_AreaShape_Zernike_5_1	0.00016836146551824083	9.56253163483507e-05	0.0028220126361608623	-0.0028220126361608545
Cytoplasm_AreaShape_Zernike_5_3	7.6733745696278e-05	5.1020779524621884e-05	-0.005003477674895626	0.005003477674895612
Cytoplasm_AreaShape_Zernike_5_5	7.465047512622558e-05	-6.0773936121930064e-05	0.002277689838672046	-0.0022776898386720396
Cytoplasm_AreaShape_Zernike_6_0	4.337346291016786e-06	3.1154748463087076e-06	0.00206341701549487	-0.002063417015494864
Cytoplasm_AreaShape_Zernike_6_2	6.237646850415501e-05	2.3816860139720727e-05	0.007492644737574465	-0.007492644737574442
Cytoplasm_AreaShape_Zernike_6_4	0.00010042362091999824	7.412804697867653e-05	-0.0008676988317654504	0.0008676988317654479
Cytoplasm_AreaShape_Zernike_6_6	2.776450242747419e-05	-2.7671525200091723e-05	0.003475520526374774	-0.003475520526374764
Cytoplasm_AreaShape_Zernike_7_1	0.00016261502967440666	7.356341573405254e-05	0.0088885798148076	-0.008888579814807576
Cytoplasm_AreaShape_Zernike_7_3	9.14205507690502e-05	6.831653743300687e-05	-0.0021546773766542393	0.0021546773766542337
Cytoplasm_AreaShape_Zernike_7_5	1.5300547154928346e-05	6.807783264407461e-06	0.003910622643043439	-0.003910622643043427
Cytoplasm_AreaShape_Zernike_7_7	3.778597610559764e-05	-1.5131304340064392e-05	-0.005962402742913812	0.005962402742913796
Cytoplasm_AreaShape_Zernike_8_0	3.5506560982501156e-05	2.879486813066239e-05	0.0048688181695125754	-0.0048688181695125616
Cytoplasm_AreaShape_Zernike_8_2	1.6579747906808606e-05	2.5871628733490628e-05	0.0024401013851031053	-0.0024401013851030984
Cytoplasm_AreaShape_Zernike_8_4	1.0074907750179385e-05	-7.493610883638984e-06	0.002929816696185603	-0.0029298166961855944
Cytoplasm_AreaShape_Zernike_8_6	0.00019568364298627738	-3.630991802285242e-05	-0.013516114603712472	0.013516114603712435
Cytoplasm_AreaShape_Zernike_8_8	6.979231174097933e-07	6.189874330652503e-06	-4.1841749435974916e-05	4.1841749435974794e-05
Cytoplasm_AreaShape_Zernike_9_1	8.536930506741758e-05	4.648647646524599e-05	0.007351125643076476	-0.007351125643076456
Cytoplasm_AreaShape_Zernike_9_3	1.2972234188501908e-05	2.7024532879946343e-05	5.1217751198469607e-05	-5.121775119846947e-05
Cytoplasm_AreaShape_Zernike_9_5	4.729854632401498e-06	-1.2949476733912783e-05	0.001188348370343625	-0.001188348370343622
Cytoplasm_AreaShape_Zernike_9_7	5.061650432902631e-06	-1.6403477727351264e-05	-0.0007454796585967744	0.0007454796585967723
Cytoplasm_AreaShape_Zernike_9_9	1.5453299906376117e-06	-8.227187006834134e-06	0.0005083435279564682	-0.0005083435279564668
Cytoplasm_Correlation_Correlation_CorrDNA_CorrER	0.0007876927173458004	9.205269308097895e-05	-0.025464573454154843	0.02546457345415477
Cytoplasm_Correlation_Correlation_CorrDNA_CorrGasdermin	0.002293114970699728	-7.905925244933901e-05	-0.050404406538296365	0.050404406538296226
Cytoplasm_Correlation_Correlation_CorrDNA_CorrMito	0.0015717928664010783	-8.376328267712212e-05	-0.041028323136382876	0.04102832313638276
Cytoplasm_Correlation_Correlation_CorrDNA_CorrPM	0.0001992987643065769	-3.978148859774208e-05	-0.01421707141385509	0.01421707141385505
Cytoplasm_Correlation_Correlation_CorrDNA_CorrRNA	0.000527490832242794	1.3353712524347228e-05	-0.023963896814599664	0.023963896814599598
Cytoplasm_Correlation_Correlation_CorrER_CorrGasdermin	7.169337435541934e-05	4.133316667181529e-05	0.006056587507607684	-0.0060565875076076655
Cytoplasm_Correlation_Correlation_CorrER_CorrMito	8.391406881236296e-05	-4.939646567034348e-05	0.00442909537814045	-0.004429095378140437
Cytoplasm_Correlation_Correlation_CorrER_CorrPM	4.686764239991703e-05	3.419004215926043e-05	0.00549392519435284	-0.005493925194352824
Cytoplasm_Correlation_Correlation_CorrER_CorrRNA	0.0012559532667367757	7.400173869302755e-05	0.037103929869780145	-0.03710392986978004
Cytoplasm_Correlation_Correlation_CorrGasdermin_CorrMito	0.002724112247061483	0.00018208364499230017	0.03839129405391434	-0.03839129405391423
Cytoplasm_Correlation_Correlation_CorrGasdermin_CorrPM	0.0003256021717757962	-0.00010023012958747695	-0.014159446898744075	0.014159446898744037
Cytoplasm_Correlation_Correlation_CorrGasdermin_CorrRNA	0.00026428959194357837	-0.00010368992021178826	-0.004697464548509257	0.004697464548509245
Cytoplasm_Correlation_Correlation_CorrMito_CorrPM	0.0011346302780583795	-0.00018557296226401413	-0.026998310069044996	0.026998310069044924
Cytoplasm_Correlation_Correlation_CorrMito_CorrRNA	0.0011695341318799235	-0.00020867156134632149	-0.010679925335353538	0.010679925335353507
Cytoplasm_Correlation_Correlation_CorrPM_CorrRNA	0.00013025166817859368	-1.8359609146480359e-06	-0.011589199482274763	0.011589199482274729
Cytoplasm_Correlation_K_CorrDNA_CorrER	0.00012480717072194114	-5.017069396413152e-05	0.0029277989958325463	-0.002927798995832538
Cytoplasm_Correlation_K_CorrDNA_CorrGasdermin	0.0015810909260463024	0.00013288331153121655	0.012915313571623808	-0.012915313571623772
Cytoplasm_Correlation_K_CorrDNA_CorrMito	0.002832952066407546	0.00030441395440746643	0.030821105817299556	-0.030821105817299462
