feature	r2_score	Metadata_number_of_singlecells	DMSO 0.1%_0	H2O2_50µM
Cytoplasm_Number_Object_Number	0.06439714737873259	0.0009677571717545993	-0.018943288362977505	0.018943288362977408
Cytoplasm_AreaShape_Area	0.0025789683292110066	-0.001439368433495695	-0.085645924075233	0.08564592407523257
Cytoplasm_AreaShape_BoundingBoxArea	0.0027351880073991364	-0.0008560971860669884	-0.03992147817058787	0.039921478170587665
Cytoplasm_AreaShape_BoundingBoxMaximum_X	0.00024186958567118388	3.075410225465247e-05	0.0136456862929581	-0.013645686292958032
Cytoplasm_AreaShape_BoundingBoxMaximum_Y	0.0008431528156548351	9.922200182284861e-05	-0.00900196676783863	0.009001966767838585
Cytoplasm_AreaShape_BoundingBoxMinimum_X	0.0001905037310477864	2.3630600890018836e-05	0.012621220572425752	-0.01262122057242569
Cytoplasm_AreaShape_BoundingBoxMinimum_Y	0.0007168207587687769	8.867507514090664e-05	-0.010084383474649053	0.010084383474649005
Cytoplasm_AreaShape_Center_X	0.00021580414727895292	2.7370597811801276e-05	0.013136516709100567	-0.013136516709100503
Cytoplasm_AreaShape_Center_Y	0.0007870348853640241	9.456865261163671e-05	-0.009554014180254724	0.009554014180254677
Cytoplasm_AreaShape_Compactness	0.10015941765801872	-0.0017915072335177385	-0.07294791610305454	0.07294791610305418
Cytoplasm_AreaShape_ConvexArea	0.0025545487806234446	-0.0012522170184490887	-0.0639228109738093	0.06392281097380896
Cytoplasm_AreaShape_Eccentricity	0.00012581734690053636	-3.2712776898702476e-05	0.006427793824401654	-0.006427793824401622
Cytoplasm_AreaShape_EquivalentDiameter	0.0023498637918017984	0.00022187482292237244	0.011970298060218425	-0.011970298060218366
Cytoplasm_AreaShape_EulerNumber	0.153872990199465	0.0330745396150023	2.0105918180233586	-2.0105918180233484
Cytoplasm_AreaShape_Extent	0.013326901150142234	0.00045766713861619923	0.001634330395203971	-0.0016343303952039627
Cytoplasm_AreaShape_FormFactor	0.01929839039453707	0.0005263930685031068	-0.01613530737287354	0.016135307372873456
Cytoplasm_AreaShape_MajorAxisLength	0.0008054028746060649	0.00011943657690246657	0.013082570855779869	-0.013082570855779801
Cytoplasm_AreaShape_MaxFeretDiameter	0.0007243172721216329	0.00010878085177386094	0.016367615626801366	-0.016367615626801283
Cytoplasm_AreaShape_MaximumRadius	0.001638177804442753	0.00018239160651939814	0.00785074027547707	-0.00785074027547703
Cytoplasm_AreaShape_MeanRadius	0.0014615811204301554	0.00017374563412080214	0.0010318086270264615	-0.0010318086270264563
Cytoplasm_AreaShape_MedianRadius	0.001765490964148686	0.00018951656095064166	-0.0033958213386923843	0.0033958213386923674
Cytoplasm_AreaShape_MinFeretDiameter	0.0019952307010073778	0.00019573356053529127	0.01778489476753018	-0.017784894767530094
Cytoplasm_AreaShape_MinorAxisLength	0.001784836961034375	0.0002065565217156351	0.00946797954822803	-0.009467979548227983
Cytoplasm_AreaShape_Orientation	4.1533936065873966e-05	-1.9349143722669532e-05	-0.004125862447348585	0.0041258624473485645
Cytoplasm_AreaShape_Perimeter	0.0018870632478069638	-0.00040277409507239007	0.0039843762552149485	-0.003984376255214929
Cytoplasm_AreaShape_Solidity	0.01910000537673462	0.0005688751890486217	0.002569503733045323	-0.00256950373304531
Cytoplasm_AreaShape_Zernike_0_0	0.01129672255515668	0.00041137962859885067	0.0062970952299481655	-0.006297095229948134
Cytoplasm_AreaShape_Zernike_1_1	0.0037541838625615442	0.00021901674657618075	0.022273742867978084	-0.022273742867977973
Cytoplasm_AreaShape_Zernike_2_0	0.003419793089191936	0.00021650827687322034	-0.0045778933468796894	0.004577893346879667
Cytoplasm_AreaShape_Zernike_2_2	0.00410737802933514	0.00024111052777667021	0.005172977826154934	-0.005172977826154908
Cytoplasm_AreaShape_Zernike_3_1	0.00370485964212397	0.00021425883722892705	0.02247307444511202	-0.02247307444511191
Cytoplasm_AreaShape_Zernike_3_3	0.0022818034226537165	0.0001786077917987565	0.0019410491384684288	-0.0019410491384684193
Cytoplasm_AreaShape_Zernike_4_0	0.0013238942497932893	0.000132145700960227	0.009715008698232133	-0.009715008698232084
Cytoplasm_AreaShape_Zernike_4_2	0.004519999863862201	0.0002495707182981804	0.0013839220418268906	-0.0013839220418268836
Cytoplasm_AreaShape_Zernike_4_4	0.0011336258291266832	0.00012581506877816197	0.0065027723255722016	-0.0065027723255721695
Cytoplasm_AreaShape_Zernike_5_1	0.0075898874204926026	0.0003245354636054634	0.009022646165581438	-0.009022646165581393
Cytoplasm_AreaShape_Zernike_5_3	0.0018407670481210836	0.00015538063836424105	0.012765868966225103	-0.012765868966225039
Cytoplasm_AreaShape_Zernike_5_5	0.0008651067100481358	0.00010908899819388577	0.004808341524066412	-0.004808341524066388
