feature	r2_score	Metadata_number_of_singlecells	DMSO 0.1%_0	LPS_10µg_per_ml
Cytoplasm_Number_Object_Number	0.02417656460905271	0.0008078984255716883	0.003058495584023076	-0.003058495584023045
Cytoplasm_AreaShape_Area	0.011447296468945822	-0.0006265643778361982	-0.002725316272986729	0.002725316272986701
Cytoplasm_AreaShape_BoundingBoxArea	0.013411735021417681	-0.0006808828558071009	-0.009422697364218566	0.00942269736421847
Cytoplasm_AreaShape_BoundingBoxMaximum_X	0.0008938405030038954	-3.516944761557906e-06	0.030106364031178424	-0.030106364031178116
Cytoplasm_AreaShape_BoundingBoxMaximum_Y	3.673195442155386e-05	-3.206356327559949e-05	-0.00030061285212074166	0.0003006128521207386
Cytoplasm_AreaShape_BoundingBoxMinimum_X	0.0010020766283640459	2.7798910074998987e-05	0.030070293706598306	-0.030070293706597997
Cytoplasm_AreaShape_BoundingBoxMinimum_Y	8.174505979896551e-07	-4.332473105167887e-06	-0.00025363116452510663	0.0002536311645251041
Cytoplasm_AreaShape_Center_X	0.0009413528380229907	1.2786510388241024e-05	0.030076889902744493	-0.030076889902744187
Cytoplasm_AreaShape_Center_Y	1.2609978193522942e-05	-1.8648678533142527e-05	-0.0002598379311479623	0.00025983793114795964
Cytoplasm_AreaShape_Compactness	0.003446360992660824	-0.00010852155547534557	-0.05956222839109579	0.059562228391095186
Cytoplasm_AreaShape_ConvexArea	0.01285782824741244	-0.0006610793588623213	-0.01184936903980649	0.01184936903980637
Cytoplasm_AreaShape_Eccentricity	0.0002206130463169309	-8.110557960057996e-05	0.006872473163953145	-0.006872473163953074
Cytoplasm_AreaShape_EquivalentDiameter	0.006701891458657516	-0.0004898884983566801	0.00996540081694831	-0.009965400816948208
Cytoplasm_AreaShape_EulerNumber	2.102147565630208e-05	1.0159086308620275e-05	0.004565286570100793	-0.004565286570100746
Cytoplasm_AreaShape_Extent	0.0013657426645565796	4.74418358304466e-05	0.03656792149772637	-0.036567921497726
Cytoplasm_AreaShape_FormFactor	0.0017262900798709069	-0.00011957338744258218	0.042149556688294225	-0.042149556688293795
Cytoplasm_AreaShape_MajorAxisLength	0.008330211138328103	-0.0005199053472561013	-0.005696883562306876	0.005696883562306819
Cytoplasm_AreaShape_MaxFeretDiameter	0.009417378604885118	-0.0005637891346637263	-0.0007427917004342651	0.0007427917004342575
Cytoplasm_AreaShape_MaximumRadius	0.0052776272928901635	-0.00042988533339748976	0.011715271180255483	-0.011715271180255364
