feature	r2_score	Metadata_number_of_singlecells	DMSO 0.1%_0	Media only_0
Cytoplasm_Number_Object_Number	0.012512506746019447	0.0008097953691044866	0.007268995423004793	-0.007268995423004627
Cytoplasm_AreaShape_Area	0.00028276206926880487	-2.99619178114174e-05	0.016822449309239547	-0.016822449309239162
Cytoplasm_AreaShape_BoundingBoxArea	0.00041333329407577946	-4.89463352498688e-05	0.02002837643341735	-0.020028376433416893
Cytoplasm_AreaShape_BoundingBoxMaximum_X	0.0004784759674657524	-1.6943715905886703e-05	0.02197783598358072	-0.021977835983580222
Cytoplasm_AreaShape_BoundingBoxMaximum_Y	0.00027458182554729316	-5.905951385532036e-05	-0.013879604730830268	0.01387960473082995
Cytoplasm_AreaShape_BoundingBoxMinimum_X	0.00041368139998587683	-1.1548428739820744e-05	0.02044734863974534	-0.020447348639744872
Cytoplasm_AreaShape_BoundingBoxMinimum_Y	0.0003175346624845199	-5.856105460858536e-05	-0.015318158285849415	0.015318158285849063
Cytoplasm_AreaShape_Center_X	0.0004495092526182187	-1.4354005653721064e-05	0.02131147340643914	-0.02131147340643865
Cytoplasm_AreaShape_Center_Y	0.00029586318166097136	-5.8635252412763525e-05	-0.014622762153596255	0.014622762153595923
Cytoplasm_AreaShape_Compactness	0.0037044017948056895	0.0003065265660018512	-0.06466742995739409	0.06466742995739262
Cytoplasm_AreaShape_ConvexArea	0.0003899274766137051	-3.9705675811036676e-05	0.019710726092501026	-0.019710726092500575
Cytoplasm_AreaShape_Eccentricity	0.00036083828718880273	-6.493593718316595e-05	0.017635286568869035	-0.017635286568868633
Cytoplasm_AreaShape_EquivalentDiameter	0.0009093752552967738	-7.292259974162362e-05	0.030857710732834172	-0.030857710732833468
Cytoplasm_AreaShape_EulerNumber	2.987796221287642e-05	-3.293388416654488e-05	0.005508705492652741	-0.005508705492652615
Cytoplasm_AreaShape_Extent	0.001227052521827754	-0.00012394340663821675	0.03580463606428455	-0.03580463606428374
Cytoplasm_AreaShape_FormFactor	0.0003949684941796372	-3.280724884893552e-05	0.0202697459040103	-0.020269745904009838
Cytoplasm_AreaShape_MajorAxisLength	0.0006868319935913192	-7.680297020057839e-06	0.02669977714024893	-0.026699777140248328
Cytoplasm_AreaShape_MaxFeretDiameter	0.0008114193776693757	-4.755666461672088e-05	0.029090587052088064	-0.0290905870520874
Cytoplasm_AreaShape_MaximumRadius	0.0007619656018507115	-0.00010228442909158235	0.026301528605876298	-0.0263015286058757
Cytoplasm_AreaShape_MeanRadius	0.0004995049435293497	-7.847632307361869e-05	0.02131025678581896	-0.021310256785818476
Cytoplasm_AreaShape_MedianRadius	0.00041115844552852554	-6.193133250626234e-05	0.01972699171960469	-0.01972699171960424
Cytoplasm_AreaShape_MinFeretDiameter	0.0005104231260012471	-5.182439682221282e-05	0.022715338251575325	-0.022715338251574808
Cytoplasm_AreaShape_MinorAxisLength	0.00022447383666746035	4.873520131316334e-05	0.013224441378162016	-0.013224441378161715
Cytoplasm_AreaShape_Orientation	1.419058133644846e-05	2.8120896890372197e-05	2.7460514656491013e-05	-2.746051465649039e-05
Cytoplasm_AreaShape_Perimeter	0.0012418955315756097	-0.00010659725265806576	0.03500401488604423	-0.03500401488604343
Cytoplasm_AreaShape_Solidity	0.0018726219841566083	-0.00017786962677480584	0.04572627351510493	-0.04572627351510389
Cytoplasm_AreaShape_Zernike_0_0	0.0008687888519450793	-0.00013568906025956113	0.026835872847096424	-0.02683587284709581
Cytoplasm_AreaShape_Zernike_1_1	0.0014018500374337606	-0.00016050249980523325	0.03289102433568336	-0.03289102433568261
Cytoplasm_AreaShape_Zernike_2_0	2.9301666991110586e-05	-2.9982680806353785e-05	-0.003491943880696031	0.003491943880695951
Cytoplasm_AreaShape_Zernike_2_2	0.000978267878076089	-9.246609764554377e-05	0.030287532399939497	-0.030287532399938803
Cytoplasm_AreaShape_Zernike_3_1	0.0013891486246913054	-0.00018707459957777265	0.029998010638905073	-0.029998010638904393
Cytoplasm_AreaShape_Zernike_3_3	0.0006055007638863241	-0.00010953176296749232	0.02108183195261259	-0.02108183195261211
Cytoplasm_AreaShape_Zernike_4_0	0.000698869138223146	-0.000114724244993102	0.022713142494022023	-0.022713142494021506
Cytoplasm_AreaShape_Zernike_4_2	6.591154721635739e-05	-2.3010600857133185e-06	0.008128259326440958	-0.008128259326440773
Cytoplasm_AreaShape_Zernike_4_4	0.0010548103368167583	-0.00011501041994068165	0.03031850573103162	-0.030318505731030933
Cytoplasm_AreaShape_Zernike_5_1	0.00028397380889699786	-7.707900097250514e-05	0.01435101104421212	-0.014351011044211793
Cytoplasm_AreaShape_Zernike_5_3	0.000678950858152727	-0.00011951189807446057	0.022012160630591453	-0.02201216063059095
Cytoplasm_AreaShape_Zernike_5_5	0.0009340495827127038	-0.00016541999215075569	0.022886900855791432	-0.022886900855790912
Cytoplasm_AreaShape_Zernike_6_0	0.0001438045783194175	-2.8665576802524513e-05	0.011663874634039829	-0.011663874634039563
Cytoplasm_AreaShape_Zernike_6_2	0.0007924564961400149	-0.00010760758924444812	0.025486244313056725	-0.02548624431305614
