feature	r2_score	Metadata_number_of_singlecells	DMSO 0.1%_0	Thapsi_10µM
Cytoplasm_Number_Object_Number	0.05367654229290164	0.0005391960234155842	0.11336263635912167	-0.11336263635912074
Cytoplasm_AreaShape_Area	0.0005807222512459465	-0.0006344066264501667	0.08526615419378077	-0.08526615419378007
Cytoplasm_AreaShape_BoundingBoxArea	0.0005106731701298717	-0.0002869389151214891	0.06695700157826812	-0.06695700157826757
Cytoplasm_AreaShape_BoundingBoxMaximum_X	0.0004370346300437422	-7.328449981484549e-05	0.016813729326038265	-0.01681372932603813
Cytoplasm_AreaShape_BoundingBoxMaximum_Y	0.0075375597570389585	-0.000299946393794749	0.06966217728319851	-0.06966217728319794
Cytoplasm_AreaShape_BoundingBoxMinimum_X	0.0005471806806912616	-8.498561610869878e-05	0.012580970761128522	-0.01258097076112842
Cytoplasm_AreaShape_BoundingBoxMinimum_Y	0.007890569501901923	-0.0003119784402366677	0.06552562496010246	-0.06552562496010193
Cytoplasm_AreaShape_Center_X	0.0004873489508958606	-7.95140384952514e-05	0.01469980659447847	-0.01469980659447835
Cytoplasm_AreaShape_Center_Y	0.007687284749448908	-0.0003056166960592803	0.06744290665176549	-0.06744290665176494
Cytoplasm_AreaShape_Compactness	0.019046242439226813	-0.00028787195398138194	-0.12595642537780205	0.12595642537780105
Cytoplasm_AreaShape_ConvexArea	0.0005022801747760486	-0.00044014997173147104	0.078545288412136	-0.07854528841213536
Cytoplasm_AreaShape_Eccentricity	0.0008098365594042534	-0.00010122297458136609	0.006741732209321375	-0.006741732209321319
Cytoplasm_AreaShape_EquivalentDiameter	0.014240728848008755	0.00028279332118277643	0.10083841988318185	-0.10083841988318103
Cytoplasm_AreaShape_EulerNumber	0.025064511637691522	0.005838075214566003	-0.16232400293760613	0.1623240029376048
Cytoplasm_AreaShape_Extent	0.025720571929317426	0.0003416901504090268	0.12170521621788322	-0.12170521621788222
Cytoplasm_AreaShape_FormFactor	0.011502069710717766	0.000268373239408274	0.05482317823587629	-0.05482317823587584
Cytoplasm_AreaShape_MajorAxisLength	0.006246122016568378	0.0001803093493185141	0.060459646217722374	-0.06045964621772188
Cytoplasm_AreaShape_MaxFeretDiameter	0.007169617606918366	0.00017374865916014814	0.07546445226908502	-0.07546445226908441
Cytoplasm_AreaShape_MaximumRadius	0.007583186296808098	0.00017018872697236291	0.09139216237820416	-0.09139216237820341
Cytoplasm_AreaShape_MeanRadius	0.006334570402100281	0.00017322265816894364	0.08128091182265562	-0.08128091182265496
Cytoplasm_AreaShape_MedianRadius	0.006434084155769515	0.00019108914832570182	0.077643473047561	-0.07764347304756038
Cytoplasm_AreaShape_MinFeretDiameter	0.014317908707915938	0.0003054462615167575	0.08618829976439235	-0.08618829976439166
Cytoplasm_AreaShape_MinorAxisLength	0.013243882990551237	0.0003348228205774637	0.0714306972282436	-0.07143069722824302
Cytoplasm_AreaShape_Orientation	1.8029582710132885e-06	-2.0178160966090945e-06	-0.0011205589404909913	0.0011205589404909822
Cytoplasm_AreaShape_Perimeter	0.009972153614534185	0.00017233462518386933	0.11041201306586373	-0.11041201306586283
Cytoplasm_AreaShape_Solidity	0.027494298953684493	0.0003593591386982862	0.13819146429824178	-0.13819146429824067
Cytoplasm_AreaShape_Zernike_0_0	0.022956850397279682	0.0003393956192233666	0.10152597832487792	-0.10152597832487709
Cytoplasm_AreaShape_Zernike_1_1	0.005573095296815489	0.00012896215508445146	0.05858233842545697	-0.058582338425456494
Cytoplasm_AreaShape_Zernike_2_0	0.010026956732655967	0.00021330293981741862	0.06542546049812868	-0.06542546049812815
Cytoplasm_AreaShape_Zernike_2_2	0.0043874654811874025	0.00012954638594845334	0.046407927864399595	-0.04640792786439922
Cytoplasm_AreaShape_Zernike_3_1	0.004727527544005072	0.0001051465682646661	0.05707089809852581	-0.05707089809852534
Cytoplasm_AreaShape_Zernike_3_3	0.0022083831174457558	7.426088671686882e-05	0.03815673866302395	-0.038156738663023645
Cytoplasm_AreaShape_Zernike_4_0	0.0012692426746319097	4.815568482786688e-05	0.031168302877728052	-0.031168302877727802
Cytoplasm_AreaShape_Zernike_4_2	0.004583262543927491	0.00017072605221173432	0.031230810726295015	-0.031230810726294758
Cytoplasm_AreaShape_Zernike_4_4	0.0032583351837398578	1.8036427831282884e-05	0.06355365647011443	-0.06355365647011392
Cytoplasm_AreaShape_Zernike_5_1	0.007232154357554754	0.00018694045238426484	0.051699818075241946	-0.05169981807524152
Cytoplasm_AreaShape_Zernike_5_3	0.0007540800522468638	2.097641487492905e-05	0.028046442989020787	-0.028046442989020554
Cytoplasm_AreaShape_Zernike_5_5	0.0007015883820303825	1.6609869252756136e-05	0.02787523130260268	-0.02787523130260245
Cytoplasm_AreaShape_Zernike_6_0	0.003436153399021369	0.00012377148854102264	0.03632435333085162	-0.03632435333085133
Cytoplasm_AreaShape_Zernike_6_2	0.0034247140073773163	0.00010119588264014081	0.04504437487783203	-0.04504437487783166
Cytoplasm_AreaShape_Zernike_6_4	0.000558322126299915	4.208738896396119e-05	0.017434584644688157	-0.017434584644688018
Cytoplasm_AreaShape_Zernike_6_6	0.0009491704093178566	-4.3494049256278364e-05	0.0397506458683032	-0.03975064586830288
Cytoplasm_AreaShape_Zernike_7_1	0.009029498688269966	0.0002319319460894321	0.0475756197709105	-0.04757561977091011
Cytoplasm_AreaShape_Zernike_7_3	0.0011706870256721347	2.5813600402885654e-05	0.034920617843690945	-0.03492061784369066
Cytoplasm_AreaShape_Zernike_7_5	0.0003399238373958946	3.8444760116732986e-06	0.020910012241007716	-0.020910012241007546
Cytoplasm_AreaShape_Zernike_7_7	0.000649151953586613	-5.150699489761355e-05	0.03200671345588008	-0.03200671345587982
Cytoplasm_AreaShape_Zernike_8_0	0.0017232732816178098	8.729384807423858e-05	0.026300009929606703	-0.02630000992960649
