feature	feature_LPS_10µg_per_ml_+_DMSO 0.1%_0	r2_score_LPS_10µg_per_ml_+_DMSO 0.1%_0	Metadata_number_of_singlecells_LPS_10µg_per_ml_+_DMSO 0.1%_0	DMSO 0.1%_0_LPS_10µg_per_ml_+_DMSO 0.1%_0	LPS_10µg_per_ml_LPS_10µg_per_ml_+_DMSO 0.1%_0	feature_Disulfiram_2.5µM_+_DMSO 0.1%_0	r2_score_Disulfiram_2.5µM_+_DMSO 0.1%_0	Metadata_number_of_singlecells_Disulfiram_2.5µM_+_DMSO 0.1%_0	DMSO 0.1%_0_Disulfiram_2.5µM_+_DMSO 0.1%_0	Disulfiram_2.5µM_Disulfiram_2.5µM_+_DMSO 0.1%_0	feature_LPS_1µg_per_ml_+_DMSO 0.1%_0	r2_score_LPS_1µg_per_ml_+_DMSO 0.1%_0	Metadata_number_of_singlecells_LPS_1µg_per_ml_+_DMSO 0.1%_0	DMSO 0.1%_0_LPS_1µg_per_ml_+_DMSO 0.1%_0	LPS_1µg_per_ml_LPS_1µg_per_ml_+_DMSO 0.1%_0	feature_Disulfiram_0.1µM_+_DMSO 0.1%_0	r2_score_Disulfiram_0.1µM_+_DMSO 0.1%_0	Metadata_number_of_singlecells_Disulfiram_0.1µM_+_DMSO 0.1%_0	DMSO 0.1%_0_Disulfiram_0.1µM_+_DMSO 0.1%_0	Disulfiram_0.1µM_Disulfiram_0.1µM_+_DMSO 0.1%_0	feature_H2O2_500µM_+_DMSO 0.1%_0	r2_score_H2O2_500µM_+_DMSO 0.1%_0	Metadata_number_of_singlecells_H2O2_500µM_+_DMSO 0.1%_0	DMSO 0.1%_0_H2O2_500µM_+_DMSO 0.1%_0	H2O2_500µM_H2O2_500µM_+_DMSO 0.1%_0	feature_Thapsi_10µM_+_DMSO 0.1%_0	r2_score_Thapsi_10µM_+_DMSO 0.1%_0	Metadata_number_of_singlecells_Thapsi_10µM_+_DMSO 0.1%_0	DMSO 0.1%_0_Thapsi_10µM_+_DMSO 0.1%_0	Thapsi_10µM_Thapsi_10µM_+_DMSO 0.1%_0	feature_H2O2_50µM_+_DMSO 0.1%_0	r2_score_H2O2_50µM_+_DMSO 0.1%_0	Metadata_number_of_singlecells_H2O2_50µM_+_DMSO 0.1%_0	DMSO 0.1%_0_H2O2_50µM_+_DMSO 0.1%_0	H2O2_50µM_H2O2_50µM_+_DMSO 0.1%_0	feature_Thapsi_1µM_+_DMSO 0.1%_0	r2_score_Thapsi_1µM_+_DMSO 0.1%_0	Metadata_number_of_singlecells_Thapsi_1µM_+_DMSO 0.1%_0	DMSO 0.1%_0_Thapsi_1µM_+_DMSO 0.1%_0	Thapsi_1µM_Thapsi_1µM_+_DMSO 0.1%_0	feature_ATP_1mM_+_DMSO 0.1%_0	r2_score_ATP_1mM_+_DMSO 0.1%_0	Metadata_number_of_singlecells_ATP_1mM_+_DMSO 0.1%_0	ATP_1mM_ATP_1mM_+_DMSO 0.1%_0	DMSO 0.1%_0_ATP_1mM_+_DMSO 0.1%_0	feature_LPS + Nigericin_1µg_per_ml + 10µM_+_DMSO 0.1%_0	r2_score_LPS + Nigericin_1µg_per_ml + 10µM_+_DMSO 0.1%_0	Metadata_number_of_singlecells_LPS + Nigericin_1µg_per_ml + 10µM_+_DMSO 0.1%_0	DMSO 0.1%_0_LPS + Nigericin_1µg_per_ml + 10µM_+_DMSO 0.1%_0	LPS + Nigericin_1µg_per_ml + 10µM_LPS + Nigericin_1µg_per_ml + 10µM_+_DMSO 0.1%_0	feature_ATP_0.1mM_+_DMSO 0.1%_0	r2_score_ATP_0.1mM_+_DMSO 0.1%_0	Metadata_number_of_singlecells_ATP_0.1mM_+_DMSO 0.1%_0	ATP_0.1mM_ATP_0.1mM_+_DMSO 0.1%_0	DMSO 0.1%_0_ATP_0.1mM_+_DMSO 0.1%_0	feature_LPS + Nigericin_1µg_per_ml + 1µM_+_DMSO 0.1%_0	r2_score_LPS + Nigericin_1µg_per_ml + 1µM_+_DMSO 0.1%_0	Metadata_number_of_singlecells_LPS + Nigericin_1µg_per_ml + 1µM_+_DMSO 0.1%_0	DMSO 0.1%_0_LPS + Nigericin_1µg_per_ml + 1µM_+_DMSO 0.1%_0	LPS + Nigericin_1µg_per_ml + 1µM_LPS + Nigericin_1µg_per_ml + 1µM_+_DMSO 0.1%_0	feature_Flagellin_1µg_per_ml_+_DMSO 0.1%_0	r2_score_Flagellin_1µg_per_ml_+_DMSO 0.1%_0	Metadata_number_of_singlecells_Flagellin_1µg_per_ml_+_DMSO 0.1%_0	DMSO 0.1%_0_Flagellin_1µg_per_ml_+_DMSO 0.1%_0	Flagellin_1µg_per_ml_Flagellin_1µg_per_ml_+_DMSO 0.1%_0	feature_DMSO 0.1%_0_+_DMSO 0.1%_0	r2_score_DMSO 0.1%_0_+_DMSO 0.1%_0	Metadata_number_of_singlecells_DMSO 0.1%_0_+_DMSO 0.1%_0	DMSO 0.1%_0_DMSO 0.1%_0_+_DMSO 0.1%_0	feature_Flagellin_0.1µg_per_ml_+_DMSO 0.1%_0	r2_score_Flagellin_0.1µg_per_ml_+_DMSO 0.1%_0	Metadata_number_of_singlecells_Flagellin_0.1µg_per_ml_+_DMSO 0.1%_0	DMSO 0.1%_0_Flagellin_0.1µg_per_ml_+_DMSO 0.1%_0	Flagellin_0.1µg_per_ml_Flagellin_0.1µg_per_ml_+_DMSO 0.1%_0	feature_Media only_0_+_DMSO 0.1%_0	r2_score_Media only_0_+_DMSO 0.1%_0	Metadata_number_of_singlecells_Media only_0_+_DMSO 0.1%_0	DMSO 0.1%_0_Media only_0_+_DMSO 0.1%_0	Media only_0_Media only_0_+_DMSO 0.1%_0
Cytoplasm_AreaShape_Compactness	Cytoplasm_AreaShape_Compactness	0.006896488237187803	0.0002736106271746343	-0.08696049383162059	0.08696049383162079	Cytoplasm_AreaShape_Compactness	0.0001272038272177589	-4.943317849428278e-05	0.006508929961675172	-0.0065089299616751094	Cytoplasm_AreaShape_Compactness	0.0034135887316742997	-0.00017318017616481073	-0.0537185879038988	0.05371858790389746	Cytoplasm_AreaShape_Compactness	0.00034377192225265585	-8.843984157819321e-05	-0.015902465422071885	0.015902465422071917	Cytoplasm_AreaShape_Compactness	0.22839870859689748	-0.0038204109873310435	0.622137738255666	-0.6221377382556642	Cytoplasm_AreaShape_Compactness	0.0355924469509904	-0.0008345077754949898	0.1650224147776074	-0.1650224147776088	Cytoplasm_AreaShape_Compactness	0.006678484704553567	-0.0005526401148937375	-0.01565070143503395	0.015650701435033946	Cytoplasm_AreaShape_Compactness	0.019909614730772573	-0.0007327611295967549	0.03849097689334869	-0.0384909768933485	Cytoplasm_AreaShape_Compactness	0.0008637322493233457	-8.97792301269451e-05	0.01795105412544384	-0.017951054125444236	Cytoplasm_AreaShape_Compactness	0.00038446371425804315	-8.233665146169277e-05	0.004329783293779261	-0.004329783293779297	Cytoplasm_AreaShape_Compactness	0.019006049099580702	-0.0008009150361646174	0.08022911677826489	-0.08022911677826454	Cytoplasm_AreaShape_Compactness	0.0017874548665014478	-0.0002558033906989046	-0.03342209347854908	0.03342209347854801	Cytoplasm_AreaShape_Compactness	0.0015614676358500779	-0.00014487995601420562	-0.0343119638345706	0.034311963834570386	Cytoplasm_AreaShape_Compactness	0.00031740155337822706	-0.00011298552946674774	0.0	Cytoplasm_AreaShape_Compactness	0.007863021576724805	-0.00038473203423180824	-0.06522563195938548	0.06522563195938501	Cytoplasm_AreaShape_Compactness	0.00937383707524364	9.902910299882062e-05	-0.12489650473242234	0.12489650473242139
Cytoplasm_AreaShape_Eccentricity	Cytoplasm_AreaShape_Eccentricity	0.00025451904420903393	-7.622116446672836e-05	-0.003594556698102753	0.0035945566981027605	Cytoplasm_AreaShape_Eccentricity	0.0008803887616624095	-0.00010528051365864042	0.006073094307254657	-0.0060730943072546	Cytoplasm_AreaShape_Eccentricity	4.915135342287158e-06	5.082490189334202e-06	-0.002022133625487916	0.0020221336254878657	Cytoplasm_AreaShape_Eccentricity	8.543130218352513e-05	-5.375275262273026e-05	0.003998624358767382	-0.00399862435876739	Cytoplasm_AreaShape_Eccentricity	0.001550838739317717	0.00013598757831832992	-0.11826495434039924	0.1182649543403989	Cytoplasm_AreaShape_Eccentricity	0.0035961822074104255	5.5160107597973365e-05	-0.09388871408563662	0.09388871408563741	Cytoplasm_AreaShape_Eccentricity	6.772980089675418e-05	1.1262419404815188e-05	0.008822819858762786	-0.008822819858762786	Cytoplasm_AreaShape_Eccentricity	0.0001985892554218216	8.734917786988879e-06	0.014100470335686417	-0.014100470335686344	Cytoplasm_AreaShape_Eccentricity	0.0008443559739904627	-0.00011861398030898615	-0.026233230034371884	0.02623323003437246	Cytoplasm_AreaShape_Eccentricity	0.0024215804101125338	-0.0001769450829665752	0.0015743966602375066	-0.00157439666023752	Cytoplasm_AreaShape_Eccentricity	0.00014232146743808904	2.6640385014482196e-05	-0.011814296785054263	0.01181429678505421	Cytoplasm_AreaShape_Eccentricity	0.0002826202422443469	-6.018958911656495e-05	-0.017801190554161805	0.017801190554161236	Cytoplasm_AreaShape_Eccentricity	4.3023694624722e-06	1.0051057614047372e-05	-0.0017193339062976857	0.0017193339062976747	Cytoplasm_AreaShape_Eccentricity	1.7147503809100684e-06	-8.29810331163515e-06	0.0	Cytoplasm_AreaShape_Eccentricity	0.0001482626022155653	-4.8575258263521295e-05	0.010135757206286776	-0.0101357572062867	Cytoplasm_AreaShape_Eccentricity	0.0006585311100425484	-8.112475316621442e-05	0.024275488088667113	-0.02427548808866693
Cytoplasm_AreaShape_Extent	Cytoplasm_AreaShape_Extent	0.004189761906617573	-0.00023057094087771884	0.0634182436783402	-0.06341824367834036	Cytoplasm_AreaShape_Extent	0.0002841443909121777	4.598222136263523e-06	-0.019128167223749847	0.019128167223749666	Cytoplasm_AreaShape_Extent	0.002893544066699061	0.00015017187964529017	0.049082295961409325	-0.04908229596140811	Cytoplasm_AreaShape_Extent	0.0005050621361984975	6.188564955293464e-05	0.02220506042297353	-0.02220506042297357	Cytoplasm_AreaShape_Extent	0.03648766486335786	0.0002051338273224984	0.22858502481908533	-0.2285850248190847	Cytoplasm_AreaShape_Extent	0.04473526933107308	6.2005175313725e-05	0.22356756501878944	-0.22356756501879135	Cytoplasm_AreaShape_Extent	0.0035036076354414414	0.00037375840173167676	0.0046393280948007955	-0.0046393280948007955	Cytoplasm_AreaShape_Extent	0.010982330355887804	0.0005602539373767275	-0.007807129202915925	0.007807129202915887	Cytoplasm_AreaShape_Extent	0.003010629576419621	0.00020277927631116605	-0.019403841134120896	0.019403841134121327	Cytoplasm_AreaShape_Extent	0.01024955395217464	0.00023266708172530647	0.046400560293135204	-0.04640056029313559	Cytoplasm_AreaShape_Extent	0.012053068476185591	0.0005851575295517792	-0.0676523694570895	0.06765236945708919	Cytoplasm_AreaShape_Extent	0.000766007575393135	0.00016636176603178243	0.02217819231867018	-0.022178192318669476	Cytoplasm_AreaShape_Extent	0.001042281846380777	6.77248655700015e-05	0.030679897095544542	-0.030679897095544348	Cytoplasm_AreaShape_Extent	7.223499791897403e-05	5.390732608918556e-05	0.0	Cytoplasm_AreaShape_Extent	0.006192341554303371	0.00035814182635201456	0.05296268701078832	-0.052962687010787934	Cytoplasm_AreaShape_Extent	0.004887770173281236	-3.3402820370758796e-05	0.07848626560828009	-0.0784862656082795
Cytoplasm_AreaShape_FormFactor	Cytoplasm_AreaShape_FormFactor	0.005286068968819224	-0.0002848015647613856	0.06590960380917232	-0.06590960380917246	Cytoplasm_AreaShape_FormFactor	0.002451188992911413	-4.2683679099703606e-05	-0.043820612540599956	0.043820612540599546	Cytoplasm_AreaShape_FormFactor	0.00263185139831823	0.0001710640716576736	0.04233227410267101	-0.04233227410266995	Cytoplasm_AreaShape_FormFactor	0.0007412089059788407	0.00018291449078476253	-0.002017543355180476	0.0020175433551804798	Cytoplasm_AreaShape_FormFactor	0.04784138586260045	0.0006435302331946686	0.0160587112603429	-0.016058711260342855	Cytoplasm_AreaShape_FormFactor	0.017647573423712704	0.00018911871210712557	0.06153660471076909	-0.06153660471076961	Cytoplasm_AreaShape_FormFactor	0.003994903152945928	0.0002961836766669401	-0.025435532777590517	0.025435532777590513	Cytoplasm_AreaShape_FormFactor	0.009717750320241691	0.00044279996192239706	-0.05079228160696268	0.050792281606962426	Cytoplasm_AreaShape_FormFactor	0.0014634229982178892	0.00017929189010512246	0.023866843142941498	-0.023866843142942025	Cytoplasm_AreaShape_FormFactor	0.0014394918365471243	0.0001934494539393594	-0.0354865392044111	0.035486539204411395	Cytoplasm_AreaShape_FormFactor	0.006063873128032027	0.0003972314855464947	-0.045938972688853025	0.04593897268885283	Cytoplasm_AreaShape_FormFactor	0.002132980731769707	0.00023979804121497452	0.0420008960537767	-0.042000896053775355	Cytoplasm_AreaShape_FormFactor	0.0013024629261743081	0.00016302456755875708	0.027475086784131755	-0.02747508678413159	Cytoplasm_AreaShape_FormFactor	0.000320673196208654	0.00011357440546880468	0.0	Cytoplasm_AreaShape_FormFactor	0.005496823371441084	0.00026984659806754565	0.056584333201779205	-0.05658433320177878	Cytoplasm_AreaShape_FormFactor	0.0020474161754984177	3.1680557235807215e-05	0.046219419054764094	-0.04621941905476375
Cytoplasm_AreaShape_MajorAxisLength	Cytoplasm_AreaShape_MajorAxisLength	0.007621331533911979	-0.00046356819287632215	-0.01163257063608127	0.011632570636081294	Cytoplasm_AreaShape_MajorAxisLength	0.06352652953501381	-0.0006922328266199261	-0.12103699826397521	0.12103699826397407	Cytoplasm_AreaShape_MajorAxisLength	0.001204663735619338	0.00011734289352093037	0.029424388615276888	-0.029424388615276152	Cytoplasm_AreaShape_MajorAxisLength	0.0004908104322993712	1.9321657860013298e-05	0.022398185382550603	-0.022398185382550645	Cytoplasm_AreaShape_MajorAxisLength	0.0013053227814892043	-0.0002425048834649063	0.18534419116272838	-0.18534419116272785	Cytoplasm_AreaShape_MajorAxisLength	0.01586752173258843	0.00018129079109808965	0.06778606455859318	-0.06778606455859375	Cytoplasm_AreaShape_MajorAxisLength	0.001710126948118229	0.0002627553001423347	0.015012581796732705	-0.015012581796732703	Cytoplasm_AreaShape_MajorAxisLength	0.005397052115514334	0.00032692116316639666	0.039740856596502956	-0.03974085659650276	Cytoplasm_AreaShape_MajorAxisLength	0.0018988447313972312	0.0001533686679781645	-0.01615912475476204	0.016159124754762402	Cytoplasm_AreaShape_MajorAxisLength	0.0019972909939391936	0.000155741447978568	0.0022691800421298994	-0.0022691800421299185	Cytoplasm_AreaShape_MajorAxisLength	0.0044867122394792736	0.00025928572137955456	-0.05708506674704218	0.057085066747041925	Cytoplasm_AreaShape_MajorAxisLength	0.0004898145584841807	2.016908585440647e-05	-0.020774181853501536	0.02077418185350087	Cytoplasm_AreaShape_MajorAxisLength	0.0008660556252026996	0.000215217940645168	0.007042670136487605	-0.007042670136487563	Cytoplasm_AreaShape_MajorAxisLength	0.000718222533355739	0.00016961474093289827	0.0	Cytoplasm_AreaShape_MajorAxisLength	0.003635334789423017	0.00019375512878575733	0.05055526654769704	-0.05055526654769667	Cytoplasm_AreaShape_MajorAxisLength	0.0021033654825171055	-1.104375060117595e-05	0.04639941809233959	-0.046399418092339245
Cytoplasm_AreaShape_MinorAxisLength	Cytoplasm_AreaShape_MinorAxisLength	0.005012774990837077	-0.00039072706448559807	0.004322243773144131	-0.0043222437731441415	Cytoplasm_AreaShape_MinorAxisLength	0.04750540557494032	-0.0005276096692112124	-0.1184568795406222	0.11845687954062109	Cytoplasm_AreaShape_MinorAxisLength	0.0021543477613648054	0.00013842134420262637	0.040241225184496174	-0.04024122518449517	Cytoplasm_AreaShape_MinorAxisLength	0.000609672603103184	8.528456115871157e-05	0.022171259061586276	-0.022171259061586315	Cytoplasm_AreaShape_MinorAxisLength	0.004292803324949301	-0.0003243773281678608	0.3320810562520857	-0.3320810562520847	Cytoplasm_AreaShape_MinorAxisLength	0.049478421078632984	0.0001272815808961107	0.20617880304629377	-0.20617880304629552	Cytoplasm_AreaShape_MinorAxisLength	0.0018310567890383878	0.0002649879644548207	0.007700334530202385	-0.007700334530202385	Cytoplasm_AreaShape_MinorAxisLength	0.006112634567515096	0.00037937597525252153	0.028424958795621347	-0.028424958795621205	Cytoplasm_AreaShape_MinorAxisLength	0.005044125102480312	0.0003136773134030102	0.003958729088297043	-0.00395872908829713	Cytoplasm_AreaShape_MinorAxisLength	0.014611496630697496	0.0003938487568715378	0.013336612918648384	-0.013336612918648499	Cytoplasm_AreaShape_MinorAxisLength	0.0045236891376432276	0.0002733500746070272	-0.05467030614970972	0.05467030614970948	Cytoplasm_AreaShape_MinorAxisLength	0.00040788332385854886	0.00013635877447696989	0.005305240749362428	-0.005305240749362258	Cytoplasm_AreaShape_MinorAxisLength	0.0010146036449576457	0.00021775718845472932	0.012648149129383945	-0.012648149129383866	Cytoplasm_AreaShape_MinorAxisLength	0.0007655646561245399	0.00017531437972001282	0.0	Cytoplasm_AreaShape_MinorAxisLength	0.004138372844985749	0.0002684557349611656	0.04527995318481673	-0.04527995318481639	Cytoplasm_AreaShape_MinorAxisLength	0.0010222309488499004	7.540775756034471e-05	0.02915834454921118	-0.029158344549210957
Cytoplasm_AreaShape_Orientation	Cytoplasm_AreaShape_Orientation	5.1755415148790895e-05	1.3702304076818067e-05	0.006018817118342351	-0.006018817118342363	Cytoplasm_AreaShape_Orientation	2.554757804129615e-05	2.7135239003853536e-06	0.004525629884602079	-0.004525629884602036	Cytoplasm_AreaShape_Orientation	3.471136573218736e-05	8.695708372109016e-06	0.0057150912755988634	-0.00571509127559872	Cytoplasm_AreaShape_Orientation	5.030008153328325e-07	-4.386629372510464e-06	-0.00032437475530007324	0.00032437475530007384	Cytoplasm_AreaShape_Orientation	1.710209115801664e-05	2.0664162781770794e-05	-0.013129650631256956	0.013129650631256918	Cytoplasm_AreaShape_Orientation	0.000259511154502734	1.596020507159031e-05	-0.025592848955241727	0.025592848955241946	Cytoplasm_AreaShape_Orientation	2.739413687002923e-07	3.031258223104051e-06	-2.3880418482145857e-05	2.388041848214586e-05	Cytoplasm_AreaShape_Orientation	5.3125761158900886e-05	-8.856200279459576e-06	0.007068551516766474	-0.007068551516766439	Cytoplasm_AreaShape_Orientation	3.1837633712727964e-06	7.958309661320604e-06	0.0002376490799951405	-0.00023764907999514572	Cytoplasm_AreaShape_Orientation	2.7284807724181626e-05	1.467899783598788e-05	0.0012962995406537064	-0.0012962995406537174	Cytoplasm_AreaShape_Orientation	5.752880039455732e-06	8.69684403519888e-06	0.0016197923641421128	-0.0016197923641421055	Cytoplasm_AreaShape_Orientation	6.99172468549003e-05	5.48966981694757e-05	0.005554786494428679	-0.005554786494428501	Cytoplasm_AreaShape_Orientation	9.297419274356677e-06	1.275493184607928e-05	0.002424918322553	-0.002424918322552984	Cytoplasm_AreaShape_Orientation	5.684891056012553e-06	1.5117387244757697e-05	0.0	Cytoplasm_AreaShape_Orientation	8.625161228570377e-06	1.784586187965964e-05	0.0005953393781391935	-0.0005953393781391891	Cytoplasm_AreaShape_Orientation	1.22094624620539e-05	-1.6068220436347736e-05	0.002891577874132114	-0.002891577874132092
Cytoplasm_AreaShape_Solidity	Cytoplasm_AreaShape_Solidity	0.008109417195460655	-0.0003533506644270576	0.08761868755181977	-0.08761868755181997	Cytoplasm_AreaShape_Solidity	0.0014031732373445127	-6.40330162482207e-05	-0.02540779346439101	0.02540779346439077	Cytoplasm_AreaShape_Solidity	0.004944238365599762	0.00017048332310592992	0.06824523602775931	-0.0682452360277576	Cytoplasm_AreaShape_Solidity	0.0009061605714433263	0.00010863736421092413	0.0289556863453216	-0.028955686345321658	Cytoplasm_AreaShape_Solidity	0.050684809632836725	0.0003981882930396187	0.19254156868182876	-0.1925415686818282	Cytoplasm_AreaShape_Solidity	0.044351112262917436	0.0001743390079301301	0.17568646062810092	-0.1756864606281024	Cytoplasm_AreaShape_Solidity	0.0056666690065085845	0.0004904655687706525	0.009154334748678166	-0.009154334748678166	Cytoplasm_AreaShape_Solidity	0.017290149466590243	0.0007134580759695025	-0.01268160730456036	0.012681607304560298	Cytoplasm_AreaShape_Solidity	0.0032516692690744975	0.00018928068857783055	-0.029988295967570466	0.02998829596757113	Cytoplasm_AreaShape_Solidity	0.007071263045931198	0.000211809292129095	0.03438758741309667	-0.034387587413096964	Cytoplasm_AreaShape_Solidity	0.018210716488097245	0.0007486563182210751	-0.08605779937412736	0.086057799374127	Cytoplasm_AreaShape_Solidity	0.001106045263084332	0.00019214287256090284	0.027497487796094913	-0.027497487796094035	Cytoplasm_AreaShape_Solidity	0.0018101818979163742	0.0001260645898804017	0.038932125114806496	-0.038932125114806246	Cytoplasm_AreaShape_Solidity	0.00018942934086385588	8.730453664033204e-05	0.0	Cytoplasm_AreaShape_Solidity	0.01005003105570701	0.000425086794697048	0.07553131137562623	-0.07553131137562566	Cytoplasm_AreaShape_Solidity	0.007066085013072265	-4.155505993395656e-05	0.10093838037144653	-0.10093838037144579
Cytoplasm_AreaShape_Zernike_0_0	Cytoplasm_AreaShape_Zernike_0_0	0.0030003722428508794	-0.0001668642152943225	0.0553699892363233	-0.05536998923632343	Cytoplasm_AreaShape_Zernike_0_0	0.00017090819870291263	5.433928581672878e-05	-0.014266773426157536	0.014266773426157401	Cytoplasm_AreaShape_Zernike_0_0	0.0018972024195774706	0.00010610901903128884	0.040454496673335165	-0.04045449667333415	Cytoplasm_AreaShape_Zernike_0_0	0.00041044677548141006	5.983311839198711e-05	0.019430738347218354	-0.019430738347218392	Cytoplasm_AreaShape_Zernike_0_0	0.033714716521717425	0.00013052413198460423	0.2484627395750677	-0.24846273957506698	Cytoplasm_AreaShape_Zernike_0_0	0.045384182391557504	2.824356105014237e-05	0.23626822294758737	-0.23626822294758937	Cytoplasm_AreaShape_Zernike_0_0	0.002235737002845406	0.0003030804757318772	0.008792907071518247	-0.008792907071518247	Cytoplasm_AreaShape_Zernike_0_0	0.008038612609723716	0.00047403040723803703	-0.007363644827683639	0.007363644827683602	Cytoplasm_AreaShape_Zernike_0_0	0.002816437512588421	0.0002124887760798088	-0.010968619847679559	0.010968619847679802	Cytoplasm_AreaShape_Zernike_0_0	0.010951403277821625	0.0002550591780951839	0.04255467061786378	-0.04255467061786414	Cytoplasm_AreaShape_Zernike_0_0	0.007618532292147706	0.0004648209988406238	-0.05072207681138091	0.05072207681138069	Cytoplasm_AreaShape_Zernike_0_0	0.0005727443438346969	0.00014591993236913087	0.019076727684111137	-0.019076727684110527	Cytoplasm_AreaShape_Zernike_0_0	0.0004923941036332202	1.0639124237060134e-05	0.022219761678195733	-0.022219761678195595	Cytoplasm_AreaShape_Zernike_0_0	8.03570185348157e-06	1.7972081529109297e-05	0.0	Cytoplasm_AreaShape_Zernike_0_0	0.003361921063698814	0.00028267232287462236	0.03444402517559878	-0.03444402517559853	Cytoplasm_AreaShape_Zernike_0_0	0.0034099014740520683	-3.8475149104413265e-05	0.06303893205665946	-0.06303893205665898
Cytoplasm_AreaShape_Zernike_1_1	Cytoplasm_AreaShape_Zernike_1_1	0.00045208377243144415	-6.202726257880705e-05	0.02108302246169831	-0.021083022461698357	Cytoplasm_AreaShape_Zernike_1_1	5.8583584856441995e-05	-2.5390017043160648e-05	0.009809347057599262	-0.009809347057599168	Cytoplasm_AreaShape_Zernike_1_1	8.883797144132455e-05	-3.88640032228489e-05	0.006475723556464769	-0.006475723556464609	Cytoplasm_AreaShape_Zernike_1_1	0.00017976956634280228	-7.755883472503691e-05	0.006045127536434009	-0.006045127536434021	Cytoplasm_AreaShape_Zernike_1_1	0.00967418626018135	0.00017032184750571892	0.07382357906510086	-0.07382357906510063	Cytoplasm_AreaShape_Zernike_1_1	0.010709385118132131	4.178684732862548e-05	0.0991841677561611	-0.09918416775616193	Cytoplasm_AreaShape_Zernike_1_1	0.0004206740397966202	0.0001154096295189293	0.018067322906789997	-0.018067322906789994	Cytoplasm_AreaShape_Zernike_1_1	0.0013467531318485104	0.0001932445053138017	0.001882992977775264	-0.0018829929777752546	Cytoplasm_AreaShape_Zernike_1_1	0.00020555446870329508	7.328001802069904e-06	-0.01375695278594772	0.013756952785948021	Cytoplasm_AreaShape_Zernike_1_1	0.0012192503866468307	-1.5102200742463475e-05	0.038687525659061625	-0.03868752565906196	Cytoplasm_AreaShape_Zernike_1_1	0.0019430068793300226	0.00024074191829106398	-0.020695223951956623	0.020695223951956533	Cytoplasm_AreaShape_Zernike_1_1	4.18171637390774e-05	2.9431057859661066e-05	0.006473920714187195	-0.006473920714186988	Cytoplasm_AreaShape_Zernike_1_1	0.00014636351148511473	-1.4152968766116597e-05	0.012050709619604055	-0.012050709619603977	Cytoplasm_AreaShape_Zernike_1_1	3.9962133186133286e-05	-4.009002403160836e-05	0.0	Cytoplasm_AreaShape_Zernike_1_1	6.498612455330122e-05	1.7988334337359435e-05	0.007324183274463596	-0.007324183274463542	Cytoplasm_AreaShape_Zernike_1_1	0.0026504584351091376	-8.313395514708124e-05	0.05245087183160212	-0.05245087183160172
