feature	r2_score	Metadata_number_of_singlecells	Metadata_treatment	Metadata_dose	treatment	dose
Cytoplasm_Number_Object_Number	0.029744578622511675	0.0008742807080197206	-0.03232830011530114	0.01797140217504327	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Area	0.006442722494337638	-0.00036849781637508035	0.09873575335957259	-0.08256237804709352	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_BoundingBoxArea	0.007545819621833982	-0.0003974802108918834	0.14282116932287328	-0.09892173145720712	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_BoundingBoxMaximum_X	0.0002425742794779362	4.5194194063089466e-05	0.017842661296630917	-0.024828697404512445	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_BoundingBoxMaximum_Y	0.00016834362374495981	-6.475293500226994e-05	-0.032981761703250304	0.015169218148811114	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_BoundingBoxMinimum_X	0.0002704813232280445	6.391906804852547e-05	0.0117132587931057	-0.019838079508226067	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_BoundingBoxMinimum_Y	0.0001258644114612295	-4.804961553469217e-05	-0.03900908708962557	0.020276383010454018	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Center_X	0.0002520172074526039	5.4764234351475576e-05	0.014718072888086828	-0.022292539218921954	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Center_Y	0.00014549955339626663	-5.7066522913007524e-05	-0.036227437644884744	0.017871339183832196	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Compactness	0.00359436134744473	0.0001042372660360712	0.20653637329886157	-0.05038054357224392	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_ConvexArea	0.007263606441087589	-0.00038309093236935744	0.14714456842015	-0.1005768652433497	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Eccentricity	0.00010882507973075661	-4.480759897842695e-05	0.016624873513454094	-0.006140868001388777	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_EquivalentDiameter	0.005314335657671698	-0.0003160349747646519	0.06036692328304745	-0.07737105692329423	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_EulerNumber	9.249043753789543e-05	3.069330937616872e-05	0.007405403080104223	-0.014884840546879849	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Extent	0.0022689523130678957	-7.526110298967875e-05	-0.12427871700149445	0.013732298996010122	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_FormFactor	0.0023926057496074238	-0.00011294656819065712	-0.14462435249667097	0.030830595490829657	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_MajorAxisLength	0.00479814703441972	-0.0002752086765935272	0.1425405893373884	-0.09951887871373181	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_MaxFeretDiameter	0.005968417505283097	-0.0003311117213728033	0.12170043563204683	-0.09613262063789929	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_MaximumRadius	0.004359114149544929	-0.00030004880960372507	0.020020557928671176	-0.05179370196914968	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_MeanRadius	0.004552939526018651	-0.00030641759694572974	0.005620578305434266	-0.046633144408342174	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_MedianRadius	0.004748485957794868	-0.0003092699476917426	-0.0027515887884056248	-0.04515222421082304	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_MinFeretDiameter	0.0047531244382236215	-0.000282587970467551	0.10388718173431584	-0.08875799787315272	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_MinorAxisLength	0.003577210194697922	-0.00021653503716341542	0.09760823500125675	-0.08798214649073856	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Orientation	3.906039329404365e-05	1.0401766238205332e-05	-0.013327236352794744	0.000943416768044639	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Perimeter	0.005615538697721356	-0.0002969936277008857	0.141478311985461	-0.10768630224260843	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Solidity	0.00436494440674895	-0.00015169500389856753	-0.17361197233090542	0.019525766655685936	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Zernike_0_0	0.00172060874607749	-5.084868889185041e-05	-0.11717406023401103	0.01860266680794847	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Zernike_1_1	0.00031358342286602614	-5.370873064053536e-05	-0.06972455019610628	0.02843101575895655	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Zernike_2_0	0.0032934100339078176	-0.00022371401195120708	-0.08884271230353455	-0.0027467054279704597	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Zernike_2_2	0.00019621261398994339	4.175159171864769e-05	-0.03896288388070522	0.015128349315662704	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Zernike_3_1	0.0006320234551963066	-3.5876791765119295e-05	-0.09104213923467996	0.028475674605537803	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Zernike_3_3	3.7029754599182674e-05	-3.1716837886083803e-06	-0.0159232088340665	0.0020956910334776688	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Zernike_4_0	0.0011640663296834663	0.00014811975073952057	-0.05067365404261623	0.03237691530486865	LPS	['10µg_per_ml' '1µg_per_ml' '0']
Cytoplasm_AreaShape_Zernike_4_2	0.0005858791725281698	-1.3532555441495436e-05	-0.05066124873398985	-0.0002413753891377466	LPS	['10µg_per_ml' '1µg_per_ml' '0']
