labeled_data_index	label
28348	train
2907	train
24002	train
25630	train
18517	train
19740	train
16930	train
4648	train
722	train
17899	train
11356	train
23760	train
4609	train
4494	train
9068	train
85	train
24763	train
14570	train
3684	train
9835	train
24234	train
15788	train
2225	train
20039	train
25693	train
25065	train
21340	train
8395	train
19873	train
26309	train
8332	train
13299	train
18189	train
15795	train
1695	train
465	train
8906	train
15183	train
27587	train
16293	train
21967	train
28223	train
21869	train
14035	train
11184	train
23579	train
8581	train
15330	train
25287	train
25187	train
13401	train
21572	train
23576	train
3561	train
24576	train
11261	train
8746	train
9487	train
4418	train
19184	train
23969	train
16187	train
14049	train
18162	train
14251	train
25779	train
7621	train
214	train
21982	train
3457	train
16001	train
26656	train
764	train
4329	train
4161	train
15856	train
2088	train
596	train
469	train
3322	train
22140	train
24047	train
3267	train
17072	train
22392	train
16148	train
24708	train
18477	train
81	train
27079	train
8480	train
25173	train
27250	train
13472	train
10846	train
14365	train
2503	train
14643	train
15987	train
20185	train
14069	train
7920	train
8993	train
7942	train
27754	train
606	train
15827	train
10063	train
18696	train
24841	train
25811	train
11182	train
3706	train
9218	train
22040	train
11398	train
10189	train
9974	train
14041	train
13713	train
18021	train
8739	train
26323	train
3588	train
25118	train
10242	train
457	train
1578	train
27446	train
783	train
1221	train
17984	train
25950	train
18134	train
17856	train
23246	train
11506	train
13287	train
19943	train
25584	train
1236	train
16479	train
25577	train
949	train
184	train
400	train
26101	train
2962	train
22212	train
25787	train
935	train
22268	train
9166	train
22875	train
4203	train
11316	train
1796	train
13407	train
4188	train
23098	train
11897	train
7638	train
18995	train
23618	train
15203	train
11537	train
23286	train
24787	train
25393	train
18846	train
26818	train
11510	train
8970	train
26172	train
16896	train
8816	train
19394	train
21971	train
19123	train
7852	train
26589	train
19938	train
19732	train
13157	train
10931	train
22419	train
21159	train
415	train
19749	train
23175	train
9755	train
23207	train
21492	train
26459	train
3769	train
23487	train
3622	train
10618	train
9345	train
27021	train
14244	train
25900	train
23120	train
478	train
24951	train
8173	train
27911	train
22740	train
489	train
4714	train
17008	train
10795	train
24980	train
21978	train
26702	train
4002	train
13178	train
1056	train
28498	train
5156	train
15713	train
19618	train
11269	train
3046	train
18354	train
4647	train
28283	train
24854	train
4179	train
25689	train
16429	train
22000	train
1363	train
11933	train
502	train
5144	train
19907	train
14611	train
24603	train
8545	train
27807	train
15873	train
9437	train
8240	train
5040	train
24578	train
23467	train
8171	train
7567	train
13281	train
2715	train
561	train
22039	train
27002	train
2992	train
19948	train
23590	train
9168	train
25698	train
23464	train
8390	train
21044	train
4487	train
22542	train
13843	train
14220	train
9269	train
8394	train
1634	train
8503	train
19747	train
19177	train
15514	train
10451	train
23011	train
22921	train
23688	train
27319	train
240	train
26524	train
22507	train
1755	train
22549	train
16255	train
1094	train
4651	train
26537	train
3863	train
8774	train
11154	train
25988	train
1579	train
25911	train
23108	train
17547	train
4891	train
7577	train
24141	train
810	train
12883	train
18474	train
18566	train
20212	train
9526	train
21724	train
11552	train
3855	train
4119	train
3992	train
23762	train
16208	train
8161	train
23023	train
3194	train
13408	train
5176	train
19917	train
26476	train
8448	train
25840	train
984	train
14827	train
2411	train
2376	train
14667	train
9356	train
26155	train
23276	train
7670	train
25177	train
22618	train
9797	train
17853	train
24729	train
290	train
8070	train
26005	train
378	train
1706	train
15805	train
194	train
7806	train
11298	train
24465	train
25025	train
24223	train
17453	train
14388	train
11191	train
11329	train
24971	train
10028	train
4296	train
11272	train
3125	train
25344	train
4521	train
23809	train
27259	train
19357	train
25274	train
14061	train
14309	train
8709	train
17602	train
27409	train
26804	train
3292	train
4604	train
9624	train
10984	train
14868	train
70	train
13947	train
8157	train
25361	train
55	train
20086	train
459	train
13432	train
27867	train
18003	train
16229	train
11491	train
23131	train
3447	train
1540	train
19931	train
3074	train
12871	train
1933	train
21511	train
4484	train
21128	train
24563	train
9572	train
5239	train
24582	train
19745	train
8559	train
8700	train
8971	train
9366	train
3296	train
26670	train
19431	train
10426	train
23795	train
19061	train
19773	train
1837	train
19571	train
10412	train
9385	train
19107	train
13349	train
17891	train
19372	train
27258	train
22969	train
27035	train
4269	train
332	train
4348	train
20088	train
1724	train
25218	train
25519	train
10385	train
18937	train
2694	train
19560	train
14626	train
385	train
19634	train
20130	train
3680	train
16398	train
25105	train
2202	train
27450	train
3428	train
20193	train
4125	train
24256	train
14178	train
26117	train
4178	train
7923	train
18636	train
10033	train
4185	train
25857	train
21058	train
28244	train
1973	train
21423	train
15194	train
25129	train
9990	train
24531	train
24470	train
774	train
2902	train
9709	train
13153	train
20214	train
14488	train
19337	train
25341	train
14674	train
1390	train
26696	train
22057	train
25207	train
27036	train
15896	train
14554	train
14506	train
23002	train
24806	train
18946	train
7673	train
13676	train
23909	train
28081	train
28094	train
8005	train
802	train
19494	train
25108	train
11395	train
11371	train
9808	train
14785	train
9431	train
14375	train
22055	train
19572	train
10969	train
1718	train
20155	train
27359	train
5099	train
1523	train
14173	train
26475	train
11292	train
10260	train
9244	train
2971	train
2232	train
220	train
17446	train
24426	train
9287	train
4223	train
26357	train
1518	train
3029	train
3222	train
1880	train
26346	train
19507	train
172	train
13780	train
1391	train
8418	train
8305	train
19716	train
13327	train
14187	train
24345	train
10934	train
25909	train
1347	train
11521	train
9847	train
8263	train
5005	train
11551	train
1192	train
15650	train
4553	train
28092	train
17648	train
27097	train
22579	train
3911	train
4596	train
16486	train
11757	train
10002	train
23334	train
2587	train
27444	train
11311	train
9270	train
27196	train
19359	train
28406	train
11578	train
28164	train
28411	train
27560	train
28040	train
8527	train
4786	train
4490	train
27571	train
7945	train
1585	train
15676	train
3477	train
8839	train
26618	train
11860	train
1138	train
20070	train
20058	train
9615	train
2887	train
28493	train
25883	train
11863	train
13711	train
13250	train
10530	train
15446	train
26188	train
17797	train
4371	train
23077	train
9699	train
14195	train
25578	train
21979	train
687	train
21587	train
529	train
2266	train
18516	train
24027	train
14810	train
14874	train
21930	train
18876	train
17961	train
27136	train
23179	train
11153	train
2588	train
7839	train
11978	train
18706	train
8736	train
24355	train
14656	train
18962	train
2224	train
16410	train
7741	train
17412	train
27757	train
27145	train
19322	train
16025	train
16042	train
13058	train
9688	train
1264	train
9705	train
18703	train
17612	train
15642	train
13426	train
12834	train
1543	train
11399	train
23527	train
13297	train
13194	train
26356	train
19162	train
18306	train
4733	train
27457	train
1660	train
23948	train
10040	train
334	train
521	train
17075	train
25198	train
8972	train
22182	train
14650	train
1630	train
16248	train
14797	train
24331	train
14573	train
25930	train
17432	train
4004	train
27561	train
21665	train
24679	train
1114	train
26210	train
4080	train
8932	train
3827	train
21035	train
27617	train
25253	train
16817	train
19261	train
23443	train
3786	train
14871	train
1584	train
4998	train
859	train
15736	train
16909	train
22317	train
7604	train
18492	train
1140	train
27065	train
15060	train
1050	train
13826	train
1142	train
14031	train
28463	train
15089	train
24802	train
666	train
17204	train
18268	train
17722	train
15144	train
28342	train
668	train
33	train
18916	train
26751	train
22384	train
19287	train
22260	train
1360	train
21054	train
8398	train
16101	train
23477	train
809	train
12845	train
28188	train
8650	train
3824	train
14715	train
9528	train
23435	train
21416	train
19841	train
4871	train
22324	train
8044	train
18711	train
1255	train
19705	train
5211	train
17996	train
24451	train
17803	train
8428	train
21909	train
17099	train
9503	train
4423	train
8888	train
22176	train
18483	train
8820	train
3525	train
8987	train
13447	train
11146	train
28473	train
24214	train
27421	train
15571	train
11723	train
305	train
23942	train
22259	train
14845	train
19389	train
14691	train
11690	train
8097	train
3161	train
10640	train
26095	train
25265	train
8626	train
3243	train
1376	train
4884	train
3649	train
26289	train
13682	train
9555	train
19254	train
19858	train
15165	train
7646	train
503	train
3717	train
955	train
22929	train
19206	train
9698	train
9953	train
1410	train
18359	train
957	train
17616	train
2764	train
1931	train
1437	train
13761	train
22248	train
13540	train
4529	train
9443	train
10924	train
13467	train
18064	train
21477	train
23020	train
16387	train
4520	train
14272	train
24756	train
23021	train
9896	train
25030	train
1525	train
14791	train
477	train
9625	train
21712	train
3979	train
19743	train
10477	train
24972	train
24840	train
11047	train
15585	train
26569	train
293	train
26879	train
1553	train
16649	train
8017	train
1220	train
16373	train
5173	train
16344	train
3340	train
858	train
12861	train
1435	train
7728	train
9338	train
23101	train
27766	train
17765	train
10386	train
26620	train
23027	train
26143	train
25003	train
11712	train
1736	train
18845	train
7983	train
13264	train
10291	train
10848	train
28366	train
26455	train
19578	train
19193	train
396	train
21403	train
13795	train
13953	train
13591	train
1710	train
3299	train
2532	train
11470	train
17608	train
11290	train
2589	train
3930	train
27378	train
22678	train
9859	train
17713	train
21961	train
19602	train
19355	train
24938	train
28136	train
9339	train
14869	train
19157	train
18022	train
15588	train
8131	train
21795	train
9480	train
24607	train
1305	train
19939	train
8815	train
27146	train
15682	train
24790	train
9950	train
7699	train
14709	train
18457	train
20230	train
18342	train
27105	train
15609	train
24318	train
1944	train
27101	train
20190	train
23421	train
20080	train
28287	train
1955	train
23262	train
17872	train
8786	train
17956	train
12769	train
14716	train
27989	train
23852	train
16182	train
423	train
8516	train
1679	train
14303	train
9071	train
24522	train
21525	train
17759	train
1375	train
14430	train
19191	train
11307	train
4572	train
20104	train
8547	train
20195	train
23947	train
1096	train
4120	train
26108	train
23588	train
1484	train
26091	train
21053	train
13105	train
4111	train
286	train
23221	train
8041	train
24279	train
9031	train
8455	train
3131	train
22946	train
24955	train
23992	train
7982	train
25793	train
9880	train
4545	train
19395	train
14978	train
27385	train
8301	train
3419	train
11645	train
21250	train
25463	train
26941	train
3880	train
7940	train
24634	train
9186	train
10106	train
19824	train
17509	train
15526	train
8302	train
25047	train
13022	train
13115	train
26616	train
23921	train
11761	train
1332	train
26100	train
27376	train
9672	train
11538	train
3334	train
21689	train
17890	train
18776	train
21774	train
9454	train
1621	train
11917	train
4452	train
18862	train
19235	train
4071	train
19280	train
26998	train
3025	train
28034	train
27638	train
23901	train
24093	train
17121	train
22159	train
11550	train
932	train
25415	train
623	train
13274	train
24182	train
27239	train
14552	train
18130	train
22084	train
13302	train
8538	train
21918	train
1870	train
18388	train
13004	train
21444	train
26008	train
16847	train
8333	train
11007	train
20226	train
127	train
14151	train
1120	train
19358	train
23539	train
25954	train
19855	train
26870	train
9966	train
23616	train
14832	train
318	train
26123	train
18515	train
26030	train
19512	train
4896	train
17324	train
23657	train
25617	train
24839	train
4907	train
4094	train
11569	train
16777	train
3013	train
19549	train
22399	train
27174	train
11162	train
17907	train
9695	train
242	train
7553	train
2026	train
9899	train
23060	train
24176	train
24496	train
21686	train
19699	train
26364	train
23658	train
9927	train
10177	train
22435	train
21522	train
11573	train
27616	train
18363	train
28123	train
27404	train
27861	train
2650	train
14956	train
8860	train
4773	train
3616	train
18532	train
16174	train
27336	train
4481	train
13431	train
15267	train
23465	train
17407	train
839	train
24564	train
14909	train
21756	train
10373	train
13333	train
25186	train
4113	train
22467	train
17438	train
1801	train
14270	train
22453	train
27877	train
14922	train
17059	train
23310	train
22735	train
10090	train
13458	train
19245	train
11775	train
16990	train
25484	train
9850	train
27939	train
26911	train
16107	train
133	train
1166	train
12898	train
21425	train
16542	train
4662	train
17788	train
8320	train
2729	train
26909	train
26680	train
16211	train
26065	train
23364	train
1109	train
13859	train
26673	train
23545	train
14690	train
1370	train
14681	train
14128	train
9716	train
16194	train
5100	train
19084	train
22327	train
3782	train
1949	train
9024	train
3301	train
15262	train
15072	train
7635	train
26693	train
24494	train
23818	train
9629	train
2719	train
18851	train
28416	train
10004	train
2197	train
18594	train
5050	train
16076	train
23383	train
27843	train
24946	train
19297	train
23238	train
26290	train
16997	train
361	train
372	train
9968	train
19612	train
16263	train
27411	train
11525	train
25068	train
4374	train
22512	train
11671	train
9844	train
8953	train
8623	train
23067	train
23008	train
307	train
3388	train
22899	train
25895	train
18486	train
2173	train
16473	train
27134	train
4402	train
24458	train
343	train
11758	train
8032	train
17245	train
17675	train
4013	train
11825	train
15364	train
19078	train
19338	train
13463	train
5158	train
4381	train
8053	train
11865	train
16170	train
16011	train
26761	train
11358	train
