[NbConvertApp] WARNING | Config option `kernel_spec_manager_class` not recognized by `NbConvertApp`.
[NbConvertApp] Converting notebook ../notebooks/Hyperparameter_Optimization_model_multi-class.ipynb to script
/projects/mlippincott@xsede.org/software/anaconda/envs/Interstellar/lib/python3.10/site-packages/nbformat/__init__.py:93: DuplicateCellId: Non-unique cell id '3e2c848c' detected. Corrected to 'cbf07482'.
  validate(nb)
/projects/mlippincott@xsede.org/software/anaconda/envs/Interstellar/lib/python3.10/site-packages/nbformat/__init__.py:93: DuplicateCellId: Non-unique cell id '3c53f7e4' detected. Corrected to '7aac7b2d'.
  validate(nb)
[NbConvertApp] Writing 14456 bytes to Hyperparameter_Optimization_model_multi-class.py
[NbConvertApp] Converting notebook ../notebooks/Hyperparameter_Optimization_model_regression.ipynb to script
/projects/mlippincott@xsede.org/software/anaconda/envs/Interstellar/lib/python3.10/site-packages/nbformat/__init__.py:93: DuplicateCellId: Non-unique cell id '3e2c848c' detected. Corrected to '06e1e2af'.
  validate(nb)
/projects/mlippincott@xsede.org/software/anaconda/envs/Interstellar/lib/python3.10/site-packages/nbformat/__init__.py:93: DuplicateCellId: Non-unique cell id '3c53f7e4' detected. Corrected to '3c8cf885'.
  validate(nb)
[NbConvertApp] Writing 12852 bytes to Hyperparameter_Optimization_model_regression.py
[NbConvertApp] Converting notebook ../notebooks/train_binary_model.ipynb to script
[NbConvertApp] Writing 19547 bytes to train_binary_model.py
cell_type: SHSY5Y control_name: LPS_Nigericin_1.000_1.0_DMSO_0.025 treatment_name: LPS_Nigericin_1.000_1.0_DMSO_0.025 shuffle: True
/gpfs/alpine1/scratch/mlippincott@xsede.org/Interstellar_Analysis/4.sc_Morphology_Neural_Network_MLP_Model/1.model_training/scripts/../../MLP_utils/utils.py:997: UserWarning: Ignoring `palette` because no `hue` variable has been assigned.
  sns.lineplot(x=df[x], y=df[y1], palette="blue", label="Train")
/gpfs/alpine1/scratch/mlippincott@xsede.org/Interstellar_Analysis/4.sc_Morphology_Neural_Network_MLP_Model/1.model_training/scripts/../../MLP_utils/utils.py:998: UserWarning: Ignoring `palette` because no `hue` variable has been assigned.
  sns.lineplot(x=df[x], y=df[y2], palette="orange", label="Validation")
CELL_TYPE: SHSY5Y
CONTROL_NAME: LPS_Nigericin_1.000_1.0_DMSO_0.025
TREATMENT_NAME: LPS_Nigericin_1.000_1.0_DMSO_0.025
SHUFFLE: True
True
Selected Catagories are:
['LPS_Nigericin_1.000_1.0_DMSO_0.025']
The dimensions of the data are: (16218, 1276)
Number of total missing values across all columns: 0
Data Subset Is Off
Wells held out for testing: ['K20']
Wells to use for training, validation, and testing ['K16' 'K17' 'K21']
Number of in features:  1251
Number of out features:  1
Regression
Adam
Epoch 0: Validation loss decreased (inf --> 0.001079).  Saving model ...
Epoch 1: Validation loss decreased (0.001079 --> 0.000868).  Saving model ...
Epoch 2: Validation loss decreased (0.000868 --> 0.000842).  Saving model ...
Epoch 3: Validation loss decreased (0.000842 --> 0.000634).  Saving model ...
Epoch 4: Validation loss decreased (0.000634 --> 0.000511).  Saving model ...
Epoch 5: Validation loss decreased (0.000511 --> 0.000427).  Saving model ...
Epoch 6: Validation loss decreased (0.000427 --> 0.000367).  Saving model ...
Epoch 7: Validation loss decreased (0.000367 --> 0.000321).  Saving model ...
Epoch 8: Validation loss decreased (0.000321 --> 0.000285).  Saving model ...
Epoch 9: Validation loss decreased (0.000285 --> 0.000257).  Saving model ...
Epoch 10: Validation loss decreased (0.000257 --> 0.000234).  Saving model ...
Epoch 11: Validation loss decreased (0.000234 --> 0.000214).  Saving model ...
Epoch 12: Validation loss decreased (0.000214 --> 0.000198).  Saving model ...
Epoch 13: Validation loss decreased (0.000198 --> 0.000184).  Saving model ...
Epoch 14: Validation loss decreased (0.000184 --> 0.000171).  Saving model ...
Epoch 15: Validation loss decreased (0.000171 --> 0.000161).  Saving model ...
Epoch 16: Validation loss decreased (0.000161 --> 0.000151).  Saving model ...
Epoch 17: Validation loss decreased (0.000151 --> 0.000143).  Saving model ...
Epoch 18: Validation loss decreased (0.000143 --> 0.000135).  Saving model ...
Epoch 19: Validation loss decreased (0.000135 --> 0.000128).  Saving model ...
Epoch 20: Validation loss decreased (0.000128 --> 0.000122).  Saving model ...
Epoch 21: Validation loss decreased (0.000122 --> 0.000117).  Saving model ...
Epoch 22: Validation loss decreased (0.000117 --> 0.000112).  Saving model ...
Epoch 23: Validation loss decreased (0.000112 --> 0.000107).  Saving model ...
Epoch 24: Validation loss decreased (0.000107 --> 0.000103).  Saving model ...
Epoch 25: Validation loss decreased (0.000103 --> 0.000099).  Saving model ...
Epoch 26: Validation loss decreased (0.000099 --> 0.000095).  Saving model ...
Epoch 27: Validation loss decreased (0.000095 --> 0.000092).  Saving model ...
Epoch 28: Validation loss decreased (0.000092 --> 0.000089).  Saving model ...
Epoch 29: Validation loss decreased (0.000089 --> 0.000086).  Saving model ...
Epoch 30: Validation loss decreased (0.000086 --> 0.000083).  Saving model ...
Epoch 31: Validation loss decreased (0.000083 --> 0.000080).  Saving model ...
Epoch 32: Validation loss decreased (0.000080 --> 0.000078).  Saving model ...
Epoch 33: Validation loss decreased (0.000078 --> 0.000076).  Saving model ...
Epoch 34: Validation loss decreased (0.000076 --> 0.000073).  Saving model ...
Epoch 35: Validation loss decreased (0.000073 --> 0.000071).  Saving model ...
