[NbConvertApp] WARNING | Config option `kernel_spec_manager_class` not recognized by `NbConvertApp`.
[NbConvertApp] Converting notebook ../notebooks/Hyperparameter_Optimization_model_multi-class.ipynb to script
/projects/mlippincott@xsede.org/software/anaconda/envs/Interstellar/lib/python3.10/site-packages/nbformat/__init__.py:93: DuplicateCellId: Non-unique cell id '3e2c848c' detected. Corrected to '4ef7b0bd'.
  validate(nb)
/projects/mlippincott@xsede.org/software/anaconda/envs/Interstellar/lib/python3.10/site-packages/nbformat/__init__.py:93: DuplicateCellId: Non-unique cell id '3c53f7e4' detected. Corrected to 'ee14d97c'.
  validate(nb)
[NbConvertApp] Writing 14456 bytes to Hyperparameter_Optimization_model_multi-class.py
[NbConvertApp] Converting notebook ../notebooks/Hyperparameter_Optimization_model_regression.ipynb to script
/projects/mlippincott@xsede.org/software/anaconda/envs/Interstellar/lib/python3.10/site-packages/nbformat/__init__.py:93: DuplicateCellId: Non-unique cell id '3e2c848c' detected. Corrected to 'cbde1cf1'.
  validate(nb)
/projects/mlippincott@xsede.org/software/anaconda/envs/Interstellar/lib/python3.10/site-packages/nbformat/__init__.py:93: DuplicateCellId: Non-unique cell id '3c53f7e4' detected. Corrected to 'eb065860'.
  validate(nb)
[NbConvertApp] Writing 12852 bytes to Hyperparameter_Optimization_model_regression.py
[NbConvertApp] Converting notebook ../notebooks/train_binary_model.ipynb to script
[NbConvertApp] Writing 19547 bytes to train_binary_model.py
cell_type: SHSY5Y control_name: LPS_10.000_DMSO_0.025 treatment_name: LPS_10.000_DMSO_0.025 shuffle: False
/gpfs/alpine1/scratch/mlippincott@xsede.org/Interstellar_Analysis/4.sc_Morphology_Neural_Network_MLP_Model/1.model_training/scripts/../../MLP_utils/utils.py:997: UserWarning: Ignoring `palette` because no `hue` variable has been assigned.
  sns.lineplot(x=df[x], y=df[y1], palette="blue", label="Train")
/gpfs/alpine1/scratch/mlippincott@xsede.org/Interstellar_Analysis/4.sc_Morphology_Neural_Network_MLP_Model/1.model_training/scripts/../../MLP_utils/utils.py:998: UserWarning: Ignoring `palette` because no `hue` variable has been assigned.
  sns.lineplot(x=df[x], y=df[y2], palette="orange", label="Validation")
CELL_TYPE: SHSY5Y
CONTROL_NAME: LPS_10.000_DMSO_0.025
TREATMENT_NAME: LPS_10.000_DMSO_0.025
SHUFFLE: False
False
Selected Catagories are:
['LPS_10.000_DMSO_0.025']
The dimensions of the data are: (16810, 1276)
Number of total missing values across all columns: 33620
Data Subset Is Off
Wells held out for testing: ['E20']
Wells to use for training, validation, and testing ['E16' 'E17' 'E21']
Number of in features:  1251
Number of out features:  1
Regression
Adam
Epoch 0: Validation loss decreased (inf --> 0.004100).  Saving model ...
Epoch 1: Validation loss decreased (0.004100 --> 0.002533).  Saving model ...
Epoch 2: Validation loss decreased (0.002533 --> 0.001828).  Saving model ...
Epoch 3: Validation loss decreased (0.001828 --> 0.001434).  Saving model ...
Epoch 4: Validation loss decreased (0.001434 --> 0.001175).  Saving model ...
Epoch 5: Validation loss decreased (0.001175 --> 0.000992).  Saving model ...
Epoch 6: Validation loss decreased (0.000992 --> 0.000857).  Saving model ...
Epoch 7: Validation loss decreased (0.000857 --> 0.000755).  Saving model ...
Epoch 8: Validation loss decreased (0.000755 --> 0.000675).  Saving model ...
Epoch 9: Validation loss decreased (0.000675 --> 0.000610).  Saving model ...
Epoch 10: Validation loss decreased (0.000610 --> 0.000557).  Saving model ...
Epoch 11: Validation loss decreased (0.000557 --> 0.000512).  Saving model ...
Epoch 12: Validation loss decreased (0.000512 --> 0.000474).  Saving model ...
Epoch 13: Validation loss decreased (0.000474 --> 0.000441).  Saving model ...
Epoch 14: Validation loss decreased (0.000441 --> 0.000412).  Saving model ...
Epoch 15: Validation loss decreased (0.000412 --> 0.000387).  Saving model ...
Epoch 16: Validation loss decreased (0.000387 --> 0.000365).  Saving model ...
Epoch 17: Validation loss decreased (0.000365 --> 0.000346).  Saving model ...
Epoch 18: Validation loss decreased (0.000346 --> 0.000328).  Saving model ...
Epoch 19: Validation loss decreased (0.000328 --> 0.000312).  Saving model ...
Epoch 20: Validation loss decreased (0.000312 --> 0.000297).  Saving model ...
Epoch 21: Validation loss decreased (0.000297 --> 0.000284).  Saving model ...
Epoch 22: Validation loss decreased (0.000284 --> 0.000272).  Saving model ...
Epoch 23: Validation loss decreased (0.000272 --> 0.000261).  Saving model ...
Epoch 24: Validation loss decreased (0.000261 --> 0.000251).  Saving model ...
Epoch 25: Validation loss decreased (0.000251 --> 0.000242).  Saving model ...
Epoch 26: Validation loss decreased (0.000242 --> 0.000233).  Saving model ...
Epoch 27: Validation loss decreased (0.000233 --> 0.000225).  Saving model ...
Epoch 28: Validation loss decreased (0.000225 --> 0.000217).  Saving model ...
Epoch 29: Validation loss decreased (0.000217 --> 0.000210).  Saving model ...
Epoch 30: Validation loss decreased (0.000210 --> 0.000204).  Saving model ...
Epoch 31: Validation loss decreased (0.000204 --> 0.000198).  Saving model ...
Epoch 32: Validation loss decreased (0.000198 --> 0.000192).  Saving model ...
Epoch 33: Validation loss decreased (0.000192 --> 0.000186).  Saving model ...
Epoch 34: Validation loss decreased (0.000186 --> 0.000181).  Saving model ...
