[NbConvertApp] WARNING | Config option `kernel_spec_manager_class` not recognized by `NbConvertApp`.
[NbConvertApp] Converting notebook ../notebooks/Hyperparameter_Optimization_model_multi-class.ipynb to script
/projects/mlippincott@xsede.org/software/anaconda/envs/Interstellar/lib/python3.10/site-packages/nbformat/__init__.py:93: DuplicateCellId: Non-unique cell id '3e2c848c' detected. Corrected to 'aedee1f8'.
  validate(nb)
/projects/mlippincott@xsede.org/software/anaconda/envs/Interstellar/lib/python3.10/site-packages/nbformat/__init__.py:93: DuplicateCellId: Non-unique cell id '3c53f7e4' detected. Corrected to '997fe933'.
  validate(nb)
[NbConvertApp] Writing 14456 bytes to Hyperparameter_Optimization_model_multi-class.py
[NbConvertApp] Converting notebook ../notebooks/Hyperparameter_Optimization_model_regression.ipynb to script
/projects/mlippincott@xsede.org/software/anaconda/envs/Interstellar/lib/python3.10/site-packages/nbformat/__init__.py:93: DuplicateCellId: Non-unique cell id '3e2c848c' detected. Corrected to 'd9ea420b'.
  validate(nb)
/projects/mlippincott@xsede.org/software/anaconda/envs/Interstellar/lib/python3.10/site-packages/nbformat/__init__.py:93: DuplicateCellId: Non-unique cell id '3c53f7e4' detected. Corrected to '46d05df0'.
  validate(nb)
[NbConvertApp] Writing 12852 bytes to Hyperparameter_Optimization_model_regression.py
[NbConvertApp] Converting notebook ../notebooks/train_binary_model.ipynb to script
[NbConvertApp] Writing 19547 bytes to train_binary_model.py
cell_type: SHSY5Y control_name: Thapsigargin_10.000_DMSO_0.025 treatment_name: Thapsigargin_10.000_DMSO_0.025 shuffle: True
/gpfs/alpine1/scratch/mlippincott@xsede.org/Interstellar_Analysis/4.sc_Morphology_Neural_Network_MLP_Model/1.model_training/scripts/../../MLP_utils/utils.py:997: UserWarning: Ignoring `palette` because no `hue` variable has been assigned.
  sns.lineplot(x=df[x], y=df[y1], palette="blue", label="Train")
/gpfs/alpine1/scratch/mlippincott@xsede.org/Interstellar_Analysis/4.sc_Morphology_Neural_Network_MLP_Model/1.model_training/scripts/../../MLP_utils/utils.py:998: UserWarning: Ignoring `palette` because no `hue` variable has been assigned.
  sns.lineplot(x=df[x], y=df[y2], palette="orange", label="Validation")
CELL_TYPE: SHSY5Y
CONTROL_NAME: Thapsigargin_10.000_DMSO_0.025
TREATMENT_NAME: Thapsigargin_10.000_DMSO_0.025
SHUFFLE: True
True
Selected Catagories are:
['Thapsigargin_10.000_DMSO_0.025']
The dimensions of the data are: (13212, 1276)
Number of total missing values across all columns: 26424
Data Subset Is Off
Wells held out for testing: ['L15']
Wells to use for training, validation, and testing ['E14' 'E15' 'L14']
Number of in features:  1251
Number of out features:  1
Regression
SGD
Epoch 0: Validation loss decreased (inf --> 0.002607).  Saving model ...
Epoch 1: Validation loss decreased (0.002607 --> 0.001966).  Saving model ...
Epoch 2: Validation loss decreased (0.001966 --> 0.001613).  Saving model ...
Epoch 3: Validation loss decreased (0.001613 --> 0.001376).  Saving model ...
Epoch 4: Validation loss decreased (0.001376 --> 0.001201).  Saving model ...
Epoch 5: Validation loss decreased (0.001201 --> 0.001069).  Saving model ...
Epoch 6: Validation loss decreased (0.001069 --> 0.000962).  Saving model ...
Epoch 7: Validation loss decreased (0.000962 --> 0.000875).  Saving model ...
Epoch 8: Validation loss decreased (0.000875 --> 0.000805).  Saving model ...
Epoch 9: Validation loss decreased (0.000805 --> 0.000744).  Saving model ...
Epoch 10: Validation loss decreased (0.000744 --> 0.000692).  Saving model ...
Epoch 11: Validation loss decreased (0.000692 --> 0.000647).  Saving model ...
Epoch 12: Validation loss decreased (0.000647 --> 0.000607).  Saving model ...
Epoch 13: Validation loss decreased (0.000607 --> 0.000573).  Saving model ...
Epoch 14: Validation loss decreased (0.000573 --> 0.000542).  Saving model ...
Epoch 15: Validation loss decreased (0.000542 --> 0.000514).  Saving model ...
Epoch 16: Validation loss decreased (0.000514 --> 0.000489).  Saving model ...
Epoch 17: Validation loss decreased (0.000489 --> 0.000466).  Saving model ...
Epoch 18: Validation loss decreased (0.000466 --> 0.000445).  Saving model ...
Epoch 19: Validation loss decreased (0.000445 --> 0.000426).  Saving model ...
Epoch 20: Validation loss decreased (0.000426 --> 0.000409).  Saving model ...
Epoch 21: Validation loss decreased (0.000409 --> 0.000393).  Saving model ...
Epoch 22: Validation loss decreased (0.000393 --> 0.000378).  Saving model ...
Epoch 23: Validation loss decreased (0.000378 --> 0.000364).  Saving model ...
Epoch 24: Validation loss decreased (0.000364 --> 0.000351).  Saving model ...
Epoch 25: Validation loss decreased (0.000351 --> 0.000339).  Saving model ...
Epoch 26: Validation loss decreased (0.000339 --> 0.000328).  Saving model ...
Epoch 27: Validation loss decreased (0.000328 --> 0.000317).  Saving model ...
Epoch 28: Validation loss decreased (0.000317 --> 0.000308).  Saving model ...
Epoch 29: Validation loss decreased (0.000308 --> 0.000298).  Saving model ...
Epoch 30: Validation loss decreased (0.000298 --> 0.000290).  Saving model ...
Epoch 31: Validation loss decreased (0.000290 --> 0.000281).  Saving model ...
Epoch 32: Validation loss decreased (0.000281 --> 0.000273).  Saving model ...
Epoch 33: Validation loss decreased (0.000273 --> 0.000266).  Saving model ...
Epoch 34: Validation loss decreased (0.000266 --> 0.000259).  Saving model ...
