[NbConvertApp] WARNING | Config option `kernel_spec_manager_class` not recognized by `NbConvertApp`.
[NbConvertApp] Converting notebook ../notebooks/Hyperparameter_Optimization_model_multi-class.ipynb to script
/projects/mlippincott@xsede.org/software/anaconda/envs/Interstellar/lib/python3.10/site-packages/nbformat/__init__.py:93: DuplicateCellId: Non-unique cell id '3e2c848c' detected. Corrected to 'e9d803b6'.
  validate(nb)
/projects/mlippincott@xsede.org/software/anaconda/envs/Interstellar/lib/python3.10/site-packages/nbformat/__init__.py:93: DuplicateCellId: Non-unique cell id '3c53f7e4' detected. Corrected to '7d349a84'.
  validate(nb)
[NbConvertApp] Writing 14456 bytes to Hyperparameter_Optimization_model_multi-class.py
[NbConvertApp] Converting notebook ../notebooks/Hyperparameter_Optimization_model_regression.ipynb to script
/projects/mlippincott@xsede.org/software/anaconda/envs/Interstellar/lib/python3.10/site-packages/nbformat/__init__.py:93: DuplicateCellId: Non-unique cell id '3e2c848c' detected. Corrected to '13414a33'.
  validate(nb)
/projects/mlippincott@xsede.org/software/anaconda/envs/Interstellar/lib/python3.10/site-packages/nbformat/__init__.py:93: DuplicateCellId: Non-unique cell id '3c53f7e4' detected. Corrected to '385d5535'.
  validate(nb)
[NbConvertApp] Writing 12852 bytes to Hyperparameter_Optimization_model_regression.py
[NbConvertApp] Converting notebook ../notebooks/train_binary_model.ipynb to script
[NbConvertApp] Writing 19547 bytes to train_binary_model.py
cell_type: SHSY5Y control_name: H2O2_100.000_DMSO_0.025 treatment_name: H2O2_100.000_DMSO_0.025 shuffle: False
/gpfs/alpine1/scratch/mlippincott@xsede.org/Interstellar_Analysis/4.sc_Morphology_Neural_Network_MLP_Model/1.model_training/scripts/../../MLP_utils/utils.py:997: UserWarning: Ignoring `palette` because no `hue` variable has been assigned.
  sns.lineplot(x=df[x], y=df[y1], palette="blue", label="Train")
/gpfs/alpine1/scratch/mlippincott@xsede.org/Interstellar_Analysis/4.sc_Morphology_Neural_Network_MLP_Model/1.model_training/scripts/../../MLP_utils/utils.py:998: UserWarning: Ignoring `palette` because no `hue` variable has been assigned.
  sns.lineplot(x=df[x], y=df[y2], palette="orange", label="Validation")
CELL_TYPE: SHSY5Y
CONTROL_NAME: H2O2_100.000_DMSO_0.025
TREATMENT_NAME: H2O2_100.000_DMSO_0.025
SHUFFLE: False
False
Selected Catagories are:
['H2O2_100.000_DMSO_0.025']
The dimensions of the data are: (26900, 1276)
Number of total missing values across all columns: 53800
Data Subset Is Off
Wells held out for testing: ['H22']
Wells to use for training, validation, and testing ['H18' 'H19' 'H23' 'I18' 'I19' 'I22' 'I23']
Number of in features:  1251
Number of out features:  1
Regression
Adam
Epoch 0: Validation loss decreased (inf --> 0.006911).  Saving model ...
Epoch 1: Validation loss decreased (0.006911 --> 0.004013).  Saving model ...
Epoch 2: Validation loss decreased (0.004013 --> 0.002849).  Saving model ...
Epoch 3: Validation loss decreased (0.002849 --> 0.002141).  Saving model ...
Epoch 4: Validation loss decreased (0.002141 --> 0.001722).  Saving model ...
Epoch 5: Validation loss decreased (0.001722 --> 0.001437).  Saving model ...
Epoch 6: Validation loss decreased (0.001437 --> 0.001234).  Saving model ...
Epoch 7: Validation loss decreased (0.001234 --> 0.001081).  Saving model ...
Epoch 8: Validation loss decreased (0.001081 --> 0.000961).  Saving model ...
Epoch 9: Validation loss decreased (0.000961 --> 0.000865).  Saving model ...
Epoch 10: Validation loss decreased (0.000865 --> 0.000787).  Saving model ...
Epoch 11: Validation loss decreased (0.000787 --> 0.000722).  Saving model ...
Epoch 12: Validation loss decreased (0.000722 --> 0.000666).  Saving model ...
Epoch 13: Validation loss decreased (0.000666 --> 0.000619).  Saving model ...
Epoch 14: Validation loss decreased (0.000619 --> 0.000578).  Saving model ...
Epoch 15: Validation loss decreased (0.000578 --> 0.000542).  Saving model ...
Epoch 16: Validation loss decreased (0.000542 --> 0.000510).  Saving model ...
Epoch 17: Validation loss decreased (0.000510 --> 0.000482).  Saving model ...
Epoch 18: Validation loss decreased (0.000482 --> 0.000456).  Saving model ...
Epoch 19: Validation loss decreased (0.000456 --> 0.000433).  Saving model ...
Epoch 20: Validation loss decreased (0.000433 --> 0.000413).  Saving model ...
Epoch 21: Validation loss decreased (0.000413 --> 0.000394).  Saving model ...
Epoch 22: Validation loss decreased (0.000394 --> 0.000377).  Saving model ...
Epoch 23: Validation loss decreased (0.000377 --> 0.000361).  Saving model ...
Epoch 24: Validation loss decreased (0.000361 --> 0.000347).  Saving model ...
Epoch 25: Validation loss decreased (0.000347 --> 0.000333).  Saving model ...
Epoch 26: Validation loss decreased (0.000333 --> 0.000321).  Saving model ...
Epoch 27: Validation loss decreased (0.000321 --> 0.000310).  Saving model ...
Epoch 28: Validation loss decreased (0.000310 --> 0.000299).  Saving model ...
Epoch 29: Validation loss decreased (0.000299 --> 0.000289).  Saving model ...
Epoch 30: Validation loss decreased (0.000289 --> 0.000280).  Saving model ...
Epoch 31: Validation loss decreased (0.000280 --> 0.000271).  Saving model ...
Epoch 32: Validation loss decreased (0.000271 --> 0.000263).  Saving model ...
Epoch 33: Validation loss decreased (0.000263 --> 0.000255).  Saving model ...
Epoch 34: Validation loss decreased (0.000255 --> 0.000248).  Saving model ...
