	labeled_data_index	label
32158	27315	train
43394	27316	test
9388	27317	train
9690	27318	train
34231	27319	train
9894	27320	train
32423	27321	train
34366	27322	train
28139	27323	train
50934	27324	test
42594	27325	test
11069	27326	train
4678	27327	train
10625	27328	train
42848	27329	test
47812	27330	test
38425	27331	train
28492	27332	train
49099	27333	test
30144	27334	train
39253	27335	test
44088	27336	test
4766	27337	train
18917	27338	train
33570	27339	train
50003	27340	test
19530	27341	train
45707	27342	test
11377	27343	train
23062	27344	train
28918	27345	train
3901	27346	train
3131	27347	train
12604	27348	train
29030	27349	train
23759	27350	train
38842	27351	train
5686	27352	train
18043	27353	train
17691	27354	train
36450	27355	train
47988	27356	test
42048	27357	test
25604	27358	train
4620	27359	train
21324	27360	train
24037	27361	train
42972	27362	test
52067	27363	test
6747	27364	train
36889	27365	train
50919	27366	test
50324	27367	test
7502	27368	train
46305	27369	test
18855	27370	train
8771	27371	train
15201	27372	train
19123	27373	train
46337	27374	test
24102	27375	train
44722	27376	test
49199	27377	test
7097	27378	train
43843	27379	test
16676	27380	train
36084	27381	train
13786	27382	train
45605	27383	test
10473	27384	train
24307	27385	train
49250	27386	test
22113	27387	train
7389	27388	train
15319	27389	train
5510	27390	train
46962	27391	test
39014	27392	train
42678	27393	test
16584	27394	train
41969	27395	test
25158	27396	train
34945	27397	train
17144	27398	train
37881	27399	train
37506	27400	train
959	27401	train
41577	27402	test
23185	27403	train
9023	27404	train
8104	27405	train
36938	27406	train
33441	27407	train
16541	27408	train
51897	27409	test
32107	27410	train
30174	27411	train
47422	27412	test
28746	27413	train
16400	27414	train
43858	27415	test
50052	27416	test
5330	27417	train
25224	27418	train
20907	27419	train
7514	27420	train
2736	27421	train
18185	27422	train
12132	27423	train
19359	27424	train
26933	27425	train
815	27426	train
21348	27427	train
23731	27428	train
44837	27429	test
7359	27430	train
31122	27431	train
30221	27432	train
12165	27433	train
1049	27434	train
47912	27435	test
29011	27436	train
40549	27437	test
49153	27438	test
41156	27439	test
14276	27440	train
51236	27441	test
12581	27442	train
34754	27443	train
27488	27444	train
28515	27445	train
37191	27446	train
31502	27447	train
15721	27448	train
4588	27449	train
17537	27450	train
8132	27451	train
7570	27452	train
22974	27453	train
41478	27454	test
45425	27455	test
48420	27456	test
3794	27457	train
51727	27458	test
24289	27459	train
12834	27460	train
24465	27461	train
23707	27462	train
51181	27463	test
4465	27464	train
11682	27465	train
49709	27466	test
5995	27467	train
3907	27468	train
51007	27469	test
22362	27470	train
9404	27471	train
47528	27472	test
50350	27473	test
7122	27474	train
4895	27475	train
27142	27476	train
20863	27477	train
27661	27478	train
10640	27479	train
26702	27480	train
41038	27481	test
12042	27482	train
18933	27483	train
50000	27484	test
28541	27485	train
2269	27486	train
21825	27487	train
49872	27488	test
49940	27489	test
16990	27490	train
43946	27491	test
20810	27492	train
29257	27493	train
23920	27494	train
40019	27495	test
3313	27496	train
9625	27497	train
13064	27498	train
48871	27499	test
12245	27500	train
51307	27501	test
1542	27502	train
15577	27503	train
39210	27504	test
39211	27505	test
7360	27506	train
28315	27507	train
22266	27508	train
43785	27509	test
1535	27510	train
29408	27511	train
26856	27512	train
43021	27513	test
13647	27514	train
8268	27515	train
29060	27516	train
7849	27517	train
11855	27518	train
17174	27519	train
7415	27520	train
6292	27521	train
883	27522	train
49628	27523	test
1120	27524	train
