	labeled_data_index	label
25426	27315	train
40600	27316	test
7027	27317	train
26063	27318	train
29418	27319	train
2082	27320	train
30878	27321	train
28421	27322	train
35486	27323	train
48794	27324	test
46538	27325	test
2018	27326	train
15220	27327	train
36010	27328	train
36801	27329	test
40873	27330	test
34109	27331	train
34993	27332	train
47300	27333	test
23807	27334	train
42142	27335	test
48020	27336	test
12499	27337	train
13566	27338	train
27124	27339	train
41603	27340	test
14471	27341	train
48357	27342	test
2212	27343	train
18207	27344	train
22837	27345	train
16136	27346	train
234	27347	train
7574	27348	train
29282	27349	train
18749	27350	train
34461	27351	train
27241	27352	train
12340	27353	train
12131	27354	train
31951	27355	train
46872	27356	test
40400	27357	test
20204	27358	train
6381	27359	train
16822	27360	train
18961	27361	train
45796	27362	test
47131	27363	test
7900	27364	train
32768	27365	train
48565	27366	test
47982	27367	test
10571	27368	train
37392	27369	test
12240	27370	train
4586	27371	train
9449	27372	train
9259	27373	train
46977	27374	test
4093	27375	train
42950	27376	test
41747	27377	test
9133	27378	train
48780	27379	test
27646	27380	train
31311	27381	train
1607	27382	train
41743	27383	test
5223	27384	train
8795	27385	train
40955	27386	test
17447	27387	train
17316	27388	train
6260	27389	train
19112	27390	train
46706	27391	test
36551	27392	train
43075	27393	test
2820	27394	train
46158	27395	test
19837	27396	train
29388	27397	train
13640	27398	train
33638	27399	train
34715	27400	train
18208	27401	train
43981	27402	test
28649	27403	train
14437	27404	train
19257	27405	train
32811	27406	train
26932	27407	train
31747	27408	train
43490	27409	test
25386	27410	train
26119	27411	train
37969	27412	test
26917	27413	train
11473	27414	train
48660	27415	test
41648	27416	test
2349	27417	train
2216	27418	train
8348	27419	train
12992	27420	train
7563	27421	train
12541	27422	train
27225	27423	train
14227	27424	train
21257	27425	train
11438	27426	train
35537	27427	train
6226	27428	train
36977	27429	test
45	27430	train
36556	27431	train
23867	27432	train
14668	27433	train
27609	27434	train
47115	27435	test
22904	27436	train
48181	27437	test
40657	27438	test
38263	27439	test
11337	27440	train
47756	27441	test
8930	27442	train
29058	27443	train
21704	27444	train
22526	27445	train
33035	27446	train
24909	27447	train
13657	27448	train
32088	27449	train
14424	27450	train
20710	27451	train
1242	27452	train
34716	27453	train
37981	27454	test
47710	27455	test
42742	27456	test
6516	27457	train
43305	27458	test
6109	27459	train
3527	27460	train
19304	27461	train
18705	27462	train
47509	27463	test
2155	27464	train
4315	27465	train
37825	27466	test
16831	27467	train
14787	27468	train
42568	27469	test
17648	27470	train
6481	27471	train
40537	27472	test
40749	27473	test
13836	27474	train
11712	27475	train
7737	27476	train
17206	27477	train
21827	27478	train
6119	27479	train
3711	27480	train
45679	27481	test
27180	27482	train
31798	27483	train
44996	27484	test
22544	27485	train
20393	27486	train
17220	27487	train
38848	27488	test
37882	27489	test
10947	27490	train
46270	27491	test
16415	27492	train
23095	27493	train
14478	27494	train
45411	27495	test
663	27496	train
3915	27497	train
8121	27498	train
42024	27499	test
15535	27500	train
42876	27501	test
5096	27502	train
9685	27503	train
41527	27504	test
46964	27505	test
2654	27506	train
22360	27507	train
17575	27508	train
46048	27509	test
28876	27510	train
23215	27511	train
21200	27512	train
48420	27513	test
8504	27514	train
5613	27515	train
22936	27516	train
9411	27517	train
13983	27518	train
11179	27519	train
8413	27520	train
3964	27521	train
2165	27522	train
41169	27523	test
12387	27524	train
46368	27525	test
26248	27526	train
2520	27527	train
32647	27528	train
33213	27529	train
36638	27530	train
42515	27531	test
15926	27532	train
15122	27533	train
30023	27534	train
22087	27535	train
17068	27536	train
33100	27537	train
27442	27538	train
4653	27539	train
30912	27540	train
39723	27541	test
5226	27542	train
22462	27543	train
27966	27544	train
12419	27545	train
5942	27546	train
18403	27547	train
28698	27548	train
2193	27549	train
20595	27550	train
2588	27551	train
13949	27552	train
29865	27553	train
7371	27554	train
16072	27555	train
25899	27556	train
4370	27557	train
43501	27558	test
4509	27559	train
23617	27560	train
36002	27561	train
44120	27562	test
23995	27563	train
1137	27564	train
19309	27565	train
44305	27566	test
25556	27567	train
35717	27568	train
21280	27569	train
34129	27570	train
36231	27571	train
41539	27572	test
31300	27573	train
1524	27574	train
838	27575	train
38795	27576	test
433	27577	train
7262	27578	train
42973	27579	test
12580	27580	train
6921	27581	train
13137	27582	train
16489	27583	train
46245	27584	test
46269	27585	test
10310	27586	train
12819	27587	train
23999	27588	train
12191	27589	train
32218	27590	train
22453	27591	train
37044	27592	test
7897	27593	train
48437	27594	test
35911	27595	train
39318	27596	test
23659	27597	train
28383	27598	train
37583	27599	test
36328	27600	train
1841	27601	train
35714	27602	train
35571	27603	train
34516	27604	train
525	27605	train
23241	27606	train
21435	27607	train
24525	27608	train
17543	27609	train
48223	27610	test
28147	27611	train
8524	27612	train
12616	27613	train
9499	27614	train
17054	27615	train
20202	27616	train
3905	27617	train
22512	27618	train
15059	27619	train
44942	27620	test
7560	27621	train
8310	27622	train
29371	27623	train
32358	27624	train
24327	27625	train
6614	27626	train
6867	27627	train
24828	27628	train
18811	27629	train
41668	27630	test
10625	27631	train
1368	27632	train
970	27633	train
5086	27634	train
12550	27635	train
3637	27636	train
3192	27637	train
41241	27638	test
33048	27639	train
29959	27640	train
16778	27641	train
24574	27642	train
8209	27643	train
43612	27644	test
31155	27645	train
7582	27646	train
26100	27647	train
27620	27648	train
45172	27649	test
28455	27650	train
25027	27651	train
1276	27652	train
2445	27653	train
32983	27654	train
4278	27655	train
44710	27656	test
18498	27657	train
472	27658	train
17976	27659	train
8451	27660	train
8601	27661	train
47614	27662	test
28956	27663	train
43482	27664	test
34395	27665	train
612	27666	train
28230	27667	train
31159	27668	train
8887	27669	train
39326	27670	test
36465	27671	train
7628	27672	train
8693	27673	train
22202	27674	train
13820	27675	train
32072	27676	train
20938	27677	train
20948	27678	train
519	27679	train
22413	27680	train
13309	27681	train
31948	27682	train
27868	27683	train
1165	27684	train
1603	27685	train
24276	27686	train
21313	27687	train
36859	27688	test
44961	27689	test
43271	27690	test
32345	27691	train
34963	27692	train
44214	27693	test
47124	27694	test
48475	27695	test
24130	27696	train
26246	27697	train
28676	27698	train
10503	27699	train
30881	27700	train
216	27701	train
25238	27702	train
25616	27703	train
2407	27704	train
2036	27705	train
28869	27706	train
26519	27707	train
32270	27708	train
24568	27709	train
18116	27710	train
14417	27711	train
14043	27712	train
12140	27713	train
3672	27714	train
11872	27715	train
5757	27716	train
7562	27717	train
442	27718	train
4861	27719	train
19891	27720	train
7952	27721	train
9606	27722	train
36130	27723	train
30332	27724	train
27371	27725	train
16360	27726	train
8798	27727	train
30214	27728	train
37859	27729	test
3825	27730	train
45773	27731	test
18866	27732	train
43267	27733	test
32043	27734	train
9943	27735	train
4198	27736	train
22552	27737	train
28725	27738	train
23093	27739	train
30340	27740	train
37554	27741	test
1803	27742	train
6385	27743	train
8189	27744	train
14090	27745	train
43275	27746	test
30400	27747	train
25567	27748	train
40837	27749	test
18692	27750	train
14509	27751	train
10079	27752	train
9729	27753	train
45538	27754	test
21730	27755	train
8318	27756	train
4536	27757	train
16981	27758	train
22070	27759	train
18715	27760	train
47102	27761	test
20504	27762	train
22184	27763	train
43469	27764	test
8015	27765	train
22914	27766	train
42414	27767	test
45019	27768	test
34465	27769	train
14248	27770	train
28191	27771	train
1978	27772	train
13606	27773	train
22755	27774	train
15777	27775	train
7935	27776	train
13959	27777	train
27305	27778	train
38480	27779	test
36453	27780	train
32178	27781	train
39483	27782	test
11180	27783	train
43588	27784	test
9990	27785	train
23062	27786	train
37209	27787	test
31541	27788	train
42332	27789	test
43127	27790	test
8367	27791	train
18746	27792	train
17277	27793	train
24669	27794	train
40896	27795	test
21000	27796	train
27174	27797	train
17161	27798	train
34685	27799	train
31614	27800	train
15170	27801	train
34709	27802	train
39500	27803	test
47339	27804	test
29402	27805	train
30128	27806	train
48474	27807	test
20702	27808	train
20386	27809	train
5718	27810	train
1258	27811	train
44346	27812	test
19516	27813	train
