plate_name,plate_barcode,position,cell_type,incubation inducer,inhibitor,inhibitor_concentration_value,inhibitor_concentration_unit,inhibitor_concentration,inducer1,inducer1_concentration_value,inducer1_concentration_unit,inducer1_concentration,inducer2,inducer2_concentration_value,inducer2_concentration_unit,inducer2_concentration,plate_position
70117_20230210MM1_P1,430420,B06,PBMC,6 h,DMSO,0.025,%,0.03%,DMSO,0.1,%,0.10%,,,,,430420_B06
70117_20230210MM1_P1,430420,C06,PBMC,6 h,DMSO,0.025,%,0.03%,DMSO,0.1,%,0.10%,,,,,430420_C06
70117_20230210MM1_P1,430420,I06,PBMC,6 h,DMSO,0.025,%,0.03%,DMSO,0.1,%,0.10%,,,,,430420_I06
70117_20230210MM1_P1,430420,J06,PBMC,6 h,DMSO,0.025,%,0.03%,DMSO,0.1,%,0.10%,,,,,430420_J06
70117_20230210MM1_P1,430420,B07,PBMC,6 h,DMSO,0.025,%,0.03%,DMSO,0.1,%,0.10%,,,,,430420_B07
70117_20230210MM1_P1,430420,C07,PBMC,6 h,DMSO,0.025,%,0.03%,DMSO,0.1,%,0.10%,,,,,430420_C07
70117_20230210MM1_P1,430420,I07,PBMC,6 h,DMSO,0.025,%,0.03%,DMSO,0.1,%,0.10%,,,,,430420_I07
70117_20230210MM1_P1,430420,J07,PBMC,6 h,DMSO,0.025,%,0.03%,DMSO,0.1,%,0.10%,,,,,430420_J07
70117_20230210MM1_P1,430420,C012,PBMC,6 h,DMSO,1.0,%,1%,DMSO,0.1,%,0.10%,,,,,430420_C012
70117_20230210MM1_P1,430420,D012,PBMC,6 h,Z-VAD-FMK,100.0,µM,100 µM,DMSO,0.1,%,0.10%,,,,,430420_D012
70117_20230210MM1_P1,430420,E012,PBMC,6 h,Z-VAD-FMK,30.0,µM,30 µM,DMSO,0.1,%,0.10%,,,,,430420_E012
70117_20230210MM1_P1,430420,F012,PBMC,6 h,Z-VAD-FMK,100.0,µM,100 µM,DMSO,0.1,%,0.10%,,,,,430420_F012
70117_20230210MM1_P1,430420,G012,PBMC,6 h,Z-VAD-FMK,30.0,µM,30 µM,DMSO,0.1,%,0.10%,,,,,430420_G012
70117_20230210MM1_P1,430420,H012,PBMC,6 h,DMSO,1.0,%,1%,DMSO,0.1,%,0.10%,,,,,430420_H012
70117_20230210MM1_P1,430420,J012,PBMC,6 h,DMSO,1.0,%,1%,DMSO,0.1,%,0.10%,,,,,430420_J012
70117_20230210MM1_P1,430420,K012,PBMC,6 h,Z-VAD-FMK,100.0,µM,100 µM,DMSO,0.1,%,0.10%,,,,,430420_K012
70117_20230210MM1_P1,430420,L012,PBMC,6 h,Z-VAD-FMK,30.0,µM,30 µM,DMSO,0.1,%,0.10%,,,,,430420_L012
70117_20230210MM1_P1,430420,M012,PBMC,6 h,Z-VAD-FMK,100.0,µM,100 µM,DMSO,0.1,%,0.10%,,,,,430420_M012
70117_20230210MM1_P1,430420,N012,PBMC,6 h,Z-VAD-FMK,30.0,µM,30 µM,DMSO,0.1,%,0.10%,,,,,430420_N012
70117_20230210MM1_P1,430420,O012,PBMC,6 h,DMSO,1.0,%,1%,DMSO,0.1,%,0.10%,,,,,430420_O012
70117_20230210MM1_P1,430420,C013,SH-SY5Y,6 h,DMSO,1.0,%,1%,DMSO,0.1,%,0.10%,,,,,430420_C013
70117_20230210MM1_P1,430420,D013,SH-SY5Y,6 h,Z-VAD-FMK,100.0,µM,100 µM,DMSO,0.1,%,0.10%,,,,,430420_D013
70117_20230210MM1_P1,430420,E013,SH-SY5Y,6 h,Z-VAD-FMK,30.0,µM,30 µM,DMSO,0.1,%,0.10%,,,,,430420_E013
70117_20230210MM1_P1,430420,F013,SH-SY5Y,6 h,Z-VAD-FMK,100.0,µM,100 µM,DMSO,0.1,%,0.10%,,,,,430420_F013
