plate_name,plate_barcode,position,cell_type,incubation inducer,inhibitor,inhibitor_concentration_value,inhibitor_concentration_unit,inhibitor_concentration,inducer1,inducer1_concentration_value,inducer1_concentration_unit,inducer1_concentration,inducer2,inducer2_concentration_value,inducer2_concentration_unit,inducer2_concentration
70117_20230210MM1_P1,430420,B6,PBMC,6 h,DMSO,0.025,%,0.03%,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,C6,PBMC,6 h,DMSO,0.025,%,0.03%,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,I6,PBMC,6 h,DMSO,0.025,%,0.03%,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,J6,PBMC,6 h,DMSO,0.025,%,0.03%,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,B7,PBMC,6 h,DMSO,0.025,%,0.03%,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,C7,PBMC,6 h,DMSO,0.025,%,0.03%,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,I7,PBMC,6 h,DMSO,0.025,%,0.03%,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,J7,PBMC,6 h,DMSO,0.025,%,0.03%,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,C12,PBMC,6 h,DMSO,1,%,1%,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,D12,PBMC,6 h,Z-VAD-FMK,100,µM,100 µM,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,E12,PBMC,6 h,Z-VAD-FMK,30,µM,30 µM,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,F12,PBMC,6 h,Z-VAD-FMK,100,µM,100 µM,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,G12,PBMC,6 h,Z-VAD-FMK,30,µM,30 µM,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,H12,PBMC,6 h,DMSO,1,%,1%,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,J12,PBMC,6 h,DMSO,1,%,1%,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,K12,PBMC,6 h,Z-VAD-FMK,100,µM,100 µM,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,L12,PBMC,6 h,Z-VAD-FMK,30,µM,30 µM,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,M12,PBMC,6 h,Z-VAD-FMK,100,µM,100 µM,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,N12,PBMC,6 h,Z-VAD-FMK,30,µM,30 µM,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,O12,PBMC,6 h,DMSO,1,%,1%,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,C13,SH-SY5Y,6 h,DMSO,1,%,1%,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,D13,SH-SY5Y,6 h,Z-VAD-FMK,100,µM,100 µM,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,E13,SH-SY5Y,6 h,Z-VAD-FMK,30,µM,30 µM,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,F13,SH-SY5Y,6 h,Z-VAD-FMK,100,µM,100 µM,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,G13,SH-SY5Y,6 h,Z-VAD-FMK,30,µM,30 µM,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,H13,SH-SY5Y,6 h,DMSO,1,%,1%,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,J13,SH-SY5Y,6 h,DMSO,1,%,1%,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,K13,SH-SY5Y,6 h,Z-VAD-FMK,100,µM,100 µM,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,L13,SH-SY5Y,6 h,Z-VAD-FMK,30,µM,30 µM,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,M13,SH-SY5Y,6 h,Z-VAD-FMK,100,µM,100 µM,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,N13,SH-SY5Y,6 h,Z-VAD-FMK,30,µM,30 µM,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,O13,SH-SY5Y,6 h,DMSO,1,%,1%,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,B14,SH-SY5Y,6 h,DMSO,0.025,%,0.03%,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,C14,SH-SY5Y,6 h,DMSO,0.025,%,0.03%,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,I14,SH-SY5Y,6 h,DMSO,0.025,%,0.03%,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,J14,SH-SY5Y,6 h,DMSO,0.025,%,0.03%,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,B15,SH-SY5Y,6 h,DMSO,0.025,%,0.03%,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,C15,SH-SY5Y,6 h,DMSO,0.025,%,0.03%,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,I15,SH-SY5Y,6 h,DMSO,0.025,%,0.03%,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,J15,SH-SY5Y,6 h,DMSO,0.025,%,0.03%,DMSO,0.1,%,0.10%,,,,
70117_20230210MM1_P1,430420,M5,PBMC,6 h,DMSO,0.025,%,0.03%,Flagellin,1,µg/ml,1 µg/ml,,,,
70117_20230210MM1_P1,430420,N5,PBMC,6 h,Disulfiram,1,µM,1 µM,Flagellin,1,µg/ml,1 µg/ml,,,,
70117_20230210MM1_P1,430420,O18,SH-SY5Y,6 h,Media ctr,,,,media ctr,,,,,,,
70117_20230210MM1_P1,430420,O19,SH-SY5Y,6 h,Media ctr,,,,media ctr,,,,,,,
70117_20230210MM1_P1,430420,B2,PBMC,6 h,DMSO,0.025,%,0.03%,LPS,0.01,µg/ml,0.01 µg/ml,,,,
70117_20230210MM1_P1,430420,B3,PBMC,6 h,DMSO,0.025,%,0.03%,LPS,0.01,µg/ml,0.01 µg/ml,,,,
70117_20230210MM1_P1,430420,B8,PBMC,6 h,DMSO,0.025,%,0.03%,LPS,0.01,µg/ml,0.01 µg/ml,,,,
70117_20230210MM1_P1,430420,B9,PBMC,6 h,DMSO,0.025,%,0.03%,LPS,0.01,µg/ml,0.01 µg/ml,,,,
70117_20230210MM1_P1,430420,B16,SH-SY5Y,6 h,DMSO,0.025,%,0.03%,LPS,0.01,µg/ml,0.01 µg/ml,,,,
70117_20230210MM1_P1,430420,B17,SH-SY5Y,6 h,DMSO,0.025,%,0.03%,LPS,0.01,µg/ml,0.01 µg/ml,,,,
70117_20230210MM1_P1,430420,B20,SH-SY5Y,6 h,DMSO,0.025,%,0.03%,LPS,0.01,µg/ml,0.01 µg/ml,,,,
70117_20230210MM1_P1,430420,B21,SH-SY5Y,6 h,DMSO,0.025,%,0.03%,LPS,0.01,µg/ml,0.01 µg/ml,,,,
70117_20230210MM1_P1,430420,C2,PBMC,6 h,DMSO,0.025,%,0.03%,LPS,0.1,µg/ml,0.1 µg/ml,,,,
70117_20230210MM1_P1,430420,C3,PBMC,6 h,DMSO,0.025,%,0.03%,LPS,0.1,µg/ml,0.1 µg/ml,,,,
70117_20230210MM1_P1,430420,L4,PBMC,6 h,DMSO,0.00025,%,0.00%,Flagellin,0.1,µg/ml,0.1 µg/ml,,,,
70117_20230210MM1_P1,430420,L5,PBMC,6 h,DMSO,0.025,%,0.03%,Flagellin,0.1,µg/ml,0.1 µg/ml,,,,
70117_20230210MM1_P1,430420,C8,PBMC,6 h,DMSO,0.025,%,0.03%,LPS,0.1,µg/ml,0.1 µg/ml,,,,
70117_20230210MM1_P1,430420,C9,PBMC,6 h,DMSO,0.025,%,0.03%,LPS,0.1,µg/ml,0.1 µg/ml,,,,
70117_20230210MM1_P1,430420,L10,PBMC,6 h,DMSO,0.025,%,0.03%,Flagellin,0.1,µg/ml,0.1 µg/ml,,,,
70117_20230210MM1_P1,430420,L11,PBMC,6 h,DMSO,0.025,%,0.03%,Flagellin,0.1,µg/ml,0.1 µg/ml,,,,
