Search query: necrosis
Year,Count
2025,5157
2024,24366
2023,25753
2022,28557
2021,28341
2020,28422
2019,26034
2018,25889
2017,25468
2016,25658
2015,26560
2014,26324
2013,26173
2012,24866
2011,23732
2010,22670
2009,21869
2008,20693
2007,20164
2006,19706
2005,18584
2004,17228
2003,16039
2002,14654
2001,14000
2000,13560
1999,12359
1998,11607
1997,11323
1996,10618
1995,10365
1994,9846
1993,9480
1992,8868
1991,8484
1990,8217
1989,7462
1988,6636
1987,6054
1986,5773
1985,5446
1984,5327
1983,4871
1982,4669
1981,4438
1980,4210
1979,4028
1978,3969
1977,3838
1976,3810
1975,3967
1974,3774
1973,3720
1972,3577
1971,3136
1970,2756
1969,2749
1968,2572
1967,2235
1966,1688
1965,1609
1964,1968
1963,1556
1962,933
1961,838
1960,758
1959,713
1958,727
1957,692
1956,655
1955,646
1954,618
1953,606
1952,550
1951,453
1950,405
1949,286
1948,333
1947,269
1946,214
1945,87
1944,8
1943,9
1942,11
1941,8
1940,2
1939,8
1938,14
1937,9
1936,8
1935,10
1934,11
1933,5
1932,10
1931,12
1930,7
1929,2
1928,12
1927,10
1926,7
1925,1
1924,3
1923,9
1922,5
1921,5
1920,10
1919,3
1918,4
1917,7
1916,6
1915,8
1914,2
1913,11
1912,10
1911,7
1910,6
1909,8
1908,5
1907,9
1906,5
1905,2
1904,3
1903,3
1902,3
1901,2
1900,1
1899,6
1898,6
1897,8
1896,7
1895,1
1894,7
1893,5
1892,2
1891,2
1890,3
1889,4
1887,3
1886,2
1885,2
1884,3
1883,1
1882,1
1881,1
1880,2
1879,4
1878,1
1877,5
1876,2
1875,1
1874,3
1872,5
1871,6
1870,5
1869,2
1868,4
1867,1
1866,5
1865,4
1864,3
1863,6
1862,3
1861,2
1860,2
1859,3
1857,4
1856,5
1855,3
1853,2
1852,2
1851,3
1850,1
1848,1
1845,1
1844,3
1843,1
1842,2
1838,1
1834,1
1829,1
1823,1
1822,2
1821,1
1820,1
1805,1
1786,1
