group1,group2,meandiff,lower,upper,reject,p-adj,cytokine,group,-log10(p-adj),significant,apoptotic,pyroptotic,apoptotic_vs_pyroptotic,consensus
apoptosis,healthy,0.0428,-0.255,0.3406,False,0.8323,AITRL (GITR Ligand) [NSU],apoptosis_healthy,0.0797201053670515,False,False,False,False,none
apoptosis,pyroptosis,0.0716,-0.2265,0.3698,False,0.5994,AITRL (GITR Ligand) [NSU],apoptosis_pyroptosis,0.222283261390374,False,False,False,False,none
healthy,pyroptosis,0.0289,-0.1036,0.1613,False,0.6561,AITRL (GITR Ligand) [NSU],healthy_pyroptosis,0.1830299622427005,False,False,False,False,none
apoptosis,healthy,-0.0348,-0.2968,0.2271,False,0.8546,APRIL [NSU],apoptosis_healthy,0.0682371115188222,False,False,False,False,none
apoptosis,pyroptosis,-0.1419,-0.4042,0.1204,False,0.0787,APRIL [NSU],apoptosis_pyroptosis,1.1040252676409354,False,False,False,False,none
healthy,pyroptosis,-0.1071,-0.2236,0.0094,False,0.0009,APRIL [NSU],healthy_pyroptosis,3.0457574905606752,True,False,True,False,pyroptotic
apoptosis,healthy,-0.0649,-0.4022,0.2723,False,0.7193,Activin A [NSU],apoptosis_healthy,0.1430899396992137,False,False,False,False,none
apoptosis,pyroptosis,0.2495,-0.0882,0.5872,False,0.0096,Activin A [NSU],apoptosis_pyroptosis,2.017728766960432,True,False,False,True,apoptotic_vs_pyroptotic
healthy,pyroptosis,0.3144,0.1644,0.4644,True,0.0,Activin A [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,-0.4075,-0.6341,-0.1809,True,0.0,Amphiregulin [NSU],apoptosis_healthy,4.0,True,True,False,False,apoptotic
apoptosis,pyroptosis,0.0144,-0.2125,0.2413,False,0.9648,Amphiregulin [NSU],apoptosis_pyroptosis,0.0155627052039239,False,False,False,False,none
healthy,pyroptosis,0.4219,0.3211,0.5227,True,0.0,Amphiregulin [NSU],healthy_pyroptosis,4.0,True,False,True,False,pyroptotic
apoptosis,healthy,-0.0014,-0.2697,0.2669,False,0.9998,Amyloid beta [NSU],apoptosis_healthy,8.686758342857122e-05,False,False,False,False,none
apoptosis,pyroptosis,0.0102,-0.2584,0.2789,False,0.9871,Amyloid beta [NSU],apoptosis_pyroptosis,0.0056388480919989,False,False,False,False,none
healthy,pyroptosis,0.0116,-0.1077,0.1309,False,0.9191,Amyloid beta [NSU],healthy_pyroptosis,0.0366372338962638,False,False,False,False,none
apoptosis,healthy,0.046,-0.2292,0.3213,False,0.7798,BAFF [NSU],apoptosis_healthy,0.108016769148033,False,False,False,False,none
apoptosis,pyroptosis,0.0106,-0.265,0.2863,False,0.9868,BAFF [NSU],apoptosis_pyroptosis,0.0057708591823015,False,False,False,False,none
healthy,pyroptosis,-0.0354,-0.1578,0.087,False,0.4776,BAFF [NSU],healthy_pyroptosis,0.3209356818786873,False,False,False,False,none
