features,p.adj.value,group
Cytoplasm_Texture_DifferenceVariance_CorrMito_3_02_256,0.0022,apoptosis_healthy
Cells_Texture_InfoMeas1_CorrDNA_3_03_256,0.0046,apoptosis_healthy
Cells_Correlation_Correlation_CorrDNA_CorrMito,0.0123,apoptosis_healthy
Nuclei_Correlation_K_CorrMito_CorrER,0.0375,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrDNA_9_1,0.0439,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_5_1,0.0011,apoptosis_healthy
Cytoplasm_Texture_DifferenceEntropy_CorrMito_3_00_256,0.0413,apoptosis_healthy
Nuclei_Intensity_MedianIntensity_CorrDNA,0.0301,apoptosis_healthy
Cytoplasm_Texture_DifferenceEntropy_CorrMito_3_02_256,0.04,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_6_4,0.0343,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrDNA_5_5,0.0141,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_9_1,0.0212,apoptosis_healthy
Cytoplasm_Correlation_K_CorrDNA_CorrMito,0.0044,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_2_0,0.0114,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_8_8,0.0218,apoptosis_healthy
Cytoplasm_Texture_AngularSecondMoment_CorrMito_3_03_256,0.0079,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_8_2,0.0033,apoptosis_healthy
Cytoplasm_Texture_AngularSecondMoment_CorrMito_3_02_256,0.0044,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_6_6,0.0195,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_4_4,0.0171,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_3_1,0.02,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_4_2,0.0014,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrER_9_1,0.0047,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_6_0,0.0349,apoptosis_healthy
Cytoplasm_Texture_InfoMeas2_CorrMito_3_02_256,0.0208,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrDNA_7_3,0.0132,apoptosis_healthy
Cytoplasm_Texture_InfoMeas2_CorrMito_3_03_256,0.0318,apoptosis_healthy
Cytoplasm_Texture_DifferenceVariance_CorrMito_3_01_256,0.0036,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_7_1,0.0335,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_8_8,0.0263,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_6_6,0.0093,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_3_3,0.0043,apoptosis_healthy
Cytoplasm_Texture_AngularSecondMoment_CorrMito_3_00_256,0.009,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_6_4,0.0032,apoptosis_healthy
Cytoplasm_Texture_InfoMeas1_CorrMito_3_03_256,0.0267,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrDNA_9_9,0.0091,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_8_2,0.0084,apoptosis_healthy
Cytoplasm_Texture_DifferenceEntropy_CorrGasdermin_3_02_256,0.0406,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_9_9,0.0336,apoptosis_healthy
Nuclei_RadialDistribution_FracAtD_CorrMito_4of4,0.0104,apoptosis_healthy
Cytoplasm_Texture_DifferenceVariance_CorrMito_3_00_256,0.0005,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_5_5,0.0262,apoptosis_healthy
Cytoplasm_Texture_InfoMeas2_CorrGasdermin_3_01_256,0.0338,apoptosis_healthy
Cytoplasm_Texture_InfoMeas2_CorrGasdermin_3_00_256,0.0378,apoptosis_healthy
Nuclei_Intensity_MADIntensity_CorrDNA,0.0348,apoptosis_healthy
Cells_RadialDistribution_FracAtD_CorrER_1of4,0.0378,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrDNA_8_8,0.0341,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_8_4,0.0314,apoptosis_healthy
Cells_Texture_InfoMeas1_CorrDNA_3_01_256,0.0097,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrER_3_1,0.0489,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrER_9_3,0.0084,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_9_1,0.0275,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_2_2,0.0161,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrER_6_0,0.0014,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_8_0,0.0024,apoptosis_healthy
Cytoplasm_Texture_SumVariance_CorrMito_3_03_256,0.0099,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_7_1,0.0076,apoptosis_healthy
Cells_Intensity_LowerQuartileIntensity_CorrDNA,0.0268,apoptosis_healthy
Cytoplasm_Texture_InfoMeas1_CorrMito_3_00_256,0.0144,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_8_2,0.0357,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrMito_7_7,0.031,apoptosis_healthy
Cytoplasm_Texture_DifferenceVariance_CorrMito_3_03_256,0.0001,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_6_2,0.0009,apoptosis_healthy
Nuclei_Correlation_K_CorrDNA_CorrMito,0.0177,apoptosis_healthy
Cytoplasm_Intensity_MADIntensity_CorrER,0.0068,apoptosis_healthy
Cytoplasm_Texture_Correlation_CorrMito_3_00_256,0.0109,apoptosis_healthy
Cells_RadialDistribution_MeanFrac_CorrGasdermin_1of4,0.0385,apoptosis_healthy
Cytoplasm_Texture_InfoMeas2_CorrMito_3_01_256,0.0113,apoptosis_healthy
Cells_Correlation_Overlap_CorrGasdermin_CorrMito,0.0328,apoptosis_healthy
Nuclei_RadialDistribution_ZernikeMagnitude_CorrMito_5_1,0.0056,apoptosis_healthy
Cells_RadialDistribution_ZernikeMagnitude_CorrDNA_1_1,0.0232,apoptosis_healthy
Cytoplasm_RadialDistribution_ZernikeMagnitude_CorrMito_9_5,0.0126,apoptosis_healthy
Cytoplasm_Texture_SumVariance_CorrMito_3_02_256,0.0117,apoptosis_healthy
